Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'GNB.ENDCAddAtt','GNB.ENDCAddprepSucc','GNB.ENDCAddsucc','GNB.ENDCRelbySgnb.Delta','GNB.ENDCRelbySgnb','GNB.ENDCAddSuccRate'
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559289,2025-10-07T09:00:00-05:00,3600,142117,142117,142063,,456,99.96
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559296,2025-10-07T09:00:00-05:00,3600,200566,200561,200466,,806,99.95
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559297,2025-10-07T09:00:00-05:00,3600,131753,131752,131706,,628,99.96
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559700,2025-10-07T09:00:00-05:00,3600,125816,125815,125759,,521,99.95
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559701,2025-10-07T09:00:00-05:00,3600,82089,82079,82056,,360,99.96
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559702,2025-10-07T09:00:00-05:00,3600,16882,16882,16852,,94,99.82
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559703,2025-10-07T09:00:00-05:00,3600,62327,62327,62259,,360,99.89
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559710,2025-10-07T09:00:00-05:00,3600,5998,5998,5995,,31,99.95
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559750,2025-10-07T09:00:00-05:00,3600,0,0,0,,0,NaN
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559720,2025-10-07T09:00:00-05:00,3600,0,0,0,,0,NaN
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559730,2025-10-07T09:00:00-05:00,3600,0,0,0,,0,NaN
255,Ohio/PA/WV,VCP Edge 1.x,NR,,,2559740,2025-10-07T09:00:00-05:00,3600,0,0,0,,0,NaN
*,*,VCP Edge 1.x,NR,,,000000*,Total *,3600,767548,767531,767156,,3256,99.95
