"id","type","typeid","asm_unique_id","gnb"
1,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840418"
2,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840400"
3,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840405"
4,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840410"
5,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840415"
6,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840403"
7,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840408"
8,"ACPF","FRDLNYEKVZWvGNB-Y-SA-ACPFP-08404000","890b2b5d-fbe3-46b2-953d-2033f9023b89","0840413"
9,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","0980525"
10,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","0980522"
11,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","1010600"
12,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","0980519"
13,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","1010901"
14,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","0980518"
15,"AUPF","WMTPPAAAVZWvGNB-Y-SA-AUPFP-09805411","31a187f3-7625-415e-ac98-a52068858dcd","0980541"
16,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559703"
17,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559297"
18,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559702"
19,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559701"
20,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559710"
21,"ACPF","JHTWPADPVZWvGNB-Y-SA-ACPFP-25597100","3e14d42a-0f5c-4813-9108-3582e0604536","2559289"
22,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810269"
23,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810251"
24,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810261"
25,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810271"
26,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810253"
27,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810263"
28,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810259"
29,"AUPF","FRDLNYEKVZWvGNB-Y-SA-AUPFP-08102531","b72b2bf0-f4fd-4bd2-9dd0-fadf0b8c25d5","0810281"
30,"AUPF","SCHZTXCEVZWvGNB-Y-SA-AUPFP-14095511","95c224dd-5185-486e-ba38-ed7f6c493c1f","1399503"
31,"AUPF","SCHZTXCEVZWvGNB-Y-SA-AUPFP-14095511","95c224dd-5185-486e-ba38-ed7f6c493c1f","1409553"
32,"AUPF","SCHZTXCEVZWvGNB-Y-SA-AUPFP-14095511","95c224dd-5185-486e-ba38-ed7f6c493c1f","1409551"
33,"AUPF","RCMDVA83VZWvGNB-Y-SA-AUPFP-11304521","bd447939-4fd6-47f5-b0c3-9a2c53553385","1130456"
34,"AUPF","RCMDVA83VZWvGNB-Y-SA-AUPFP-11304521","bd447939-4fd6-47f5-b0c3-9a2c53553385","1130453"
35,"AUPF","RCMDVA83VZWvGNB-Y-SA-AUPFP-11304521","bd447939-4fd6-47f5-b0c3-9a2c53553385","1130458"
36,"AUPF","RCMDVA83VZWvGNB-Y-SA-AUPFP-11304521","bd447939-4fd6-47f5-b0c3-9a2c53553385","1130466"
37,"AUPF","RCMDVA83VZWvGNB-Y-SA-AUPFP-11304521","bd447939-4fd6-47f5-b0c3-9a2c53553385","1130452"
