DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,DU,SECTOR,CARRIER,DL_GTP_Data_Volume_RN_MB,ENDC_Sessions_RN,Intra_CU_HO_Attempts_RN,Intra_CU_HO_Success_RN,Intra_CU_HO_Success_Rate_RN_%,Max_ENDC_Sessions_RN,SgNB_Modification_Attempts_RN,SgNB_Modification_Success_RN,SgNB_Modification_Success_Rate_RN_%,UL_GTP_Data_Volume_RN_MB,Attach_Success_rate_%_RN,Attach_Success_RN_Num,Attach_Success_RN_Den,Drop_rate_%_RN,Drop_RN_Num,Drop_RN_Den,DL_Tput_RN_Mbps,UL_Tput_RN_Mbps,UL_TTI_Util_Rate_%_RN,DL_TTI_Util_Rate_%_RN,DL_HARQ_Residual_BLER_%_RN,UL_HARQ_Residual_BLER_%_RN,Cell_Availability_RN,COR_NSA_Cell_Availability,COR_NSA_Cell_NumOf_ENDC_sessions,COR_NSA_Cell_X2AP_SgNBAddRqst,COR_NSA_Cell_DL_Avg_DUu_GTP_TPT,COR_NSA_Cell_DL_Avg_S1U_GTP_TPT
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_Orange_CA_VZW_Retail,0470007,0000,0001,01,2.7,6,42,42,100,3,11,11,100,0.44,100,327,327,0,0,290,33.17,8.9,0.08,0.05,11.56,0.19,100,100,6,327,25.13,25.03
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_Orange_CA_VZW_Retail,0470007,0000,0002,01,55.25,17,5,5,100,9,744,744,100,8.49,100,1038,1038,0.09,1,1072,83.3,17.56,0.54,0.17,1.84,0.02,100,100,17,1038,514.94,513.26
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0016,0016,01,100.51,2,9,9,100,7,61,61,100,223.43,99.57,233,234,1.49,4,268,34.72,21.86,2.4,0.68,4.36,0.19,100,100,2,234,936.85,933.14
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0017,0017,01,52.15,2,1,1,100,4,169,169,100,18.44,100,75,75,0,0,74,53.17,10.8,0.4,0.23,5.35,0.27,100,100,2,75,486.03,484.52
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0018,0018,01,8.9,1,76,76,100,7,28,28,100,89.85,100,46,46,3.08,2,65,9.82,21.07,1,0.21,13.56,0.44,100,100,1,46,82.94,82.4
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0019,0019,01,1.46,0,3,3,100,2,7,7,100,0.99,100,20,20,0,0,18,10.8,4.4,0.05,0.03,12.05,0,100,100,0,20,13.58,13.5
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0020,0020,01,90.27,2,70,70,100,11,46,46,100,179.12,98.66,147,149,4.85,5,103,29.53,20.06,2.1,0.72,6.33,0.1,100,100,2,149,841.33,838.26
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0021,0021,01,516.71,8,124,124,100,14,51,51,100,497.95,100,274,274,1.11,3,271,53.61,17.45,6.7,2.26,1.56,0.04,100,100,8,274,4816.13,4801.44
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0022,0022,01,649.32,14,99,99,100,16,54,54,100,1524.23,100,311,311,1.01,3,298,21.93,22.92,15.6,6.94,1.32,0.07,100,100,14,311,6052.12,6031.31
10/06/2025,22,ICL 1,S. California,047,South Orange County,5GNB_SPCL_HOB_ANAHEIM,0470009,0023,0023,01,77.49,4,83,82,98.8,12,19,19,100,113.55,100,130,130,0,0,125,30.76,14.74,1.82,0.59,4.8,0.21,100,100,4,130,722.27,719.58
