DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,10TH_JACKSON,0319068,0,189,0,0.12,13,170,7.65,1574.28,211.66,12,97.79,17.63,10.49,11.46,33.02,0.85,10.18,1.49,1701,1388394,12594.24,1237.73,189,189,100,33.09,6.67,1940.74,153.18,167.52,NaN,NaN,NaN,0,0,NaN,NaN,22.36,6.67,0,0,146.32,22.51,12.81,2.06,0,0,0,0,0,0,0,0,0,-116.67,-7,6,4,1,25,1,0,0,24,0,0.09,0.09,8.26,1.57,0,0,1,2.54,NaN,30.63,7337,2247,-116.17,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_10TH_JACKSON,0317068,6,7515,0.08,14.24,884,7397,11.95,140807.31,11583.27,225,98.72,11.83,76.87,54.64,77.31,2.33,119.3,27.91,55766619,391599135,1126458.45,9441.88,7515,7509,50,77.51,12.39,136184.22,90545.83,11579.37,94.21,2.7,0,57835.56,3279.34,9.27,1.93,43.25,21.27,0.47,0.07,32493.04,3677.07,27.24,1.35,124,20.67,26,73,2702,0,2709,42.47,28.32,-100,-7,7,0,0,41,3,0,0,41,0,109.58,0.3,1.83,0.39,0,0,3,3.46,NaN,47.47,44724,21230,-112.14,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7530,0317530,1,82,1.22,9.63,0,94,0,856.79,62.9,9,99.72,5.66,3.31,1.1,105.88,0.78,54.14,5.27,11593,120376,6854.31,126.61,82,81,33.33,105.84,0,837.65,447.49,62.86,89.35,0,0,150.17,8.86,4.91,0.34,119.64,0,0.92,1.79,297.05,16.15,7.2,1.42,3,0.75,2,0,23,0,26,17.93,14.09,0,0,1,0,0,2,1,0,0,2,0,0,0,NaN,NaN,0,0,1,2,NaN,42.14,1343,566,-116.48,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7531,0317531,3,1562,0.19,6.92,9,1520,0.59,24613.35,1974.44,92,99.76,11.09,16.57,8.3,104.1,2.6,68.62,11.03,1294002,18686206,196906.84,2869.52,1562,1559,100,104.06,0.59,24050.95,23218.37,1977.1,138.03,0,0,8704.71,409.62,4.23,1.99,94.24,0.76,2.91,0.24,14496.69,1468.72,15.45,2.74,25,2.08,6,0,336,0,322,36.19,20.72,0,0,3,0,0,5,1,0,0,5,NaN,0,0.13,NaN,23.27,0,0,1,1.5,0,52.72,11156,5881,-116.45,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7532,0317532,0,1070,0,3.89,30,1045,2.87,8610.59,642.86,59,99.55,7.99,15.46,7.75,79.78,2.32,51.47,7.7,636650,16360300,68884.75,1338.34,1070,1070,50,89.54,2.87,5956.56,7701.69,479.29,245.67,0,0,1196.08,87.76,2.24,22.29,81.84,3.15,0.15,0,4327.76,361.61,9.48,2.44,11,1.83,3,0,91,0,90,20.08,18.31,0,0,1,0,0,8,1,0,0,8,0,0.37,0,128.93,NaN,0,0,1,4.72,0,57.06,14695,8385,-116.24,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7601,0317601,0,486,0,1.88,31,482,6.43,29534.85,1816.7,52,99.73,3.64,8.16,6.35,260.4,20.56,107.73,20.6,88938,4732182,236278.83,2193.23,486,486,100,267.89,7.78,22670.21,26892.79,1580.84,260.85,0,0,16149.55,371.62,1.65,11.26,267.92,8.38,1.72,0,4858.75,194.06,9.33,3.98,9,0.75,2,0,26,0,31,71.24,23.51,-75,-3,4,0,0,9,1,0,0,9,0,56.4,1.88,177.33,2.76,0,0,1,2.25,NaN,68.59,9554,6553,-116.14,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7718,0317718,0,1859,0,3.21,25,1764,1.42,30392.63,2512.94,93,99.77,5.24,16.96,9.6,183.05,3.69,73.26,13.72,520520,16195608,243141.06,3318.99,1859,1859,100,182.79,1.42,29551.74,20900.63,2512.49,133.06,0.33,0,6713.77,477.33,4.1,3.18,193.88,1.98,6.86,0,14139.16,1659.32,7.45,3.43,30,2.5,5,2,598,0,597,22.72,19,0,0,2,0,0,4,1,0,0,4,0,0.07,0.02,NaN,NaN,0,0,1,3.54,NaN,33.16,8432,2796,-116.2,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_SANJOSE_GRP_7654,0317654,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_ABBOTT_STREET,0317319,6,4073,0.15,5.45,167,3945,4.23,79448.23,5366.26,152,99.33,6.72,53.22,38.19,132.21,2.64,96.3,18.67,6738284,123737740,635585.85,6599.81,4073,4067,100,132.25,4.88,77786.3,69107.65,5367.82,172.44,0,0,19774.66,1731.48,5.21,2.12,125.12,6.28,3.93,0.06,48889.97,2731.96,7.59,2.53,49,8.17,12,0,433,0,450,25.42,32.26,-70,-14,20,0,0,63,2,0,0,63,0,4.61,1.05,128.28,9.13,0,0,2,2.13,NaN,40.29,28768,11591,-115.3,0
10/06/2025,09,ICL 1,N. California,031,Sunnyvale,4G5G_ABORN_EAST,0317077,2,2370,0.08,0.5,27,2285,1.18,45664.88,6308.83,94,98.68,6.25,38.84,26.98,119.2,6.88,78.37,30.08,116650,23180970,365319.05,4661.41,2370,2368,50,119.19,0.93,42642.47,27753.84,6304.13,169.56,0.24,0,18848.34,3023.08,7.59,6.99,69.49,1.6,3.3,0.11,8811.39,1409.87,10.44,5.09,52,8.67,16,2,849,0,849,44.2,47.95,0,0,3,0,0,3,1,0,0,3,NaN,0.09,0,92.97,NaN,0,0,1,2.42,0,32.04,9740,3121,-115.31,0
