DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303070_LAKE_WALES_FL,1477028,0,1942,0,4.95,20,1950,1.03,28469.4,1455,85,97.38,5.83,30.23,18.68,116.28,1.67,70.56,8.91,631150,12741462,227755.19,3227.64,1942,1942,100,116.16,1.09,28292.79,26054.33,1458.93,126.17,1.02,0,19272.56,647.53,5.32,1.33,83.8,1.31,0,0,6714.32,750.04,7.7,1.78,60,10,26,11,1079,0,1075,68.12,44.38,-16.67,-1,6,0,0,8,1,0,0,8,NaN,0.08,0,5.51,NaN,0,0,1,2.27,NaN,39.29,6236,2450,-115.6,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303133_SEBRING_FL,1477030,0,2034,0,5.69,149,1999,7.45,36494.13,1261.96,87,96.75,3.87,34.71,18.73,179.93,1.21,90.2,6.73,860382,15112620,291953.06,3236.68,2034,2034,100,179.94,7.45,36336.76,26480.91,1262.04,174.98,8.17,0,21057.9,620.16,2.77,1.98,139.34,1.79,0,0,5328.86,405.57,11.7,0.84,71,11.83,21,145,1775,0,1826,57.95,49.14,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,55.66,7007,3900,-115.6,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_3RD_STREET_WATER_TANK,1477222,7,2598,0.27,0.31,20,2602,0.77,46794.02,3524.18,129,99.38,4.79,54.3,29.99,111.37,1.56,72.24,12.02,55324,17648214,374352.2,5181.85,2598,2591,100,111.34,0.85,45562.7,38101.18,3524.17,102.41,0.08,0,24471.01,1312.89,2.65,3.84,108.64,1.97,0.15,0.25,13580.06,1234.48,10,0.83,74,12.33,16,1,1194,0,1196,53.71,37.25,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,18.09,6790,1228,-115.42,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_60TH_AND_14TH,1479066,0,23,0,1.31,0,24,0,398.29,92.25,4,99.92,8.03,3.73,3.58,70.38,7.17,24.71,5.5,46,3519,3186.32,128.95,23,23,100,70.39,0,383.26,378.64,92.2,NaN,NaN,NaN,0,0,NaN,NaN,72.6,0,20,0,378.64,92.02,8.07,7.17,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,19.87,151,30,-120.5,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ABSOLUTE_TRAILER,1477260,0,424,0,1.2,18,429,4.2,7833.31,603.98,28,99.8,15.39,15.6,6.98,88.97,1.3,51.94,7.17,12296,1026504,62666.45,1206.41,424,424,100,88.98,4.2,7204.91,5937.76,604.01,244,0,0,1254.92,194.49,2.8,4.33,74.35,7.47,0,0,4679.69,342.85,22.07,0.99,7,1.17,3,0,188,0,187,17.42,32.2,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,32.48,2392,777,-115.79,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_EAST_FROSTPROOF,1477365,0,1247,0,17.83,89,1211,7.35,11968.29,289.12,43,95.64,8.72,17.04,9.35,80.82,0.49,59.26,3.14,926521,5195002,95746.33,1615.68,1247,1247,100,80.72,7.35,12047.58,12027.33,289.18,81.8,7.66,0,11797.18,245.48,8.65,0.4,41.64,1.61,0,0,214.08,17.44,12.71,0.84,38,6.33,24,88,1149,0,1186,97.92,84.89,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,56.06,3423,1919,-115.83,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_SANDHILL,1477156,0,630,0,6.82,8,618,1.29,4994.66,370.31,31,99.21,2.37,12.23,6.59,204.54,1.65,35.07,5.61,102690,1506330,39957.28,1139.52,630,630,50,204.36,1.29,4859.83,3215.15,370.08,139.66,0,0,136.75,66.03,2.82,0.59,95.23,4.44,0,0,3046.29,114.64,1.35,1.05,9,1.5,7,0,438,0,440,2.81,17.84,0,0,3,0,0,3,1,0,0,3,NaN,0.11,0,4.5,NaN,0,0,1,0.97,NaN,43.94,2228,979,-115.88,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_AIR_STAR_TREK,1477268,0,2241,0,0.76,2,2261,0.09,23011.95,1173.23,93,99.07,6.42,28.71,11.73,122.79,1.12,55.88,2.16,264438,34887888,184095.57,3294.59,2241,2241,100,122.94,0.12,22365.63,11454.4,1173.77,118.94,0.14,0,9306.9,372.41,6.96,1.5,45.92,0,8.16,0,2120.65,162.12,5.28,1.69,77,8.56,28,2,1477,0,1462,41.61,31.73,0,0,1,0,0,1,1,0,0,1,NaN,0.05,0,NaN,NaN,0,0,1,1.55,NaN,21.31,15450,3292,-116.16,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ALHAMBRA,1477149,0,236,0,1.39,0,234,0,5546.6,213.32,20,99.87,3.64,4.61,4.86,99.02,1.73,43.69,4.68,6136,442264,44372.78,1015.56,236,236,100,99.15,0,5349.65,3744.18,214.84,143.97,0,0,3628.07,141.16,3.31,1.33,82.69,0,0,0,113.23,22.6,5.59,6.36,14,2,9,0,215,0,215,67.82,65.7,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,23.43,1848,433,-115.81,0
10/06/2025,03,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ANCHORAGE,1477137,0,2597,0,0.52,22,2629,0.84,13649.77,394.73,76,96.37,8.12,3.6,6.55,80.61,4.42,47.24,3.93,192178,36747550,109198.14,2311.48,2597,2597,100,80.65,0.81,13631.72,10258.33,394.28,244.58,0.58,0,6244.13,1.05,5.79,NaN,60.09,2.37,1.04,0,4009.66,0.83,14.94,0.07,54,4.91,13,10,1712,0,1679,45.81,0.27,-25,-1,4,0,0,5,1,0,0,5,NaN,0.04,0,NaN,NaN,0,0,1,1.61,NaN,15.64,14076,2201,-117.1,0
