DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,0.03,73819.75,72980.89,88,87,11267,1695,0,0,0,0,0,0,1507,99.4,1507,1498,310,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0.01,0.01,27682.41,45298.48,33,54,2632,515,0,0,0,0,0,0,126,100,126,126,16,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,1.79,472278.63,18454.94,563,22,39159,2712,3.06,720,7.25,1,2201.49,0,1451,99.72,1450,1447,132,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0.01,7.92,900097.64,83886.08,1073,100,43773,3730,0,0,0,0,0,0,2657,100,2657,2657,453,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,0.4,947912.7,51170.51,1130,61,34474,3806,0,0,0,0,0,0,876,100,876,876,89,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0.01,0.17,243269.63,27682.41,290,33,9584,917,0,0,0,0,0,0,911,99.67,911,908,82,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,0.11,158544.69,20132.66,189,24,20230,2609,0,0,0,0,0,0,1866,99.89,1865,1864,345,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0.01,0.04,698771.05,47815.07,833,57,17150,2687,0,0,0,0,0,0,545,99.82,545,544,112,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.33,426141.29,50331.65,508,60,14932,1313,0,0,0,0,0,0,1141,100,1141,1141,159,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.02,244947.35,14260.63,292,17,25423,261,0,0,0,0,0,0,543,99.82,543,542,51,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,13.5,188743.68,76336.33,225,91,10406,2241,0,0,0,0,0,0,2180,99.91,2180,2178,656,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.31,143445.2,44459.62,171,53,25759,1291,0,0,0,0,0,0,804,100,804,804,101,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,3.17,159383.55,39426.46,190,47,31536,1637,0,0,0,0,0,0,1316,100,1316,1316,96,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0.01,0.39,197132.29,50331.65,235,60,50227,6040,0,0,0,0,0,0,1609,99.88,1609,1607,267,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,0.01,0.18,215587.23,73819.75,257,88,21311,2978,1.55,720,7.5,0,1120.26,0,960,99.48,960,955,186,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_TRUXEL_046,0360346,0,0.18,83047.22,0,99,0,2081,50,0,0,0,0,0,0,271,100,271,271,7,0,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,0,0.42,437046.48,67947.72,521,81,71908,4208,1.58,1079,7.62,0,1710.9,0,1514,99.93,1514,1513,201,0,0,0
