DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,0,0,57042.53,2516.58,68,3,2240,299,0,810,1,0,2,0,28,100,28,28,0,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,0.01,2.12,112407.35,36909.88,134,44,14500,1120,1.81,540,4.5,0,975.38,0,1088,93.38,1088,1016,11,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,0.02,0.31,234042.16,69625.45,279,83,25332,1632,1.47,540,4,0,793.39,0,1493,89.55,1493,1337,8,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,0.02,0.64,208876.34,31876.71,249,38,23317,4299,3.79,540,9.38,1,2048.13,0,1986,93.55,1986,1858,14,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290012,0,1.51,668572.06,87241.52,797,104,127035,3531,2.69,540,8.62,1,1454.62,0,1857,98.33,1857,1826,15,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290013,0.01,0.07,52009.37,33554.43,62,40,9815,508,1.04,540,4.75,0,563.64,0,799,91.49,799,731,9,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290016,0.11,1.14,94791.27,50331.65,113,60,26582,2063,1.84,720,4,0.62,1327.37,0,2160,68.89,2160,1488,24,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290022,0,0.55,386714.83,109051.9,461,130,35111,9932,1.39,720,7.12,0,1000.37,0,1190,94.79,1190,1128,5,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290024,0,4.3,198810.01,122473.68,237,146,47723,9639,0.74,1080,3.38,0,800.21,0,1742,82.84,1742,1443,8,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290028,0.01,0.32,215587.23,20132.66,257,24,30508,1147,1.45,540,4.12,0,784.75,0,1028,93,1028,956,2,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290034,0,0.69,260885.71,67947.72,311,81,29916,4147,1.98,540,6,1,1068.02,0,1784,96.3,1784,1718,4,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290041,0,0.05,50331.65,10905.19,60,13,4632,113,0.35,540,2.12,0,190.88,0,273,92.67,273,253,1,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290051,0.02,0.44,137573.17,79691.78,164,95,28815,13728,1.28,1080,5.88,0,1386.13,0,1658,98.07,1658,1626,5,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290075,0.01,2.94,299473.31,50331.65,357,60,39184,2140,1.81,540,5.12,1,979.25,0,1997,78.07,1997,1559,11,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290002,0,1.73,98985.57,21810.38,118,26,8581,1919,0,0,0,0,0,0,778,85.6,776,666,7,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290003,0.01,0.53,247463.94,210554.06,295,251,13274,2506,0,0,0,0,0,0,1069,95.98,1069,1026,5,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290004,0,1.62,166933.3,16777.22,199,20,21422,1082,0,0,0,0,0,0,1045,95.12,1045,994,4,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290006,0,3.46,249141.66,43620.76,297,52,39474,2093,0,0,0,0,0,0,1667,92.86,1667,1548,9,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290010,0,0.23,681993.83,89758.11,813,107,189939,5679,0,0,0,0,0,0,1328,83.58,1328,1110,5,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290011,0.01,2.97,315411.66,83886.08,376,100,55228,3454,0,0,0,0,0,0,1089,80.26,1089,874,13,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290014,0,7.27,629145.6,84724.94,750,101,44513,6385,0,0,0,0,0,0,2720,97.54,2720,2653,13,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290015,0.01,10.29,218942.67,15099.49,261,18,17328,1447,0,0,0,0,0,0.01,1180,98.47,1180,1162,4,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290017,0,2.3,954623.59,280179.51,1138,334,69986,10269,0,0,0,0,0,0,2819,79,2819,2227,23,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290018,0.01,0.47,161900.13,66270,193,79,36565,3632,0,0,0,0,0,0,1025,88.68,1025,909,12,0,0,0
10/07/2025,23,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290019,0.01,0.02,171966.46,26843.55,205,32,5319,474,0,0,0,0,0,0,383,97.39,383,373,3,0,0,0
