DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430250,0,0,1677.72,0,2,0,19,1,0.02,720,1,0,12.25,0,4,100,4,4,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,0.01,698.08,1409286.14,206359.76,1680,246,3073379,289350,19.41,3600,49,0,69872.89,0,279334,99.95,279302,279187,1112,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439210,0,0,0,0,0,0,0,0,14.84,4319,39.25,0,64110.48,0,0,NaN,0,0,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,0,0,0,0,0,0,0,0,11.97,2160,32.12,0,25855.24,0,0,NaN,0,0,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,0,0,0,0,0,0,0,0,0.46,1440,5.25,0,660.11,0,0,NaN,0,0,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430251,0.01,0,103179.88,11744.05,123,14,1140,90,0,0,0,0,0,0,402,99.5,402,400,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430252,0,0.16,63753.42,59559.12,76,71,4758,683,0,0,0,0,0,0,999,99.9,999,998,1,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430253,0.01,0.51,70464.31,10905.19,84,13,5836,329,0,0,0,0,0,0,930,99.57,930,926,4,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430254,0.01,0.01,73819.75,2516.58,88,3,1455,103,0,0,0,0,0,0,377,99.47,377,375,3,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430407,0,0.74,76336.33,1677.72,91,2,1493,97,0,0,0,0,0,0,209,100,209,209,0,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439201,0.03,788.8,1910086.04,143445.2,2277,171,6059843,466761,0,0,0,0,0,0,436225,99.96,436219,436036,1431,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439202,0.01,2690.9,1787612.36,109890.76,2131,131,3281899,215969,0,0,0,0,0,0.01,182832,99.97,182832,182769,542,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439203,0.01,4223.33,1821166.8,145122.92,2171,173,3208033,248426,0,0,0,0,0,0,201049,99.98,201049,201006,653,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439204,0.03,82.06,481506.1,47815.07,574,57,620089,58466,0,0,0,0,0,0,41880,99.99,41880,41876,119,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439205,0.01,4101.2,1217187.02,104857.6,1451,125,2086974,168906,0,0,0,0,0,0,139330,99.97,139329,139291,454,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439206,0.01,0.04,145122.92,10905.19,173,13,28864,1506,0,0,0,0,0,0,1551,100,1551,1551,1,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439207,0.02,2844.66,1518338.05,171966.46,1810,205,2474372,216635,0,0,0,0,0,0.02,197270,99.88,197219,197042,1011,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439208,0.02,76.15,474795.21,54525.95,566,65,87704,5860,0,0,0,0,0,0.02,7088,99.94,7087,7084,46,0,0,0
10/07/2025,09,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439403,0.01,1.39,22649.24,0,27,0,165,0,0,0,0,0,0,0.01,88,100,88,88,0,0,0,0
Total,*,*,*,*,*,*,*,0.01,15508.03,1910086.04,206359.76,2277,246,20936023,1673182,7.78,13679,49,0,160510.97,0,1489568,99.95,1489477,1488842,5377,0,0,0
