DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,3.18,556164.71,140089.75,663,167,22190,2790,0,0,0,0,0,0,4186,98.88,4186,4139,808,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0.01,0.01,49492.79,29360.13,59,35,1481,205,0,0,0,0,0,0,197,99.49,197,196,57,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0.01,194.36,182871.65,44459.62,218,53,43417,2954,3.25,720,8,1.88,2341.88,0.29,3766,99.31,3744,3740,321,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,20.92,886675.87,82208.36,1057,98,51849,5818,0,0,0,0,0,0,7737,99.95,7737,7733,1285,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,2.29,263402.29,36071.01,314,43,42954,4104,0,0,0,0,0,0,2404,100,2404,2404,291,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0,0.13,116601.65,39426.46,139,47,11702,1741,0,0,0,0,0,0,2714,99.67,2714,2705,226,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,0.52,150994.94,31037.85,180,37,35072,2761,0,0,0,0,0,0,5312,99.94,5312,5309,1055,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,0.07,77175.19,20971.52,92,25,8779,683,0,0,0,0,0,0,1706,100,1706,1706,415,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.46,206359.76,49492.79,246,59,24645,2686,0,0,0,0,0,0,3277,100,3277,3277,399,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0.01,0.2,98146.71,28521.27,117,34,6489,689,0,0,0,0,0,0,1603,99.94,1603,1602,144,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,8.78,133378.87,32715.57,159,39,17966,4061,0,0,0,0,0,0,5247,99.96,5246,5245,1756,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.42,135056.59,18454.94,161,22,23100,2427,0,0,0,0,0,0,1370,99.93,1370,1369,159,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,0.83,104018.74,13421.77,124,16,27779,2385,0,0,0,0,0,0,2301,99.91,2299,2299,226,0,0,0
10/07/2025,18,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0,0.37,141767.48,58720.26,169,70,36359,5760,0,0,0,0,0,0,3001,100,3001,3001,458,0,0,0
