DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019600,0.03,1220.04,1576219.44,169449.88,1879,202,5376537,540401,31.17,5760,75,0,179536.77,0,338334,99.63,337561,337091,2402,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019601,0.02,122.77,558681.29,62914.56,666,75,930944,83380,0,0,0,0,0,0,53170,99.93,53161,53133,225,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019602,0.02,655.85,1441162.85,255013.68,1718,304,2249008,256883,0,0,0,0,0,0.11,268242,99.94,268231,268077,1601,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019603,0.02,128.44,847249.41,151833.8,1010,181,1055705,115347,0,0,0,0,0,0,151722,99.92,151718,151600,1070,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019604,0.03,225.48,926941.18,96468.99,1105,115,2162995,188023,0,0,0,0,0,0.01,138957,99.77,138736,138631,926,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019605,0.03,91.96,736519.78,141767.48,878,169,580862,50251,0,0,0,0,0,0,48157,99.81,48133,48066,282,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019606,0.04,780.35,1361471.08,158544.69,1623,189,1622328,165140,0,0,0,0,0,0.01,212057,99.85,212042,211737,1337,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019607,0.02,1270.7,1849688.06,138412.03,2205,165,5624526,520306,0,0,0,0,0,0,360612,99.95,360609,360414,2310,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019608,0.01,273.51,576297.37,108213.04,687,129,1042417,88995,0,0,0,0,0,0,71252,99.96,71252,71221,398,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019609,0.02,499.99,832988.77,110729.63,993,132,2369630,247778,0,0,0,0,0,0,165482,99.9,165481,165323,1034,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019610,0.02,558.38,1381603.74,129184.56,1647,154,1462810,161180,30.42,2880,70.5,0,87622,0,206066,99.92,206057,205903,1690,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019611,0.02,70.22,583847.12,114085.07,696,136,689396,57451,0,0,0,0,0,0,65388,99.95,65387,65354,371,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019612,0.03,146.8,1048576,146800.64,1250,175,831652,78721,0,0,0,0,0,0.01,99848,99.96,99845,99810,486,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019613,0.01,1.17,336383.18,80530.64,401,96,248367,29431,0,0,0,0,0,0,38268,99.97,38267,38257,152,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019616,0.01,10269.06,622434.71,113246.21,742,135,774220,62423,25.63,2160,58.5,0,55356.74,0.36,73602,99.91,73600,73538,528,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019617,0.01,1662.27,911841.69,78014.05,1087,93,1140358,95105,0,0,0,0,0,0.04,70864,99.94,70861,70824,510,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019618,0.02,85.08,1028443.34,75497.47,1226,90,628972,59260,0,0,0,0,0,0,71661,99.93,71660,71610,448,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019619,0.02,163.23,839699.66,104018.74,1001,124,799068,76900,0,0,0,0,0,0,113023,99.94,113022,112953,678,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019621,0.02,207.63,1140011.83,120795.96,1359,144,1065874,106464,0,0,0,0,0,0.01,144370,99.94,144364,144277,899,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019622,0.01,569.04,991533.47,86402.66,1182,103,842892,84078,0,0,0,0,0,0,116701,99.95,116696,116641,588,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019623,0.01,99.66,501638.76,55364.81,598,66,177374,18778,0,0,0,0,0,0,20317,99.92,20316,20301,188,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,NWCS,1019624,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1010600,0,0,153511.53,5033.16,183,6,2248,84,0,0,0,0,0,0,173,100,173,173,0,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1010901,0,0.09,666894.34,1677.72,795,2,4417,115,0,0,0,0,0,0,203,98.03,199,199,0,0,0,0
10/07/2025,15,5GNR,Philadelphia Tri-State,101,Plymouth Meeting,WMTP,1019903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.02,19101.72,1849688.06,255013.68,2205,304,31682600,3086494,21.81,12240,75,0,322515.51,0.02,2828469,99.88,2827371,2825133,18123,0,0,0
