DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHERTZ,1370411,0,0.07,66270,45298.48,79,54,1596,1364,0,0,0,0,0,0,3127,100,3127,3127,3,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370401,0.02,0.03,25165.82,9227.47,30,11,2846,146,0,0,0,0,0,0,158,100,158,158,1,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370402,0,0,41943.04,7549.75,50,9,1203,78,0,0,0,0,0,0,137,100,137,137,1,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370404,0,0.01,61236.84,30198.99,73,36,3742,565,0,0,0,0,0,0,486,99.79,486,485,2,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370405,0,0.02,62075.7,98146.71,74,117,5675,1473,0,0,0,0,0,0,1061,99.81,1061,1059,1,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370406,0.01,0.16,58720.26,7549.75,70,9,1594,65,0,0,0,0,0,0,139,99.28,139,138,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370407,0.01,0.01,45298.48,10066.33,54,12,7974,157,0,0,0,0,0,0,42,100,42,42,2,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370408,0.01,0.02,184549.38,81369.5,220,97,5949,2249,0,0,0,0,0,0,216,100,216,216,2,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370409,0.01,0,166933.3,75497.47,199,90,7142,1109,0,0,0,0,0,0,152,100,152,152,1,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370410,0.04,0.05,48653.93,838.86,58,1,2250,61,0,0,0,0,0,0,263,100,263,263,3,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370413,0,0,258369.13,91435.83,308,109,4300,1643,0,0,0,0,0,0,352,98.86,352,348,1,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370414,0.01,0.02,137573.17,31037.85,164,37,5636,594,0,0,0,0,0,0,572,100,572,572,4,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370415,0.09,0,838.86,0,1,0,4,0,0,0,0,0,0,0,10,90,10,9,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370417,0.28,0,1677.72,0,2,0,3,0,0,0,0,0,0,0,106,100,106,106,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370418,0,0.07,54525.95,10905.19,65,13,3422,384,0,0,0,0,0,0,281,100,281,281,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370419,0.02,0,189582.54,17616.08,226,21,1159,129,0.01,720,1,0,7.38,0,126,100,126,126,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370420,0.08,0,62914.56,0,75,0,1140,12,0.01,720,1,0,9.48,0,30,100,30,30,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370421,0.01,0.04,16777.22,0,20,0,116,6,0,0,0,0,0,0,77,100,77,77,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370422,0,0.21,213070.64,16777.22,254,20,4747,646,0,0,0,0,0,0,387,100,387,387,0,0,0,0
10/07/2025,21,5GNR,Central Texas,137,Austin,SCHZ,1370423,0,0,20132.66,1677.72,24,2,981,67,0,0,0,0,0,0,119,100,119,119,0,0,0,0
