DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,ALC_64,1120400,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,7.98,6.72,2.46,2.47,2.46,40.94,40.96,40.91,14736.3,886.2,2603.67,0,0,3.04,3.27
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,ALC_64,1120400,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,9.59,2.24,0.88,0.88,0.88,8,8.02,7.99,2880.53,315.8,1345.22,0,0,18.1,34.49
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,ALC_64,1120400,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.02,1.13,12.88,12.88,12.87,85.27,85.28,85.26,30697.12,4636.14,483.63,0,0,32.79,72.76
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1120500,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,11.82,9.22,2.44,2.45,2.44,37.52,37.55,37.5,13508.24,878.67,3636.22,0,0,1.15,1.6
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1120500,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71,5.91,1.29,1.72,1.72,1.71,24.53,24.59,24.49,8830.9,618.16,615.7,0,0,4.1,4.68
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1120500,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,1.6,0.85,9.12,9.12,9.11,63.58,63.59,63.56,22887.24,3281.55,447.27,0,0,4.27,18.33
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1129401,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.62,23.94,20,2.47,2.48,2.47,38.56,38.58,38.54,13880.95,890.92,7784.09,0,0,92.4,96.19
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1129401,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,3.88,3.19,2.45,2.45,2.44,36.97,36.99,36.95,13309.56,881.35,1269.96,0,0,1.13,0.35
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1129401,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,4.53,1.05,1.31,1.31,1.31,11.68,11.71,11.67,4204.45,471.12,572.48,0,0,3.92,3.83
10/07/2025,12,5GNR,Washington/Baltimore/Virginia,112,Fairfax - Chantilly,CHNT,1129401,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.57,20.18,7.62,1.88,1.9,1.86,20.89,21.07,20.81,7521.37,674.46,3805.26,0,0,354.02,430.2
