DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,11.66,9.35,2.51,2.51,2.5,37.22,37.24,37.2,13399.67,903.48,3776.55,0,0,1.45,0.78
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62,14.64,3.65,4.22,4.22,4.21,36.06,36.17,35.99,12982.16,1518.78,1664.47,0,0,3.63,5.46
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,2.85,1.38,7.42,7.43,7.42,58.84,58.86,58.81,21180.2,2672.73,620,0,0,2.28,1.89
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59,7.08,6.24,2.49,2.5,2.48,41.42,41.45,41.39,14911.99,896.64,2371.53,0,0,4.17,4.98
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29,14.66,4.75,1.09,1.1,1.09,9.47,9.53,9.42,3410.98,393.79,2622.99,0,0,26.54,61.5
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,3.94,1.58,12.93,12.93,12.92,85.33,85.34,85.31,30716.78,4653.6,800.67,0,0,33.9,112.77
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,7.56,6.35,2.52,2.52,2.51,41.49,41.52,41.47,14938.51,906.61,2424.38,0,0,5.04,4.97
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,15.34,4.15,0.86,0.87,0.86,8.97,9.02,8.91,3229.68,311.15,2672.18,0,0,32.3,33.41
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,2.75,1.16,12.95,12.96,12.95,85.38,85.4,85.35,30736.61,4663.4,566.34,0,0,34.52,69.36
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,7.58,6.55,2.5,2.51,2.49,41.54,41.56,41.52,14954.08,898.86,2448.8,0,0,4.53,5.47
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15.84,4.57,1.1,1.1,1.09,10.02,10.07,9.96,3604.67,394.38,2519.59,0,0,34.39,37.46
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,2.85,1.44,12.93,12.93,12.92,85.31,85.32,85.29,30710.27,4653.71,661.12,0,0,33.64,114.35
10/07/2025,06,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290012,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,8.05,7.01,2.49,2.5,2.49,41.32,41.34,41.3,14875.02,897.82,2740.17,0,0,4,4.68
