DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,4.34,3.25,2.53,2.53,2.52,37.3,37.33,37.27,13428.04,909.29,1421.66,0,0,0.57,0.86
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,13.01,0.79,1.3,1.3,1.3,11.71,11.75,11.69,4216.88,467.43,409.45,0,0,4.25,3.23
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.96,0.58,13.3,13.31,13.3,72.64,72.67,72.61,26149.6,4789.53,244.14,0,0,0.49,1.2
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,4.08,3.04,2.42,2.42,2.42,37.16,37.19,37.14,13380.51,871.21,1202.9,0,0,0.51,0.91
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.17,0.84,0.99,0.99,0.99,11.62,11.68,11.6,4183.39,356.97,421,0,0,2.03,5.67
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.83,0.53,13.25,13.25,13.24,72.39,72.43,72.37,26061.92,4770.14,229.29,0,0,2.34,0.54
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.74,0.52,13.19,13.2,13.18,72.5,72.51,72.47,26097.97,4748.39,220.06,0,0,2.29,0.5
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,4.87,18.54,2.53,9.94,10.01,9.91,87.15,87.59,86.88,31374.46,3578.03,1754.1,360,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.33,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,2.56,16.37,1.81,2.8,2.81,2.8,19,19.08,18.92,6838.53,1008.77,922.8,360,0,0,0,0,0,0,0,0,0,0,0,0,4.17,3.54,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,3.1,5.53,2.68,2.45,2.45,2.44,52.73,52.76,52.72,18984.71,880.79,1117.77,360,0,0,0,0,0,0,0,0,0,0,0,0,37.49,38.02,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,3.3,6.43,2.82,2.4,2.4,2.39,52.76,52.78,52.74,18993.7,862.16,1187.7,360,0,0,0,0,0,0,0,0,0,0,0,0,7.79,7.78,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,2.73,3.39,2.35,9.43,9.45,9.41,85.34,85.58,85.14,30723.48,3395.24,983.19,360,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.14,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,3.37,9.51,2.03,1.7,1.71,1.7,18.45,18.51,18.4,6642.52,613.57,1211,360,0,0,0,0,0,0,0,0,0,0,0,0,2.74,2.77,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,3.14,5.43,2.67,2.36,2.36,2.36,52.63,52.65,52.61,18947.84,849.16,1130.57,360,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.6,0,0
10/07/2025,01,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,3.4,6.36,2.88,2.36,2.36,2.35,52.65,52.66,52.63,18953.08,848.82,1225.34,360,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.59,0,0
Total,*,*,*,*,*,*,*,*,*,3.31,18.54,1.81,4.18,10.01,1.7,52.59,87.59,18.4,151458.32,12036.54,9532.47,2880,1.65,13.01,0.52,6.71,13.31,0.99,45.05,72.67,11.6,113518.31,16912.96,4148.5,37.49,38.02,4.25,5.67
