DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,5.38,4.61,2.45,2.46,2.45,41.2,41.22,41.18,14832.94,882.68,1734.79,0,0,4.06,5.03
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,14.63,2.3,0.83,0.83,0.82,8.38,8.58,8.3,3018.05,297.17,1292.85,0,0,22.51,34.43
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1.71,0.71,12.92,12.92,12.91,85,85.02,84.99,30602.16,4650.05,305.43,0,0,32.65,159.08
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,3.02,2.48,2.47,2.48,2.47,38.29,38.31,38.27,13784.54,890.05,950.42,0,0,1.26,1.96
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,9.5,1.15,1.2,1.2,1.2,13.68,13.76,13.64,4926.02,431.78,665.01,0,0,10.82,25.05
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,1.58,0.54,13.26,13.26,13.25,74.33,74.36,74.32,26761.16,4773.17,299.37,0,0,15.13,32.13
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,11.8,3.2,2.46,2.49,2.44,37.98,38.83,37.11,27341.53,1771.28,4872.06,0,0,47.46,40.29
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,27.38,0.91,1.51,1.95,1.09,16.79,22.05,11.92,12091.51,1086.25,5003.16,0,0,153,208.11
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,7.52,0.5,9.92,9.94,9.9,78.32,79.92,76.74,56392.39,7143.12,2439.93,0,0,42.54,1026.45
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,8.04,0.56,9.89,9.94,9.86,78.32,79.93,76.72,56391.43,7127.34,2698.05,0,0,43.45,4050.66
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,7.9,3.17,2.46,2.48,2.44,37.54,37.97,37.11,27028.76,1771.15,3714.44,0,0,20.32,17.29
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,20.16,2.55,1.53,1.54,1.52,16.14,16.66,16.04,5809.02,549.39,2807.32,0,0,57.51,96.66
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,4.33,0.96,1.28,1.29,1.28,12.12,12.14,12.1,4361.54,462.32,513.1,0,0,3.2,2.92
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,4.26,0.58,9.93,9.94,9.92,77.95,79.18,76.75,56122.91,7148.47,1599.25,0,0,12.68,363.84
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16,4.63,0.53,9.89,9.94,9.86,78,79.21,76.79,56159.92,7127.06,1554.7,0,0,12.46,340.58
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,3.99,3.09,2.44,2.44,2.43,37.11,37.13,37.08,13359.44,877.51,1213.44,0,0,0.73,0.62
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,6.69,5.12,2.47,2.48,2.46,37.99,38.07,37.97,13676.02,889.63,2100.75,0,0,18.06,20.29
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,18.72,1,1.23,1.41,1.06,14.46,17.57,11.83,10413.88,884.36,2936.36,0,0,86.84,124.69
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57,5.36,0.57,9.93,9.94,9.92,78.02,79.4,76.69,56170.02,7147.18,1850.95,0,0,19.88,1783.26
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,4.77,0.59,9.89,9.94,9.86,78.02,79.39,76.71,56175.31,7126.41,1698.62,0,0,18.3,446.41
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859476,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.57,3.22,2.46,2.48,2.44,37.52,37.96,37.08,27012.44,1770.3,3601.12,0,0,22.29,20.01
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859476,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,22.49,1.05,1.32,1.58,1.07,14.26,17.17,11.91,10265.44,948.49,3135.82,0,0,72.42,118.48
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859476,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,4.68,0.56,9.93,9.94,9.91,77.95,79.16,76.74,56125.01,7146,1620.88,0,0,15.81,403.28
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859476,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,4.44,0.51,9.89,9.93,9.86,77.91,79.11,76.71,56094.83,7124.56,1522.29,0,0,16.32,419.83
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,UIC,0,1.05,1.27,0.92,6.89,6.91,6.87,42.39,42.48,42.29,15259.59,2480.22,379.11,360,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.3,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,UMC,0,2.55,11.56,1.96,1,1,0.99,20.1,20.17,20.07,7236.99,358.94,918.63,360,0,0,0,0,0,0,0,0,0,0,0,0,2.75,2.65,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,UPC,0,3.63,5.92,3.19,2.35,2.35,2.35,53.57,53.59,53.56,19285.74,845.96,1306.39,360,0,0,0,0,0,0,0,0,0,0,0,0,312.23,314.84,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850450,UPC,1,3.31,5.49,2.83,2.35,2.35,2.35,53.57,53.58,53.55,19283.49,846.21,1190.57,360,0,0,0,0,0,0,0,0,0,0,0,0,330.16,331.52,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,UIC,1,3.13,4.04,1.92,9.46,9.48,9.44,87.43,87.61,87.27,31474.95,3404.87,1128.33,360,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.2,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,UMC,1,3.29,12.85,1.74,2.42,2.42,2.41,19.97,20.02,19.93,7189.21,870.04,1184.76,360,0,0,0,0,0,0,0,0,0,0,0,0,3.32,3.35,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,UPC,0,3.01,5.65,2.63,2.41,2.41,2.4,55.16,55.17,55.14,19856.09,866.46,1083.16,360,0,0,0,0,0,0,0,0,0,0,0,0,119.96,121.21,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0850452,UPC,1,2.67,4.55,2.28,2.36,2.36,2.35,55.16,55.17,55.15,19857.11,848.17,962.49,360,0,0,0,0,0,0,0,0,0,0,0,0,194.77,196.44,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UIC,0,3.72,4.88,3.25,7.09,7.1,7.07,42.16,42.24,42.08,15177.68,2551.92,1339.3,360,0,0,0,0,0,0,0,0,0,0,0,0,3.97,4.05,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UIC,1,1.95,2.22,1.26,6.88,6.9,6.87,42.16,42.22,42.08,15175.83,2478.24,700.3,360,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.24,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UMC,0,3.51,27.36,2.17,3.12,3.39,2.87,21.36,22.98,19.81,15381.16,2249.66,2528.27,720,0,0,0,0,0,0,0,0,0,0,0,0,29.15,20.77,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UPC,0,5.6,14.55,2.94,2.4,2.4,2.39,54.67,56.69,52.66,39362.19,1726.97,4033.55,720,0,0,0,0,0,0,0,0,0,0,0,0,3738.89,3771.41,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UPC,1,5.37,10.93,2.73,2.38,2.4,2.34,54.66,56.67,52.65,39355.17,1708.37,3862.18,720,0,0,0,0,0,0,0,0,0,0,0,0,3444.4,3449.81,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UPC,2,5.79,11.37,3.08,2.4,2.41,2.39,54.65,56.65,52.65,39350.89,1727.53,4172.22,720,0,0,0,0,0,0,0,0,0,0,0,0,3347.95,3336.71,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859450,UPC,3,5.58,13.62,2.88,2.38,2.4,2.34,54.65,56.65,52.65,39350.94,1707.87,4021.5,720,0,0,0,0,0,0,0,0,0,0,0,0,3495.7,3491.38,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,UIC,0,2.4,3.2,1.32,7.09,7.11,7.08,42.39,42.65,42.16,30522.24,5106.78,1727.26,720,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.6,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,UMC,0,3.64,16.82,2.14,2.32,2.57,2.08,20.08,20.54,19.62,14457.8,1670.54,2620.67,720,0,0,0,0,0,0,0,0,0,0,0,0,6.41,6,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,UPC,0,4.74,13.63,2.63,2.38,2.41,2.34,54.65,56.63,52.67,39345.55,1709.16,3414.64,720,0,0,0,0,0,0,0,0,0,0,0,0,2543.48,2528.44,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859455,UPC,1,4.64,8.91,2.74,2.38,2.4,2.34,54.64,56.62,52.65,39337.78,1708.13,3338.05,720,0,0,0,0,0,0,0,0,0,0,0,0,2211.23,2214.41,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,UIC,0,1.31,1.9,1.14,6.88,6.9,6.87,42.02,42.11,41.93,15127.14,2477.92,472.87,360,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.14,0,0
10/07/2025,23,5GNR,New York Metro,085,Suffolk - Farmingdale 1,FRDL,0859472,UIC,1,2.86,3.69,1.9,7.05,7.06,7.03,42.24,42.33,42.15,15208.06,2536.72,1030.16,360,0,0,0,0,0,0,0,0,0,0,0,0,2.12,2.19,0,0
