DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UIC,0,EXTERNAL_TYPE,0,0,2236,12395609,716,5.97,0,1782,12956230,716,4.76
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UIC,0,EXTERNAL_TYPE,1,0,0,18,716,0,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UIC,0,INTERNAL_TYPE,0,0,2757,18799101,716,7.48,0,2700,12119590,716,7.49
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UIC,0,INTERNAL_TYPE,1,0,0,0,716,0,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,0,INTERNAL_TYPE,0,0,182,1256328,358,2.83,0,180,1307633,358,2.76
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,0,MANAGEMENT_TYPE,0,0,0,35417,358,0.02,0,4,26723,358,0.07
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,1,INTERNAL_TYPE,0,0,2776,4071063,358,32.9,0,242,1373683,358,12.27
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UMC,1,MANAGEMENT_TYPE,0,0,14,187779,358,0.15,0,2534,951738,358,11.84
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,0,EXTERNAL_TYPE,0,0,942633,1006178936,716,3125.76,0,940828,885361802,716,3129.6
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,0,EXTERNAL_TYPE,1,0,925315,986234348,716,3116.76,0,923744,870269485,716,3132.58
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,0,INTERNAL_TYPE,0,0,464,1995805,716,1.75,0,1026,3894157,716,8.83
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,0,INTERNAL_TYPE,1,0,0,0,716,0,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,1,EXTERNAL_TYPE,0,0,918224,986172726,716,2956.32,0,916463,868468112,716,2944.2
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,1,EXTERNAL_TYPE,1,0,897848,974365649,716,2866.93,0,895771,855427935,716,2865.93
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,1,INTERNAL_TYPE,0,0,468,2003662,716,1.65,0,1029,3901154,716,4.94
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,1,INTERNAL_TYPE,1,0,0,3699,716,0.02,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,2,EXTERNAL_TYPE,0,0,1015006,1069022114,716,3645.82,0,1014846,950723687,716,3665.95
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,2,EXTERNAL_TYPE,1,0,932764,991554505,716,3554.31,0,930969,873241162,716,3544.72
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,2,INTERNAL_TYPE,0,0,465,1995174,716,1.6,0,1025,3887882,716,3.67
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,2,INTERNAL_TYPE,1,0,0,0,716,0,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,3,EXTERNAL_TYPE,0,0,956599,1016026380,715,3173.4,0,955311,896888713,715,3190.26
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,3,EXTERNAL_TYPE,1,0,943425,1002554322,715,3082.22,0,941613,883817446,715,3095.31
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,3,INTERNAL_TYPE,0,0,460,1971389,715,1.57,0,1014,3843346,715,3.59
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,3,INTERNAL_TYPE,1,0,0,0,715,0,0,0,0,715,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,4,EXTERNAL_TYPE,0,0,996455,1045900839,716,3723.74,0,994968,925526600,716,3723.91
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,4,EXTERNAL_TYPE,1,0,896906,963515270,716,2992.78,0,894737,843835093,716,3007.98
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,4,INTERNAL_TYPE,0,0,467,2002351,716,1.62,0,1031,3904817,716,3.61
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,ARTN,1869350,UPC,4,INTERNAL_TYPE,1,0,0,0,716,0,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UIC,1,EXTERNAL_TYPE,0,0,452,2343566,716,1.31,0,345,2390647,716,0.99
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UIC,1,EXTERNAL_TYPE,1,0,0,2425,716,0.01,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UIC,1,INTERNAL_TYPE,0,0,579,3892726,716,1.92,0,596,2725381,716,2.03
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UIC,1,INTERNAL_TYPE,1,0,0,2405,716,0.01,0,0,0,716,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UMC,1,INTERNAL_TYPE,0,0,862,2736146,715,9.2,0,312,2242716,715,2.72
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UMC,1,INTERNAL_TYPE,1,0,0,5794,715,0.01,0,0,0,715,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UMC,1,MANAGEMENT_TYPE,0,0,8,170329,715,0.07,0,565,237951,715,6.09
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,0,EXTERNAL_TYPE,0,0,562377,598132175,715,2226.79,0,561375,526354661,715,2245.29
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,0,EXTERNAL_TYPE,1,0,672073,696793812,715,2174.19,0,671440,623421980,715,2169.17
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,0,INTERNAL_TYPE,0,0,265,1175660,715,1.1,0,573,2129398,715,4.5
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,0,INTERNAL_TYPE,1,0,0,6088,715,0.03,0,0,0,715,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,1,EXTERNAL_TYPE,0,0,692705,725159388,715,2446.3,0,692462,649714591,715,2439.41
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,1,EXTERNAL_TYPE,1,0,596172,632919047,715,2256.78,0,594878,555579653,715,2266.02
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,1,INTERNAL_TYPE,0,0,247,1091710,715,1.01,0,530,1965607,715,3.6
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869306,UPC,1,INTERNAL_TYPE,1,0,0,6169,715,0.01,0,0,0,715,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,0,EXTERNAL_TYPE,0,0,0,2150,358,0.01,0,0,14,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,0,EXTERNAL_TYPE,1,0,0,2287,358,0.01,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,0,INTERNAL_TYPE,0,0,24,94927,358,0.3,0,12,79650,358,0.29
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,0,INTERNAL_TYPE,1,0,0,2280,358,0.01,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,1,EXTERNAL_TYPE,0,0,533,2748807,358,1.51,0,406,2800901,358,1.15
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,1,EXTERNAL_TYPE,1,0,0,10,358,0,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,1,INTERNAL_TYPE,0,0,649,4447204,358,2.11,0,688,3100264,358,2.31
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UIC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,12,5GNR,South Central,186,Northwest Arkansas,TULY,1869351,UMC,0,INTERNAL_TYPE,0,0,148,1046324,357,2.62,0,149,1110713,357,2.66
