DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UIC,0,EXTERNAL_TYPE,0,0,22,126910,357,0.11,0,15,110391,357,0.08
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UIC,0,EXTERNAL_TYPE,1,0,0,9,357,0,0,0,0,357,0
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UIC,0,INTERNAL_TYPE,0,0,47,264666,357,0.25,0,39,204025,357,0.21
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UIC,0,INTERNAL_TYPE,1,0,0,0,357,0,0,0,0,357,0
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UMC,1,INTERNAL_TYPE,0,0,173,1081744,358,2.95,0,160,1128575,358,3.02
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UMC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UMC,1,MANAGEMENT_TYPE,0,0,4,46441,358,0.06,0,46,37835,358,3.44
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,0,EXTERNAL_TYPE,0,0,52568,54560134,358,613.76,0,52310,46204834,358,619.29
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,0,EXTERNAL_TYPE,1,0,57449,60813787,358,587.9,0,57132,51390640,358,586.6
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,0,INTERNAL_TYPE,0,0,24,138342,358,0.44,0,45,182738,358,0.93
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,1,EXTERNAL_TYPE,0,0,44102,46584310,357,448.22,0,43826,39001470,357,450.73
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,1,EXTERNAL_TYPE,1,0,62104,66490211,357,658.21,0,61800,56808933,357,652.47
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,1,INTERNAL_TYPE,0,0,20,127335,357,0.46,0,40,163922,357,0.76
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460400,UPC,1,INTERNAL_TYPE,1,0,0,0,357,0,0,0,0,357,0
10/07/2025,15,5GNR,Ohio/PA/WV,246,Akron 1,CLMB,2460402,UIC,0,EXTERNAL_TYPE,0,0,16,95476,358,0.08,0,11,79060,358,0.05
