DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,15.94,3.14,2.47,2.5,2.44,37.84,38.66,37.04,13624.91,888.75,3146.29,0,0,50.89,47.61
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,31.54,1.11,2.02,2.88,1.19,17.91,24.17,11.89,6448.93,726.86,3570.55,0,0,164.24,229.19
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.88,0.56,9.92,9.93,9.92,76.75,76.76,76.74,13814.52,1786.25,123.53,0,0,0.44,0.4
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,10.5,7.37,9.94,9.94,9.93,79.72,79.73,79.71,14429.43,1799.16,1534.2,0,0,47.28,1089.96
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,10.16,7.06,9.91,9.92,9.91,79.81,79.82,79.79,14444.39,1794.26,1502.1,0,0,40.78,1088.3
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1.09,0.54,9.85,9.85,9.84,76.72,76.79,76.71,13809.72,1772.14,112.82,0,0,0.23,0.17
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889108,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.48,28.77,3.36,2.46,2.5,2.44,37.83,38.52,37.13,13616.93,887.92,5212.14,0,0,80.49,93.96
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889108,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,25.21,1.1,1.65,2.29,1.05,19.8,27.98,11.89,7126.19,593.7,3264.51,0,0,321.43,356.58
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889108,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,22.86,0.58,9.9,9.94,9.87,78.27,79.87,76.67,28177.06,3565.65,3517.42,0,0,74.89,2530.82
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889108,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.87,24.83,0.57,9.88,9.92,9.83,78.28,79.92,76.63,28180.71,3555.12,3912,0,0,64.85,4314.45
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889116,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.73,2.88,2.32,2.33,2.31,36.98,37.02,36.94,13314.39,835,1153.52,0,0,0.48,0.47
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889116,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,3.57,0.94,0.61,0.65,0.58,11.7,11.76,11.66,4210.31,219.88,486.23,0,0,1.62,2.44
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889116,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1,0.75,9.83,9.83,9.83,76.64,76.68,76.63,13795.76,1769.29,159.89,0,0,0.35,0.35
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889116,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.83,0.59,9.83,9.84,9.83,76.72,76.73,76.71,13809.04,1769.86,123.27,0,0,0.25,0.22
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889116,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1.06,0.59,9.83,9.83,9.83,76.67,76.68,76.66,13800.08,1769.32,123.51,0,0,0.49,0.24
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889130,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,11.01,8.66,2.4,2.4,2.39,37.17,37.18,37.15,6689.93,431.39,1692.37,0,0,0.52,0.91
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889130,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,17.69,3.54,2.83,2.84,2.82,35.88,35.98,35.84,6456.92,508.24,819.58,0,0,114.13,4.11
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889130,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,2.77,1.82,7.3,7.31,7.3,58.85,58.88,58.84,10593.9,1314.46,369.75,0,0,2.28,2.18
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,UIC,0,3.04,3.55,2.66,7.11,7.13,7.09,42.34,42.41,42.23,7619.81,1279.79,547,180,0,0,0,0,0,0,0,0,0,0,0,0,3.72,3.66,0,0
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,UIC,1,1.41,1.65,1.27,7.11,7.12,7.09,42.21,42.26,42.14,7597.85,1279.13,253.13,180,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.19,0,0
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,UMC,1,4.13,41.76,2.31,3.06,3.55,2.6,22.61,25.57,19.82,8139.75,1104.19,1486.51,360,0,0,0,0,0,0,0,0,0,0,0,0,171.8,19.52,0,0
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,UPC,0,5.02,9.01,2.83,2.38,2.4,2.34,54.67,56.65,52.68,19680.07,854.94,1806.69,360,0,0,0,0,0,0,0,0,0,0,0,0,1819.26,1822.14,0,0
10/07/2025,23,5GNR,New York Metro,088,West - Branchburg 1,BBTP,0889100,UPC,1,4.83,13.17,2.73,2.38,2.41,2.34,54.64,56.63,52.67,19672.05,854.88,1738.92,360,0,0,0,0,0,0,0,0,0,0,0,0,1420.06,1416.18,0,0
