DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.11,10.07,3.08,2.44,2.49,2.39,37.91,38.78,37.09,27293.41,1759.85,4395.43,0,0,21.84,28.12
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,4.01,0.97,1.09,1.09,1.09,11.88,11.91,11.86,4276.7,391.73,542.9,0,0,4.35,4.52
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,26.16,3.2,1.96,1.98,1.94,20.38,20.95,20.19,7334.17,704.59,2078.58,0,0,104.16,79.77
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.07,0.6,9.92,9.92,9.91,76.78,76.79,76.76,27639.47,3569.78,304.02,0,0,0.43,0.47
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,8.64,6.6,9.94,9.94,9.94,79.68,79.69,79.67,28684.48,3578.66,2757.62,0,0,32.94,682.62
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,7.69,0.61,9.88,9.91,9.84,78.19,79.7,76.68,56295.93,7109.08,2517.49,0,0,36.08,673.79
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,4.26,3.1,2.32,2.33,2.32,37.01,37.06,36.97,26648.39,1671.56,2622.23,0,0,0.42,0.38
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,3.7,0.8,0.58,0.58,0.58,11.7,11.76,11.67,8426.99,417.5,799.88,0,0,2.91,2.9
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,1.1,0.54,9.83,9.84,9.83,76.72,76.75,76.69,55239.72,7078.82,468.12,0,0,0.45,0.48
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,1.43,0.57,9.83,9.83,9.82,76.69,76.74,76.64,55214.46,7074.56,731.31,0,0,0.41,0.39
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UIC,0,2.85,3.63,2.58,7.09,7.1,7.07,42.08,42.48,42.02,15146.92,2552,1028.34,360,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.21,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UIC,1,1.36,1.94,1.24,6.88,6.9,6.86,41.99,42.05,41.92,15114.64,2476.58,488.92,360,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.25,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UMC,0,4.2,33.47,3.15,3.46,3.48,3.45,22.96,23.12,22.91,8266.14,1245.54,1513.43,360,0,0,0,0,0,0,0,0,0,0,0,0,30.28,16.53,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UMC,1,3.84,15.94,2.37,1.94,1.94,1.93,19.67,19.73,19.64,7080.93,697.1,1383.2,360,0,0,0,0,0,0,0,0,0,0,0,0,2.79,2.63,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UPC,0,5.12,13.47,2.88,2.38,2.4,2.34,54.59,56.52,52.67,39307.98,1707.29,3691.55,720,0,0,0,0,0,0,0,0,0,0,0,0,4461.7,4478.48,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UPC,1,5.03,10.16,2.93,2.37,2.4,2.34,54.59,56.53,52.65,39305.06,1707.12,3622.53,720,0,0,0,0,0,0,0,0,0,0,0,0,3934.74,3959.57,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UPC,2,4.98,10.68,2.84,2.37,2.4,2.34,54.58,56.47,52.69,39295.68,1706.5,3584.13,720,0,0,0,0,0,0,0,0,0,0,0,0,4132.19,4156.45,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UPC,3,5.83,14.35,3.4,2.37,2.4,2.34,54.59,56.52,52.65,39302.92,1705.54,4195.59,720,0,0,0,0,0,0,0,0,0,0,0,0,4131.86,4153.55,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,ELSS,1359300,UPC,4,5.44,14.47,3.35,2.37,2.4,2.34,54.58,56.49,52.67,39295.72,1705.83,3918.58,720,0,0,0,0,0,0,0,0,0,0,0,0,4629.4,4648.54,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,UIC,0,1.57,2.62,1.14,6.72,6.74,6.7,41.9,42.01,41.81,30164.32,4836.69,1129.32,720,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.29,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,UMC,0,3.13,13.66,1.96,1.33,1.33,1.32,19.44,19.59,19.33,13997.85,956.1,2256.69,720,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.82,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,UPC,0,3.28,6.42,2.73,2.31,2.31,2.3,52.65,52.72,52.63,37905.35,1662.4,2363.79,720,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.4,0,0
10/07/2025,22,5GNR,Central Texas,135,East TX - Shreveport,SCHZ,1359307,UPC,1,3.31,6.21,2.69,2.31,2.31,2.3,52.66,52.7,52.63,37918.22,1662.64,2383.53,720,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.4,0,0
Total,*,*,*,*,*,*,*,*,*,3.84,33.47,1.14,3.38,7.1,1.32,43.56,56.53,19.33,362101.73,24621.33,31559.6,7920,3.18,26.16,0.54,5.78,9.94,0.58,50.69,79.7,11.67,297053.72,33356.13,17217.58,4629.4,4648.54,104.16,682.62
