DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,1.28,1.89,1.11,7.04,7.06,7.03,41.7,43.44,41.28,15010.28,2536.28,460.2,360,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.28,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UMC,1,4.04,16.14,2.14,1.01,1.01,1,18.51,20.44,18.1,6664.81,362.42,1455.63,360,0,0,0,0,0,0,0,0,0,0,0,0,3.55,4.59,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,0,4.38,7.69,3.85,2.39,2.39,2.38,53.43,53.71,53.36,19235.31,859.75,1578.64,360,0,0,0,0,0,0,0,0,0,0,0,0,711.13,711.02,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,1,4.5,7.94,3.95,2.39,2.39,2.38,53.43,53.71,53.36,19234.1,859.95,1621.25,360,0,0,0,0,0,0,0,0,0,0,0,0,764.6,767.68,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UIC,0,1.45,2.05,1.29,6.93,6.94,6.91,40.9,42.66,40.46,14722.78,2492.91,521.29,360,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0.23,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UMC,1,3.89,12.05,2.57,0.99,0.99,0.99,18.38,20.12,17.99,6616.57,355.86,1399.62,360,0,0,0,0,0,0,0,0,0,0,0,0,2.85,4.72,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UPC,0,3.87,8.05,3.39,2.36,2.36,2.35,53.31,53.6,53.24,19191.32,849.2,1392.08,360,0,0,0,0,0,0,0,0,0,0,0,0,889.34,895.68,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UPC,1,3.66,6.77,3.19,2.36,2.36,2.36,53.3,53.58,53.24,19189.85,849.65,1318.46,360,0,0,0,0,0,0,0,0,0,0,0,0,899.61,907.57,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,UIC,0,2.53,2.94,1.45,6.92,6.94,6.91,40.83,42.58,40.38,14698.58,2492.03,910.91,360,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.17,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,UMC,1,3.52,18.39,2.19,1.36,1.37,1.36,18.55,20.44,18.07,6679.62,491.07,1268.91,360,0,0,0,0,0,0,0,0,0,0,0,0,3.58,3.27,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,UPC,0,4.04,7.28,3.49,2.36,2.36,2.35,53.3,53.59,53.23,19188.07,848.67,1455.04,360,0,0,0,0,0,0,0,0,0,0,0,0,440.42,442.37,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,UPC,1,3.54,5.05,3.08,2.36,2.36,2.35,53.29,53.57,53.21,19184.24,848.72,1274.98,360,0,0,0,0,0,0,0,0,0,0,0,0,1598.03,1613.17,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360001,UPC,2,4.04,7.45,3.54,2.42,2.42,2.41,53.3,53.57,53.22,19186.38,869.37,1455.35,360,0,0,0,0,0,0,0,0,0,0,0,0,1274.98,1290.15,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360004,UIC,0,1.4,2.1,1.23,6.92,6.94,6.91,40.95,42.7,40.5,14740.62,2493.07,504.74,360,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.27,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360004,UMC,0,4.75,14.56,2.86,1.36,1.36,1.36,18.48,20.24,17.98,6651.18,488.74,1711,360,0,0,0,0,0,0,0,0,0,0,0,0,2.69,2.67,0,0
10/07/2025,21,ICL 1,N. California,036,Rocklin,RCKL,0360004,UPC,0,3.96,6.87,3.5,2.42,2.42,2.41,53.33,53.61,53.26,19200.29,870.21,1423.59,360,0,0,0,0,0,0,0,0,0,0,0,0,1331.93,1344.85,0,0
