DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17,17.03,2.96,2.44,2.46,2.41,37.45,38.04,36.86,26965.89,1752.61,6604.66,0,0,56.94,64.33
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,13.72,1.07,1.07,1.44,0.72,14.76,18.15,11.48,10630.5,771.63,2540.08,0,0,76.61,49.9
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.88,17.15,12.05,9.91,9.92,9.91,79.34,79.36,79.33,28563.3,3569.08,4997.1,0,0,46.09,7456.5
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.1,0.56,9.85,9.86,9.85,76.61,76.62,76.6,27579.04,3547.18,243.09,0,0,0.47,0.46
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,13.52,0.47,9.88,9.93,9.85,77.98,79.36,76.6,56145.58,7119.36,4434.02,0,0,51.79,5161.74
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,10.21,8.21,2.5,2.5,2.49,41.49,41.51,41.47,14937.42,899.09,3264.33,0,0,19.58,16.57
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560001,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,23.85,9.83,1.07,1.09,1.07,10.02,10.05,9.98,3604.31,386.27,4783.29,0,0,73.36,69.99
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,6.47,3.93,12.93,12.94,12.92,85.54,85.56,85.53,30794.95,4654.62,1682.71,0,0,39.46,499.6
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560050,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,9.72,7.92,2.5,2.51,2.49,41.75,41.77,41.73,15030.74,899.91,3167.68,0,0,8.37,9.85
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560050,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.99,20.49,10.72,0.97,0.97,0.97,9.44,9.49,9.39,3399.07,348.33,5396.76,0,0,48.8,57.74
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560050,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,5.82,2.18,12.93,12.93,12.92,85.69,85.7,85.67,30846.75,4653.69,1261.19,0,0,35.38,237.44
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560065,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,7.88,6.89,2.48,2.48,2.47,41.02,41.04,40.99,14766.22,891.61,2618.91,0,0,2.77,4.28
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560065,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,14.21,2.5,0.68,0.68,0.68,7.5,7.52,7.47,2699.1,244.54,2694.95,0,0,19.7,31.84
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560065,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,2.1,0.89,12.88,12.88,12.87,84.78,84.79,84.77,30521.25,4635.2,404.52,0,0,26.12,88.52
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560075,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,8.56,6.82,2.5,2.5,2.49,41.8,41.82,41.78,15048.62,898.42,2638.79,0,0,6.62,9.75
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560075,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.94,19.79,13.95,0.91,0.92,0.9,9.86,9.9,9.8,3548.94,326.27,5739.33,0,0,41.5,47.47
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560075,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,4.19,2.13,12.93,12.94,12.93,85.66,85.68,85.65,30837.89,4654.57,912.43,0,0,36.4,209.87
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560129,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,4.08,3.48,2.43,2.44,2.43,38.05,38.08,38.03,13699.7,876.21,1344.14,0,0,2.15,2.31
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560129,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.48,1.78,1.07,1.08,1.07,14.09,14.14,14.05,5073.66,387.01,1078.45,0,0,16.8,18.15
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0560129,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.73,0.97,13.25,13.26,13.25,73.28,73.3,73.25,26379.36,4770.92,417.85,0,0,19.65,55.42
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.27,28.26,3.14,2.43,2.46,2.41,37.47,38.11,36.82,26977.37,1752.33,10276.88,0,0,112.13,95.46
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569001,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,3.98,0.92,1.12,1.12,1.12,11.51,11.54,11.49,4142.23,402.8,417.85,0,0,5.24,4
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,17.54,7.09,1.75,1.76,1.74,18.02,18.2,17.85,6488.02,628.69,3187.45,0,0,331.96,397.46
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,19.41,0.51,9.92,9.93,9.9,78.06,79.56,76.56,56201.39,7140.14,6307.75,0,0,70.92,4683.52
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569001,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,19.72,0.54,9.88,9.93,9.85,78.1,79.6,76.59,56230.4,7119.98,6297.1,0,0,70.38,6048.61
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569600,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,11.42,8.73,2.46,2.47,2.46,36.77,36.79,36.74,13235.63,886.34,3414.69,0,0,0.57,1.01
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569600,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,11.7,2.37,3.63,3.63,3.62,34.53,34.66,34.49,12430.51,1305.58,1169.27,0,0,4.49,5.76
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WSBO,0569600,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,2.7,1.43,7.38,7.38,7.37,58.38,58.4,58.36,21017.43,2656.57,608.9,0,0,2.56,0.7
10/07/2025,08,5GNR,New England,056,Boston - W Roxbury 1,WNDS,0569040,UIC,1,2.68,4.45,1.22,6.81,6.83,6.79,41.37,41.59,41.14,29784.4,4903.4,1931.78,720,0,0,0,0,0,0,0,0,0,0,0,0,5.63,6.28,0,0
