KpiResourceRuleID,KpiDetailID,InputFilter,IdExpr,DisplayNameExpr,CreatedDte,UpdatedDte,KpiResourceTypeID,IncludeKpiFilter,MarketExpr,created,updated
3490,3489,[isBlank(/DU) and not(isBlank(/GNB))],"padLeft(/GNB, 7, '0')",/id,1661843275,1661843275,3467,0,,6/3/2025 10:22,6/3/2025 10:22
5350,5348,,"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843288,1661843288,5349,1,,6/3/2025 10:22,6/3/2025 10:22
5870,5868,"[contains(/objectName,'bond')]","replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843292,1661843292,5869,1,,6/3/2025 10:22,6/3/2025 10:22
5893,5868,[/objectName='CPU'],"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843292,1661843292,4173,1,,6/3/2025 10:22,6/3/2025 10:22
5916,5868,"[contains(/objectName,'eth')]","replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843293,1661843293,5915,1,,6/3/2025 10:22,6/3/2025 10:22
5940,5868,,"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843293,1661843293,5939,1,,6/3/2025 10:22,6/3/2025 10:22
5963,5868,[/objectName='Load'],"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843293,1661843293,5962,1,,6/3/2025 10:22,6/3/2025 10:22
5986,5868,,"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843294,1661843294,5985,1,,6/3/2025 10:22,6/3/2025 10:22
6011,5868,,"replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843294,1661843294,6010,1,,6/3/2025 10:22,6/3/2025 10:22
7700,7698,"[contains(/deviceName,'DCM') and contains(/objectName,'CSL_Stats')]","replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843305,1661843305,7699,1,,6/3/2025 10:22,6/3/2025 10:22
7765,7698,"[contains(/deviceName,'DCM') and contains(/objectName,'PCMD_Stats')]","replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843306,1661843306,7764,1,,6/3/2025 10:22,6/3/2025 10:22
7818,7698,"[contains(/deviceName,'DCM') and contains(/objectName,'SYSTEM_Stats')]","replaceRegex(concat(/deviceName, '::', replaceRegex(/objectName, '[^A-Za-z0-9_]', '_')), '_{1,}', '_')",/id,1661843307,1661843307,7817,1,,6/3/2025 10:22,6/3/2025 10:22
7947,7945,"[contains(/deviceName, 'EDGE')]",/deviceName,/id,1661843307,1661843307,7946,1,,6/3/2025 10:22,6/3/2025 10:22
8015,7945,"[contains(/deviceName, 'EDGE')]","concat(/deviceName,'_EdgeView:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1661843308,1661843308,8014,1,,6/3/2025 10:22,6/3/2025 10:22
8057,7945,"[contains(/deviceName, 'EDGE')]","concat(/deviceName,'_http:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1661843308,1661843308,8056,1,,6/3/2025 10:22,6/3/2025 10:22
8105,7945,"[contains(/deviceName, 'EDGE')]","concat(/deviceName,'_m3uaLink:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1661843308,1661843308,8104,1,,6/3/2025 10:22,6/3/2025 10:22
8142,7945,"[contains(/deviceName, 'EDGE')]","concat(/deviceName,'_sccpLocal:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1661843308,1661843308,8141,1,,6/3/2025 10:22,6/3/2025 10:22
8428,8232,"[contains(/deviceName, 'MASTER')]",/deviceName,/id,1662462070,1662462070,7946,1,,6/3/2025 10:22,6/3/2025 10:22
8429,8232,"[contains(/deviceName, 'MASTER')]","concat(/deviceName,'_EdgeView:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1662462070,1662462070,8014,1,,6/3/2025 10:22,6/3/2025 10:22
8430,8232,"[contains(/deviceName, 'MASTER')]","concat(/deviceName,'_http:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1662462070,1662462070,8056,1,,6/3/2025 10:22,6/3/2025 10:22
8431,8232,"[contains(/deviceName, 'MASTER')]","concat(/deviceName,'_m3uaLink:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1662462070,1662462070,8104,1,,6/3/2025 10:22,6/3/2025 10:22
8432,8232,"[contains(/deviceName, 'MASTER')]","concat(/deviceName,'_sccpLocal:<',/elements/ifIndex,'>')","concat(/id, '-', /ifDescr)",1662462070,1662462070,8141,1,,6/3/2025 10:22,6/3/2025 10:22
