"KpiResourceTypeID","KpiResourceTypeName","CreatedDte","created","updated"
5,'UDR',1661843248,"2025-06-03 10:14:35","2025-06-03 10:14:35"
14,'Region',1661843248,"2025-06-03 10:14:35","2025-06-03 10:14:35"
358,'UDM',1661843252,"2025-06-03 10:14:35","2025-06-03 10:14:35"
743,'PGW',1661843255,"2025-06-03 10:14:35","2025-06-03 10:14:35"
987,'SMF',1661843258,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1039,'APN',1661843258,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1111,'DNN',1661843259,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1122,'NS',1661843259,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1146,'UPF',1661843259,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1550,'NRF',1661843261,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1616,'SCP',1661843262,"2025-06-03 10:14:35","2025-06-03 10:14:35"
1773,'SLF',1661843263,"2025-06-03 10:14:35","2025-06-03 10:14:35"
2371,'PCF',1661843267,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3467,'GNB',1661843275,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3474,'RanMarket',1661843275,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3687,'DU',1661843276,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3887,'KubernetesNode',1661843277,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3925,'KubernetesPod',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
3961,'KubernetesContainer',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4008,'AAA',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4018,'Device',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4033,'HA',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4058,'SessionAllManager',1661843278,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4081,'SessionManager',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4114,'Sessions',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4147,'SessionSub',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4173,'CPU',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4196,'Diameter',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4225,'Memory',1661843279,"2025-06-03 10:14:35","2025-06-03 10:14:35"
4248,'RBAR',1661843280,"2025-06-03 10:14:35","2025-06-03 10:14:35"
