DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,10TH_JACKSON,0319068,0,337,0,0.31,19,321,5.92,4123.98,652.77,18,96.78,20.62,19.2,25.7,25.42,2.01,11.88,2.52,8762,2805188,32991.81,2775.99,337,337,100,25.97,7.09,6962.36,974.82,642.44,24,0,NaN,7.52,0.38,22.28,1.15,21.95,7.11,0.32,0,956.58,141.47,12.34,2.09,1,0.33,1,0,1,0,0,0.11,0.06,-100,-2,2,6.67,1,15,1,0,0,14,0,1.48,0.06,20.4,6.52,0,25,1,6.62,NaN,31.43,8298,2608,-115.9,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_10TH_JACKSON,0317068,2,5185,0.04,7.7,355,5136,6.91,280651.62,16610.12,245,99.25,10.2,80.27,69.18,71.28,2.96,187.83,38.32,15142815,196599645,2245212.94,11953.7,5185,5183,50,71.26,7.3,271927.78,192963.77,16624.21,83.98,2.14,0,129552.5,4772.92,9.18,2.59,40.72,10,0.25,0.04,62493.94,5135.01,17.63,1.78,119,19.83,30,29,1355,0,1345,47.64,28.71,-28.57,-6,21,2.27,1,44,3,0,0,43,0,46.77,52.32,101.15,16.85,0,2.94,3,3.12,0,40.55,35010,14196,-112.12,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7530,0317530,0,79,0,6.7,1,103,0.97,6425.63,274.59,16,99.81,8.35,15.73,9.49,56.07,0.74,47,4.85,6241,93141,51405.07,1093.7,79,79,33.33,56.07,0.97,6093.88,5437.89,274.17,70.82,NaN,NaN,3198.27,73.76,4.42,0.41,44.94,0.97,0,0,2239.09,175.04,14.38,1.17,3,0.75,2,0,0,0,0,52.48,26.9,0,0,3,0,0,5,1,0,0,5,0,0.15,0,11.01,NaN,0,0,1,1.6,0,34.64,1100,381,-116.45,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7531,0317531,0,1159,0,6.38,9,1055,0.85,32770.68,2291.5,78,99.83,4.73,18.52,11.92,113.89,2.54,63.65,11.46,620065,9720533,262165.45,4118.73,1159,1159,100,113.9,0.85,31528.42,25468.54,2289.1,117.92,0,0,12503.07,435.91,2.44,0.64,94.77,1.16,1.68,0,12910.26,1059.59,5.56,2.16,18,1.5,6,0,277,0,283,39.66,19.04,0,0,14,5.56,1,18,1,0,0,17,0,0.3,0.41,NaN,1.88,0,5.56,1,1.84,NaN,45.35,7852,3561,-116.4,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7532,0317532,0,463,0,5.59,14,475,2.95,12714.9,929.21,39,98.33,4.92,15.21,8.17,114.46,3.89,72.04,11.32,187515,3351657,101719.23,1412.08,463,463,50,114.43,2.95,12510.23,8570.66,929.32,277.63,0,0,6205.96,527.36,3.21,21.27,94.2,3.2,0,0,2349.65,221.11,11.32,2.3,10,1.67,3,0,36,0,37,49.61,56.75,NaN,0,0,0,0,3,1,0,0,3,0,4.29,0,131.2,NaN,NaN,0,1,9.06,NaN,58.22,6834,3979,-116.26,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7601,0317601,1,346,0.29,2.4,13,360,3.61,23089.56,1949.99,50,99.7,3.03,10.82,5.73,172.82,7.24,93.35,16.69,70227,2931312,184716.49,1978.71,346,345,100,172.56,3.72,16985.58,20476.18,1540.78,220.62,0,0,10740.23,927.91,1.53,18.75,139.82,3.75,4.85,0.4,4662.14,530.56,6.61,3.12,10,0.83,2,0,2,0,2,63.23,60.22,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,70.51,8293,5847,-115.87,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7718,0317718,0,1049,0,3.36,15,1009,1.49,12639.66,2079.03,72,99.82,6.61,11.58,5.56,122.31,5.12,52.65,16.62,217143,6455546,101117.25,1920.4,1049,1049,100,122.41,1.79,12332.47,10152.55,2078.38,67.3,0.29,0,2998.16,248.4,4.1,2.71,149.44,3.17,6.43,0,7133.1,942.04,9.07,2.9,25,2.08,4,1,348,0,357,24.31,11.95,-100,-1,1,0,0,2,1,0,0,2,NaN,1.39,0,330.22,NaN,0,0,1,1.32,NaN,38.57,5947,2294,-115.82,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_SANJOSE_GRP_7654,0317654,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ABBOTT_STREET,0317319,8,2135,0.37,7.42,161,2074,7.76,93914.14,6329,116,98.48,6.38,57.84,44.6,111.09,2.04,97.49,20.26,2195340,29591100,751313.13,7706.25,2135,2127,100,112.85,7.76,69060.86,79226.85,4876.25,118.77,3.6,0,38052.85,2445.94,4.62,2.28,89.6,11.05,1.64,0.65,20354.46,1755.1,9.45,1.37,48,8,14,33,916,0,913,55.1,50.16,0,0,2,0,0,4,1,0,0,4,0,0.47,0,18.67,NaN,0,0,1,1.18,0,48.14,12880,6200,-115.2,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ABORN_EAST,0317077,0,1634,0,0.33,21,1623,1.29,94590.25,6877.69,107,99.41,7.48,47.79,39.62,89.93,3.46,110.54,26.65,44118,13397166,756722.03,6845.9,1634,1634,50,90.02,1.14,91069.74,62806.16,6888.93,89.06,0.37,0,48621.01,4313.66,6.76,4.19,59.88,1.75,0.99,0,13997.84,1305.64,12.96,1.6,51,8.5,17,2,542,0,522,53.39,62.62,0,0,6,11.11,1,9,4,0,0,8,0,44.85,0,97.03,NaN,0,12.5,4,5.54,NaN,35.4,8172,2893,-114.99,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_AGNEWS_NORTH,0317099,6,1155,0.52,9.14,63,1043,6.04,13720.48,874.32,48,98.95,13.48,16.48,9.47,91.13,2.58,67.06,9.83,2024694,22148280,109763.88,1636.9,1155,1149,50,92,6.04,12357.6,11550.71,875.56,137.95,0,0,5764.43,86.81,13.78,3.07,56.05,7.87,0.5,0.65,5749.81,644.55,13.44,2.08,20,3.33,9,0,242,0,235,46.65,9.92,0,0,4,5.26,1,19,2,0,0,18,5.56,0.94,0.02,1.79,33.48,0,5.26,2,2.17,NaN,68.61,17514,12017,-115.37,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_AGNEWS_WEST,0317128,3,2441,0.12,3.75,166,2484,6.68,125191.74,11469.54,126,98.82,5.6,57.49,50.45,116.27,5.63,114.89,36.95,1819852,48507552,1001533.91,8717.63,2441,2438,60,116.29,6.68,120794.08,62074.38,11493.71,111.07,11.9,0,45043.43,3665.29,6.29,6.41,57.69,4.68,1.63,0.17,16826.74,2503.19,12.66,2.73,57,9.5,16,82,689,0,671,37.29,31.89,0,0,16,0,0,22,2,0,0,22,0,0.32,0.48,1.98,5.33,0,0,2,1.56,0,54.46,19150,10429,-114.93,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALAMEDA_RACE,0317073,1,937,0.11,3.52,20,883,2.27,26234.63,3332.26,71,99.59,7.42,31.43,19.89,77.29,3.92,61.05,19.63,273180,7769604,209877.07,3437.77,937,936,50,76.9,2.27,23543.01,19502.57,3329.98,73.28,0.41,0,9041.22,1465.08,1.57,27.82,73.52,2.96,0.23,0.14,10443.52,1586.57,11.26,2.3,15,2.5,7,1,241,0,229,38.4,44,0,0,6,0,0,16,1,0,0,16,0,0.21,0.21,12.46,16.15,0,0,1,1.34,NaN,43.54,8009,3487,-115.36,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMA,0317170,0,4428,0,16.59,493,4291,11.49,100034.32,10499.28,177,99.15,6.82,61.95,45.76,101.26,3.26,101.22,31.39,16357032,98580564,800274.58,7906.68,4428,4428,60,101.4,11.49,91322.7,57680.52,10503.83,141.32,12.87,0,30349.71,1673.85,5.92,3,64.9,10.81,1.76,0,27191.18,3839.95,12.53,1.69,72,12,17,177,1375,0,1417,33.23,15.94,0,0,26,0,0,31,2,0,0,31,0,0.82,0.2,94.55,2.17,0,0,2,1.66,0,39.64,18569,7361,-115.2,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMADEN_BLOSSOM_HILL,0317007,2,3920,0.05,8.02,52,3860,1.35,205347.61,14413.82,219,99.06,8.38,76.6,71.65,93.04,3.65,132.69,34.85,7062046,88019680,1642780.84,12380.88,3920,3918,50,93.09,1.35,193194.58,119523.82,14415.08,90.96,0.33,0,86234.05,4466.6,7.31,2.47,57.57,1.81,0.06,0.07,32878.27,3240.76,13.2,1.83,103,17.17,24,4,1201,0,1191,44.64,30.99,0,0,18,0,0,41,2,0,0,41,0,2.61,0.08,11.48,4.78,0,0,2,1.81,0,28.55,20663,5899,-114.18,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMADEN_BRANHAM,0317047,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMADEN_CAMDEN,0317012,0,1677,0,5.52,47,1631,2.88,91470.09,5471.29,104,99.52,5.41,52.93,40.42,115.49,2.54,104.77,19.14,858624,15557529,731760.7,6984.64,1677,1677,50,115.26,2.88,84477,65432.52,5464.51,124.19,4.16,0,47990.51,2348.37,4.5,2.34,78.86,2.46,0.43,0,17338.7,1771.78,10.5,2.08,44,7.33,17,17,409,0,411,56.81,42.97,0,0,24,3.57,1,28,2,0,0,27,0,90.34,4.18,296.26,6.95,0,3.57,2,1.72,NaN,39.41,8765,3454,-115.12,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMADEN_VALLEY,0317008,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMADEN_VALLEY_SOUTH,0317006,0,621,0,10.2,153,619,24.72,47298.59,12120.12,42,99.2,2.93,42.61,28.58,157.32,24.13,114.95,79,182574,1789101,378388.76,3291.87,621,621,50,158.74,24.72,33636.35,22710.69,9802.99,171.76,35.39,0,13356.54,2013.28,2.81,17.95,71.89,17.82,1.02,0,3218.84,310.6,8.73,1.47,18,4.5,7,86,243,0,243,39.71,20.54,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,44.38,2587,1148,-115.37,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALMA_GUADALUPE,0317062,10,3467,0.29,6.59,123,3559,3.46,189803.81,9233.32,158,99.15,6.58,32.55,49.08,70.73,3.14,110.17,15.01,6608646,100282975,1518430.51,13782.83,3467,3457,60,70.96,3.46,185979.59,128703.65,9226.7,113.78,0.08,0,96680.47,2963.11,4.16,4.27,36.71,5.2,0.15,0.44,31651.34,1707.42,12.26,0.99,74,8.22,17,1,1214,0,1211,51.98,32.11,0,0,8,0,0,19,1,0,0,19,7.69,1.14,0.37,18.27,0.59,0,0,1,3.37,NaN,34.05,27097,9226,-114.41,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALTA_5TH,0317331,1,2355,0.04,7.08,35,2331,1.5,220815.92,11845.54,181,98.67,9.62,33.85,54.59,58.69,2.2,115.23,18.52,3346272,47264850,1766527.36,15329.82,2355,2354,100,58.79,1.5,216631.19,146388.55,11841.05,65.16,0.56,0,102586.18,4271.6,7.66,1.74,43.44,1.92,1.18,0.06,43431.28,3782.01,15.55,1.77,79,8.78,30,4,715,0,695,47.36,36.07,0,0,23,0,0,37,2,0,0,37,0,916.05,91.45,47.22,8.61,0,0,2,1.28,NaN,29.9,18657,5579,-115.59,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALUM_ROCK_FLEMING,0317123,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALVIN_DRIVE,0317332,5,4962,0.1,3.44,216,4857,4.45,249365.49,14311.25,258,98.82,20.93,85.92,73.08,31,1.12,157.97,30.85,3850433,111997302,1994923.92,12628.44,4962,4957,100,30.98,4.45,246132.27,185189.27,14304.89,43.04,0.41,0,128220.29,6725.52,16.82,1.52,14.23,5.48,0.18,0.13,56214.56,3684.22,34.45,0.52,97,16.17,34,4,985,0,977,52.09,47.02,0,0,6,0,0,11,2,0,0,11,0,75.84,59.85,70.35,2.78,0,0,2,4.01,0,31.34,21817,6838,-113.97,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ALVISO,0317097,9,2899,0.31,4.41,88,2791,3.15,121700.01,14609.14,144,98.64,5.52,28.25,35.05,93.98,4.58,98.93,27.36,3074813,69770233,973600.07,9841.08,2899,2890,75,93.85,3.15,87823.85,86578.48,11108.1,121.06,0.45,0,47162.46,5091.93,4.08,4.79,66.68,4.39,2.47,0.46,17175.87,1267.03,9.41,1.2,67,7.44,18,4,894,0,944,53.7,45.84,0,0,49,1.45,1,69,2,0,0,68,0,0.89,0,7.09,NaN,0,1.45,2,2,NaN,43,23078,9924,-115.2,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_ANDREAS_ESTATES,0317297,0,1046,0,0.65,36,1040,3.46,147294.55,5842.73,103,98.61,8.06,52.32,50.37,78.53,2.04,135.39,20.68,19874,3063734,1178356.41,8703.17,1046,1046,100,78.53,3.46,145443.15,139239.89,5838.14,79.71,3.85,0,135656.01,5657.39,7.99,2.07,31.94,0.76,0,0,3247.92,117.99,20.87,1.14,94,15.67,32,35,909,0,922,93.27,96.9,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,39.76,2910,1157,-115.39,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_CAMPUS_1,0317974,4,1491,0.27,8.47,69,1452,4.75,58653.78,5100.59,96,98.45,6.02,48.35,30.37,107.36,2.35,89.41,19.54,1821290,21510657,469230.27,5247.88,1491,1487,66.67,107.29,4.75,55173.06,48992.08,5098.17,115.23,10.33,0,35076.45,2354.48,4.94,2.56,85.51,3.64,5.32,0.32,13675.95,1561.5,9.76,1.52,41,6.83,18,25,242,0,252,63.58,46.18,0,0,10,0,0,17,1,0,0,17,0,22.87,0.98,269.68,4.72,0,0,1,1.67,NaN,59.19,13241,7837,-114.42,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_CAMPUS_2,0317996,1,1057,0.09,2.67,18,1057,1.7,50150.95,3025.94,65,98.11,8.91,37.58,26.94,146.75,4.21,129.29,22.37,160927,6019615,401207.6,3103.1,1057,1056,66.67,138.63,1.7,28787.09,37848.56,1806.79,90.05,0,0,11323.63,354.66,5.68,3.72,127.47,1.72,4.55,0.1,8907.12,1023.62,13.36,3.8,17,4.25,13,0,12,0,14,39.34,19.63,0,0,10,0,0,12,2,0,0,12,0,1.74,0,305.92,NaN,0,0,2,8.83,0,40.09,5548,2224,-114.91,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_COMPUTER,0317142,0,1851,0,11.41,51,1682,3.03,47655.29,2622.91,95,98.76,7.02,41.21,23.26,141.05,1.22,94.84,11.79,3633513,31844604,381242.31,4020,1851,1851,40,140.94,3.03,45956.12,40991.06,2622.83,151.89,0.47,0,25711.61,892.63,6.58,0.83,124.55,3.42,1.14,0,15110.44,1493.01,9.12,1.55,45,7.5,19,1,214,0,239,55.95,34.03,0,0,3,0,0,6,1,0,0,6,0,0.02,0.05,NaN,1.92,0,0,1,2.06,NaN,62.09,15241,9463,-115.28,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_MR18_IB,0317552,4,569,0.7,33.28,13,543,2.39,156388.79,1539.25,18,99.63,101.59,18.03,18.78,138.99,5.69,385.61,15.81,1515710,4554845,1251110.35,3244.53,569,565,100,139.31,2.39,148661.05,75531.78,1343.19,NaN,NaN,NaN,0,0,NaN,NaN,93.61,2.39,NaN,0.7,75154.72,986.5,22.51,6.34,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,4,0,0,13,NaN,4.13,0,2.45,NaN,0,0,4,2.99,NaN,62.24,5379,3348,-96.82,95.9
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_MR18_IB,0317553,0,8,0,10.57,3,8,37.5,2.28,0.5,3,83.42,17.81,0.13,0.1,31.57,2.69,3.32,2.14,104,984,18.2,5.48,8,8,50,31.57,75,2.14,2.14,0.5,NaN,100,0,0.57,0.42,22.57,9.34,31.57,0,NaN,0,1.57,0.08,8.82,1.82,1,0.5,1,3,3,0,3,26.71,84.62,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,91.82,110,101,-100,50
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_OP02_IDAS,0317982,0,0,NaN,NaN,0,0,NaN,2.07,1.82,1,99.89,16.53,0.72,0.24,2.83,2.95,1.22,1.4,0,0,16.53,13.59,0,0,100,2.83,NaN,1.83,1.83,1.82,2.83,NaN,NaN,1.83,1.82,16.53,2.95,NaN,NaN,NaN,NaN,0,0,NaN,NaN,1,0.5,1,0,0,0,0,100,100,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,100,104,104,-104,0
10/06/2025,20,ICL 1,N. California,031,Sunnyvale,4G5G_APPLE_PATHLINE16_INBLD,0317799,0,0,NaN,NaN,0,0,NaN,3117.52,184.44,0,98.46,46.73,0.07,0.27,402,28.53,330.03,132.36,0,0,24940.13,75.57,0,0,99.97,402.13,NaN,3135.23,0,184.86,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,99.19,370,367,-115.52,0
