DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303070_LAKE_WALES_FL,1477028,0,1950,0,5.12,14,1940,0.72,39175.84,2244.45,90,97.48,5.5,34.93,21.38,115.75,1.4,84.84,11.9,604500,11801400,313406.7,3694.2,1950,1950,100,115.86,0.72,38831.31,36039.56,2241.77,133.45,0.63,0,29359.8,1162.02,4.22,1.6,68.38,0.97,0,0,6486.51,1020.56,8.98,1.21,61,10.17,27,9,1424,0,1444,75.61,51.83,0,0,11,0,0,11,1,0,0,11,NaN,0.14,0,24.12,NaN,0,0,1,2.07,NaN,40.11,5742,2303,-115.5,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303133_SEBRING_FL,1477030,0,2230,0,3.46,160,2206,7.25,40963.04,2279.91,96,97.29,3.62,40.82,22.06,159.68,2.03,85.98,10.34,597640,17262430,327704.3,3811.46,2230,2230,100,159.72,7.25,40503.04,29686.16,2282.33,180.07,8.32,0,23500.26,1227.34,2.84,4.78,88.5,0,0,0,6092.91,786.39,9.34,1.05,76,12.67,25,160,1924,0,1941,58.02,53.78,0,0,1,0,0,1,1,0,0,1,NaN,0.09,0,NaN,NaN,0,0,1,2.7,NaN,55.87,7473,4175,-115.54,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_3RD_STREET_WATER_TANK,1477222,7,2564,0.27,0.37,30,2537,1.18,60012.91,3906.56,136,99.35,4.24,56.44,33.58,119.93,1.69,82.74,12.82,66626,17848004,480103.25,5802.74,2564,2557,100,119.86,1.21,58585.19,53346.78,3906.65,122.19,0,0,35327.47,1112.18,3.15,2.78,118.89,2.96,0,0.38,17899.69,1334.04,6.85,0.83,75,12.5,15,0,1126,0,1134,60.3,28.47,NaN,-1,0,0,0,1,1,0,0,1,NaN,1.07,0,111.43,NaN,NaN,0,1,1.35,NaN,19,6954,1321,-115.46,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_60TH_AND_14TH,1479066,0,36,0,0.51,0,53,0,233.8,18.17,3,99.91,7.97,1.28,2.08,54.74,6.27,24.95,3.16,36,7128,1870.38,74.95,36,36,100,54.75,0,228.01,215.47,18.42,NaN,NaN,NaN,0,0,NaN,NaN,54.99,0,40.91,0,215.47,17.34,7.61,7.74,0,0,0,0,0,0,0,0,0,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,23.35,197,46,-120.5,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ABSOLUTE_TRAILER,1477260,0,425,0,1.33,5,422,1.18,11792.45,696.45,30,99.83,4.97,19.59,6.92,138.9,1.1,78.92,6.58,12750,959650,94339.62,1195.33,425,425,100,139.03,1.18,11098,8852.21,696.59,179.05,0,0,6445.72,182.81,3.49,1.81,61.05,2.09,0,0,2402.34,397.72,8.55,0.89,7,1.17,3,0,183,0,183,58.08,26.24,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,29.58,2228,659,-115.78,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_EAST_FROSTPROOF,1477365,0,1297,0,19.12,91,1249,7.29,20534.45,332.02,43,96.33,5.13,17.47,12.38,94.32,0.47,76.78,3.52,1059649,5540784,164275.58,2139.59,1297,1297,100,105.12,7.29,16983.06,20426.67,249.14,106.44,7.81,0,16728.24,230.65,5.14,0.42,40.41,0,0,0,197.67,14.44,4.83,0.73,38,6.33,24,91,1165,0,1209,98.5,92.58,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,51.61,3455,1783,-115.77,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_SANDHILL,1477156,0,507,0,6.65,6,502,1.2,8049.42,430.02,26,99.23,2.4,16.49,9.76,172.78,0.85,38.2,4.83,70980,1067235,64395.32,1685.75,507,507,50,172.85,1.1,7829.29,5488.37,430.79,84.6,0,0,593.54,253.13,1.47,0.87,101.65,5.13,0,0,4893.25,101.9,1.96,0.33,9,1.5,7,0,287,0,289,7.58,58.76,0,0,3,0,0,3,1,0,0,3,NaN,0.46,0,80.25,NaN,0,0,1,2.72,NaN,45.14,1965,887,-115.84,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_AIR_STAR_TREK,1477268,0,2128,0,0.51,8,2140,0.37,24097.24,1434.97,96,99.03,5.54,29.76,12.48,107.71,1.23,55,2.55,161728,31900848,192777.91,3504.8,2128,2128,100,108.03,0.37,23387.16,12453.29,1434.71,120.94,0.17,0,10167.46,653.98,5.84,1.85,53.44,1.25,0.76,0,2257.18,122.25,9.17,0.7,79,8.78,28,3,1740,0,1737,43.47,45.58,0,0,2,0,0,2,1,0,0,2,NaN,0.01,0.04,NaN,16.7,0,0,1,1.2,NaN,18.43,14915,2749,-116.17,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ALHAMBRA,1477149,0,250,0,1.46,1,254,0.39,5953.63,228.38,19,99.85,3.04,3.6,3.27,106.53,1.74,69.85,6.41,8000,546250,47629.02,681.89,250,250,100,106.79,0,5756.3,4594.27,227,117.54,0,0,4559.57,150.11,3.17,1.17,91.57,0,0,0,29.06,18.38,11.04,4.23,13,1.86,8,0,184,0,180,79.21,66.13,0,0,2,0,0,2,1,0,0,2,NaN,0.01,0,NaN,NaN,0,0,1,1.19,NaN,18.49,2153,398,-115.81,0
10/06/2025,02,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ANCHORAGE,1477137,1,2686,0.04,0.62,11,2720,0.4,17425.86,1747.45,71,97.06,8.72,4.19,7.34,98.36,10.71,53.83,14.94,251259,40233594,139406.85,2589.74,2686,2685,100,99.06,0.44,17350.6,12023.27,1749.81,230.94,0.28,0,7902.46,1.2,5.34,0.06,54.23,1.35,9.65,0,4114.5,1.25,21.03,0.05,56,5.09,13,5,1772,0,1751,45.55,0.07,-200,-4,2,0,0,6,1,0,0,6,NaN,0.23,0,NaN,NaN,0,0,1,1.09,NaN,16.49,14891,2455,-117.1,0
