DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,1.54,216426.09,39426.46,258,47,15691,2576,0,0,0,0,0,0.01,4766,99.31,4766,4733,869,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0,0.04,26004.68,9227.47,31,11,937,403,0,0,0,0,0,0,171,100,171,171,53,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,39.31,269274.32,70464.31,321,84,36870,4495,2.53,720,5.12,1,1820.01,0.03,3794,99.47,3779,3774,314,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,21.82,213070.64,46137.34,254,55,44369,5578,0,0,0,0,0,0,8488,99.91,8488,8480,1514,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,1.04,837183.08,64592.28,998,77,27694,2717,0,0,0,0,0,0,2420,100,2420,2420,259,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0,0.34,189582.54,23488.1,226,28,15304,1958,0,0,0,0,0,0,2187,99.27,2187,2171,173,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,1,185388.24,54525.95,221,65,26256,2645,0,0,0,0,0,0,5261,99.98,5261,5260,1033,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,0.38,110729.63,69625.45,132,83,14653,1480,0,0,0,0,0,0,2351,99.91,2351,2349,413,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.3,187065.96,41943.04,223,50,13069,1253,0,0,0,0,0,0,2568,99.81,2568,2563,309,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.17,140089.75,11744.05,167,14,4679,362,0,0,0,0,0,0,1013,100,1013,1013,84,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,13.5,256691.4,42781.9,306,51,30341,5577,0,0,0,0,0,0,7001,99.9,7001,6994,2249,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.19,160222.41,44459.62,191,53,14133,1170,0,0,0,0,0,0,2068,99.95,2068,2067,257,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,0.65,145961.78,20971.52,174,25,28067,3531,0,0,0,0,0,0,2315,100,2315,2315,227,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0.01,0.64,187904.82,35232.15,224,42,34585,4935,0,0,0,0,0,0,2708,99.93,2708,2706,355,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,0,2.15,223975.83,227331.28,267,271,26697,5355,1.34,720,5.62,0,968.1,0,2997,99.77,2997,2990,541,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_SOUTHSAC_072,0360137,0,0.07,79691.78,45298.48,95,54,11936,1311,0,0,0,0,0,0,1725,99.94,1725,1724,184,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,CA_SAC_TRUXEL_046,0360346,0.02,0.08,46137.34,10066.33,55,12,690,141,0,0,0,0,0,0,479,100,479,479,20,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360001,0.01,0.22,288568.12,37748.74,344,45,44602,5157,1.54,1080,5.62,0,1661.89,0,3125,99.9,3125,3122,444,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360003,0,14.17,481506.1,84724.94,574,101,51514,4560,0,0,0,0,0,0.01,2260,100,2260,2260,315,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360004,0.01,3.91,286051.53,34393.29,341,41,70507,5177,3.15,720,9.12,1,2264.38,0,3168,99.87,3168,3164,891,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360005,0,1.84,171966.46,10905.19,205,13,13065,1634,0,0,0,0,0,0,809,99.63,809,806,47,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360008,0,0.55,286890.39,27682.41,342,33,18933,1006,0,0,0,0,0,0,1529,99.93,1529,1528,120,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360011,0,0.13,305345.33,34393.29,364,41,36735,4328,0,0,0,0,0,0,2884,99.97,2884,2883,338,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360013,0,0.59,244108.49,201326.59,291,240,37227,6105,1.78,720,5,0.12,1279,0,2980,99.63,2980,2969,311,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360018,0,6,242430.77,17616.08,289,21,22489,1565,2.97,720,7.5,1,2136.62,0,1768,100,1768,1768,248,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360023,0.01,0.23,105696.46,53687.09,126,64,16401,1846,0,0,0,0,0,0,1682,99.88,1682,1680,201,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360037,0.01,0.69,196293.43,71303.17,234,85,28695,3796,0,0,0,0,0,0,4992,99.18,4992,4951,815,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360042,0,0.27,184549.38,49492.79,220,59,30116,3358,0,0,0,0,0,0,813,99.51,813,809,56,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360044,0.01,10.76,600624.33,46976.2,716,56,38973,4788,0,0,0,0,0,0.01,4513,99.87,4513,4507,582,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360046,0.02,0.85,147639.5,36071.01,176,43,17655,1985,0,0,0,0,0,0,1362,100,1362,1362,188,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360048,0,7.05,175321.91,84724.94,209,101,36579,4639,0,0,0,0,0,0,7066,99.75,7066,7048,956,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360050,0,1.12,203004.31,59559.12,242,71,27259,2502,0,0,0,0,0,0,5401,99.8,5401,5390,1023,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360052,0,0.43,175321.91,92274.69,209,110,24818,2662,1.11,720,8.88,0,802.5,0,5686,99.91,5686,5681,856,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360055,0,0.75,218103.81,62075.7,260,74,48362,7535,0,0,0,0,0,0,3355,99.73,3355,3346,466,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360057,0,0.42,109890.76,46976.2,131,56,18846,1321,0,0,0,0,0,0,1637,99.88,1637,1635,225,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360059,0.01,0.11,653472.56,67947.72,779,81,50521,1987,0,0,0,0,0,0,934,100,934,934,14,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360101,0,0.07,148478.36,16777.22,177,20,30086,3609,0,0,0,0,0,0,366,100,366,366,63,0,0,0
10/07/2025,12,ICL 1,N. California,036,Rocklin,RCKL,0360102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
