DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0710011,0.01,0.5,115762.79,10066.33,138,12,1549,104,0,720,0,0,0,0,135,100,135,135,2,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0710013,0.01,0.19,21810.38,3355.44,26,4,352,24,0,0,0,0,0,0,117,100,117,117,1,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0710015,0,1.36,17616.08,1677.72,21,2,313,100,0,0,0,0,0,0,71,100,71,71,1,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0710040,0.01,0.29,36909.88,5872.03,44,7,496,40,0,0,0,0,0,0,113,99.12,113,112,0,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0710100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719101,0,350.65,735680.92,114923.93,877,137,1138836,120419,9.88,3600,27.38,0,35572.26,0,89656,99.96,89642,89622,207,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719102,0.02,545.22,1066192.08,138412.03,1271,165,2117905,206907,0,0,0,0,0,0,180164,99.95,180164,180075,396,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719103,0.01,445.08,1266679.81,165255.58,1510,197,1962691,198942,10.02,2880,26.25,0,28847.62,0,174170,99.96,174169,174106,396,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719104,0.01,28.72,427819.01,43620.76,510,52,437169,33853,0,0,0,0,0,0,30997,99.98,30997,30990,58,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719105,0,6.83,359032.42,36909.88,428,44,328499,36556,0,0,0,0,0,0,25664,99.99,25664,25662,58,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719106,0,124,620756.99,55364.81,740,66,389006,35927,4.38,2160,13.25,0,9458.26,0.01,30437,99.97,30437,30429,76,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719107,0,1.77,458018,71303.17,546,85,287029,25260,0,0,0,0,0,0,18969,99.99,18969,18967,44,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719108,0.03,12.04,739036.36,29360.13,881,35,224898,18317,0,0,0,0,0,0,22336,99.96,22336,22326,39,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719110,0.01,23.46,542742.94,36071.01,647,43,241749,15447,1.51,1440,6.25,0,2167.49,0,12204,99.98,12203,12202,135,0,0,0
10/07/2025,04,5GNR,Upstate New York,071,Albany - North Greenbush 1,ESYR,0719111,0,7.53,73819.75,10066.33,88,12,19715,2203,0,0,0,0,0,0.29,1709,100,1709,1709,4,0,0,0
