DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330200,0.01,7.02,395942.3,82208.36,472,98,84704,15396,4.03,720,11.38,2,2904,0,7580,99.92,7579,7574,56,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330204,0.01,61.9,547776.1,130023.42,653,155,120460,11172,1.8,1800,8,0,3233.12,0,4345,99.98,4345,4344,9,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330205,0,1.7,624112.44,69625.45,744,83,59868,5557,2.58,1080,10.12,0,2779.76,0,3077,100,3077,3077,18,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330206,0.01,2.6,305345.33,51170.51,364,61,92553,4482,3.18,720,7.88,1.25,2289.51,0,2325,99.96,2325,2324,1,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330214,0.01,1.14,548614.96,80530.64,654,96,57690,6676,2.78,720,12.5,1,2001.74,0,1705,99.82,1705,1702,7,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330228,0.01,0.09,101502.16,75497.47,121,90,7170,542,0,1080,1,0,5.24,0,662,100,662,662,1,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1339200,0.04,1932.74,2645766.96,207198.62,3154,247,6239289,614079,19.98,4320,50,0,86334.25,0.04,346566,99.74,345915,345659,2563,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1339201,0.02,1667.62,1887436.8,295279,2250,352,6948579,752393,18.98,5040,49.5,0,95661.12,0,402187,99.86,401833,401628,2907,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1339202,0.02,4254.8,4305033.63,335544.32,5132,400,10398380,886838,33.3,3600,75.62,0,119878.88,0.07,447670,99.89,447559,447162,3558,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1339211,0.01,2669.58,1118201.45,124151.4,1333,148,1376316,136540,67.14,1080,77.5,55.25,72512.25,0.04,60875,99.96,60872,60853,289,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1339212,0,12.25,407686.35,92274.69,486,110,233047,20032,17.04,720,27.25,12,12264.75,0,8407,99.96,8407,8404,38,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330201,0,8.07,848088.27,83886.08,1011,100,82755,8939,0,0,0,0,0,0,5665,99.89,5665,5659,29,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330202,0,8.34,1795162.11,136734.31,2140,163,124161,8556,0,0,0,0,0,0,5361,99.96,5361,5359,15,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330203,0,3.26,773429.66,36909.88,922,44,154796,11813,0,0,0,0,0,0,4618,99.96,4618,4616,28,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330207,0,6.13,189582.54,39426.46,226,47,57946,6946,0,0,0,0,0,0,2534,99.92,2534,2532,16,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330208,0.01,2.84,151833.8,30198.99,181,36,28388,1360,0,0,0,0,0,0,1496,99.93,1496,1495,27,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330209,0.02,1.24,343094.07,36071.01,409,43,7034,739,0,0,0,0,0,0,532,100,532,532,3,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330210,0,2.73,240753.05,50331.65,287,60,87832,8099,0,0,0,0,0,0,1732,99.94,1732,1731,2,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330211,0,0.71,617401.55,50331.65,736,60,106217,4662,0,0,0,0,0,0,1514,100,1514,1514,6,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330212,0.03,0.22,204682.04,26004.68,244,31,7983,860,0,0,0,0,0,0,509,99.8,509,508,9,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330215,0.01,1.86,216426.09,88080.38,258,105,51838,6534,0,0,0,0,0,0,3935,99.9,3935,3931,61,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330216,0.01,1.07,235719.88,69625.45,281,83,36822,3671,0,0,0,0,0,0,1967,99.95,1967,1966,12,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330217,0,7.42,446273.95,88080.38,532,105,37634,3207,0,0,0,0,0,0,2145,100,2145,2145,7,0,0,0
10/07/2025,19,5GNR,Central Texas,133,Dallas,ELSS,1330218,0.01,0.16,151833.8,45298.48,181,54,18480,1259,0,0,0,0,0,0,824,99.88,824,823,2,0,0,0
