DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,8.63,183710.52,24326.96,219,29,35147,2796,2.8,720,7.12,1,2019.88,0.01,3596,99.36,3579,3573,344,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,0.01,0.36,106535.32,23488.1,127,28,22123,2901,1.1,720,7.12,0,794.14,0,2668,100,2668,2668,561,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360001,0,0.28,222298.11,59559.12,265,71,52982,4524,1.47,1080,5.38,0,1581.24,0,3453,99.91,3453,3450,480,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360004,0,1.49,308700.77,43620.76,368,52,78414,5787,2.87,720,7.12,1,2062.62,0,3260,99.82,3260,3254,997,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360013,0.01,0.82,366582.17,122473.68,437,146,47336,6538,2.24,720,16.5,0.75,1615.37,0,2663,99.7,2663,2655,231,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360018,0,0.54,181193.93,31876.71,216,38,18182,2002,2.82,720,12.75,1,2030.77,0,1636,99.94,1636,1635,257,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360052,0,1.67,229009,109051.9,273,130,22732,3681,0.98,720,8.75,0,702.76,0,5546,99.71,5546,5530,741,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0.01,1.6,1463812.1,68786.59,1745,82,24169,2976,0,0,0,0,0,0,4604,99.22,4604,4568,832,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0,0.03,103179.88,38587.6,123,46,894,96,0,0,0,0,0,0,105,99.05,105,104,23,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0.06,8.24,160222.41,46976.2,191,56,39557,5431,0,0,0,0,0,0,7853,99.95,7853,7849,1367,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,0.18,1066192.08,61236.84,1271,73,32398,2606,0,0,0,0,0,0,2448,99.96,2448,2447,266,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0,0.26,85563.8,32715.57,102,39,10704,817,0,0,0,0,0,0,1747,99.37,1747,1736,148,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,0.4,152672.67,23488.1,182,28,24696,2667,0,0,0,0,0,0,5189,99.92,5189,5185,1019,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,0.16,99824.44,40265.32,119,48,7829,693,0,0,0,0,0,0,1972,99.95,1972,1971,366,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.28,205520.9,18454.94,245,22,18086,1241,0,0,0,0,0,0,2404,99.96,2404,2403,309,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0.01,0.05,259207.99,14260.63,309,17,5505,722,0,0,0,0,0,0,976,99.9,976,975,92,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,11.58,166094.44,46976.2,198,56,26886,4326,0,0,0,0,0,0,6278,99.79,6277,6265,2005,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,2.99,174483.05,31037.85,208,37,18228,1163,0,0,0,0,0,24.21,2084,99.95,2084,2083,288,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,12.13,142606.34,21810.38,170,26,28850,2302,0,0,0,0,0,20.06,2393,100,2393,2393,262,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0.01,1.17,156028.11,44459.62,186,53,28923,4383,0,0,0,0,0,0,2645,99.96,2645,2644,409,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_SOUTHSAC_072,0360137,0,0.2,264241.15,41104.18,315,49,15662,1264,0,0,0,0,0,0,1570,100,1570,1570,150,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,CA_SAC_TRUXEL_046,0360346,0.02,0.32,84724.94,152672.67,101,182,2379,1648,0,0,0,0,0,0,570,100,570,570,14,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360003,0,0.42,359032.42,57881.4,428,69,66046,3357,0,0,0,0,0,0,2133,99.95,2133,2132,250,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360005,0.02,0.03,36909.88,23488.1,44,28,4788,1298,0,0,0,0,0,0,927,99.78,927,925,62,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360008,0,0.27,104018.74,35232.15,124,42,16270,1088,0,0,0,0,0,0,1394,99.93,1394,1393,130,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360011,0,0.11,343932.93,12582.91,410,15,25820,3215,0,0,0,0,0,0,2482,99.88,2482,2479,261,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360023,0,0.49,244108.49,28521.27,291,34,14098,1928,0,0,0,0,0,0,1769,99.94,1769,1768,248,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360037,0.01,0.14,280179.51,46137.34,334,55,25000,3651,0,0,0,0,0,0,5000,99.04,5000,4952,762,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360042,0,0.23,132540.01,39426.46,158,47,29374,3975,0,0,0,0,0,0,984,99.09,984,975,81,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360044,0,44.81,197971.15,48653.93,236,58,31221,4725,0,0,0,0,0,0.03,3757,99.39,3740,3734,464,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360046,0.02,0.38,178677.35,90596.97,213,108,22184,2454,0,0,0,0,0,0,1250,100,1250,1250,176,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360048,0,2.66,234042.16,51170.51,279,61,29461,4666,0,0,0,0,0,0,6871,99.71,6871,6851,821,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360050,0,1.27,144284.06,40265.32,172,48,27536,1683,0,0,0,0,0,0,4754,99.73,4754,4741,837,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360055,0,0.62,681154.97,69625.45,812,83,33329,7872,0,0,0,0,0,0,2204,99.86,2204,2201,295,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360057,0,0.59,74658.61,62075.7,89,74,18532,1245,0,0,0,0,0,0,1757,99.77,1757,1753,202,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360059,0,0.08,136734.31,10905.19,163,13,15565,1081,0,0,0,0,0,0,1083,99.91,1083,1082,19,0,0,0
10/07/2025,13,ICL 1,N. California,036,Rocklin,RCKL,0360101,0,0.03,239075.33,26843.55,285,32,31690,4196,0,0,0,0,0,0,397,100,397,397,67,0,0,0
