DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859257,0,15.95,198810.01,55364.81,237,66,203518,19554,17.8,2880,47.62,0,51256.36,0,11787,100,11787,11787,17,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859260,0,0,0,0,0,0,0,0,19.99,1440,32.25,0,25678.88,0,0,NaN,0,0,0,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859261,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859250,0.05,27.33,968045.36,88080.38,1154,105,1022362,66344,0,0,0,0,0,0,39421,99.99,39421,39419,63,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859251,0,137.04,1444518.3,145961.78,1722,174,1816831,150350,0,0,0,0,0,0,47057,99.63,47057,46884,92,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859252,0.01,103.03,484861.54,87241.52,578,104,808367,64154,0,0,0,0,0,0,32222,99.43,32222,32038,99,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859253,0,273.53,930296.63,114923.93,1109,137,1394744,130917,0,0,0,0,0,0.01,57991,99.85,57983,57904,142,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859254,0,417.53,973078.53,93952.41,1160,112,1769659,166179,0,0,0,0,0,0,78529,99.89,78529,78445,81,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859255,0,509.61,380842.8,44459.62,454,53,548457,43250,0,0,0,0,0,0,22222,99.86,22222,22192,36,0,0,0
10/07/2025,00,5GNR,South Central,185,Greater Arkansas,ARTN,1859256,0,44.12,532676.61,70464.31,635,84,763025,59468,0,0,0,0,0,0,30577,99.92,30577,30553,101,0,0,0
Total,*,*,*,*,*,*,*,0.01,1528.14,1444518.3,145961.78,1722,174,8326963,700216,12.6,5400,47.62,0,76935.24,0,319806,99.82,319798,319222,631,0,0,0
