DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2500500,0,1,362387.87,41104.18,432,49,52885,2660,2.88,720,9.12,1.12,2072.74,0,1954,100,1954,1954,4,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2500508,0,0.17,193776.84,22649.24,231,27,23728,1004,3.03,720,7.5,1,2180.24,0,1208,100,1208,1208,7,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2500516,0.01,1.21,182032.79,55364.81,217,66,73957,4539,1.74,1080,5.12,0.12,1878.49,0,3367,99.97,3367,3366,7,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2509500,0.02,520.1,3565158.4,282696.09,4250,337,13924507,1086729,31.4,5759,73.12,0,180821.49,0.02,596480,99.92,596221,595984,2725,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2509508,0.01,61.49,572103.07,68786.59,682,82,831377,74504,12.93,2880,32.5,0,37252.15,0,50426,99.96,50426,50406,176,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2509516,0.01,113.99,1413480.45,121634.82,1685,145,3299028,256825,34.37,4321,78.25,0,148565.63,0,150058,99.96,150056,149998,676,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2509548,0,0,0,0,0,0,0,0,22.91,2880,52.38,0,65979.76,0,0,NaN,0,0,0,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2509556,0,0,0,0,0,0,0,0,7.82,3600,24.38,0,28145.38,0,0,NaN,0,0,0,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,5GNB_BETHEL,2509521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,250,Duff 1,CNCQ,2500501,0,2.23,551131.55,52009.37,657,62,88666,5860,0,0,0,0,0,0,3902,100,3902,3902,5,0,0,0
