DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320150,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,13.51,6.7,2.47,2.47,2.46,41.27,41.29,41.24,14855.45,888.69,2728.44,0,0,3.63,3.97
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320150,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15.49,4.95,0.91,0.91,0.9,8.59,8.65,8.48,3091.78,326.08,2521.44,0,0,22.85,34.78
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320150,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.19,0.96,12.88,12.89,12.88,85.54,85.55,85.52,30793.62,4638.16,502.93,0,0,32.32,399.64
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320170,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,3.73,2.85,2.41,2.42,2.4,36.53,36.58,36.5,13151.7,868.08,1131.69,0,0,0.65,0.96
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320170,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2.8,0.79,0.86,0.86,0.86,11.07,11.09,11.06,3985.78,309.14,430.82,0,0,1.46,1.48
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1320170,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1.05,0.54,12.76,12.76,12.75,69.85,69.87,69.83,25146.04,4593.16,241.19,0,0,0.28,0.35
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329150,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,12.19,3.22,2.46,2.49,2.44,37.59,38.49,36.69,27064.71,1774.63,4828.06,0,0,46.32,50.57
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329150,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,25.68,0.94,1.73,2.17,1.33,15.78,20.41,11.33,11358.01,1246.65,4964.94,0,0,138.98,200.23
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329150,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49,8.98,0.56,9.93,9.94,9.92,78.15,79.85,76.45,56265.46,7148.72,2514.65,0,0,41.21,928.04
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329150,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,8.65,0.53,9.88,9.92,9.84,78.14,79.83,76.44,56258.72,7109.02,2624.05,0,0,40.98,874.34
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329151,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,3.48,2.87,2.45,2.45,2.44,36.75,36.77,36.72,13229.26,880.75,1154.91,0,0,0.62,0.51
10/07/2025,00,5GNR,Central Texas,132,Fort Worth,ELSS,1329151,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12,10.77,8.46,2.79,2.8,2.79,39.23,39.25,39.19,14121.22,1005.9,3281.96,0,0,29.7,44.46
