DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,4.5,3.03,2.32,2.33,2.32,36.96,37,36.93,26612.98,1671.35,2810.99,0,0,0.49,0.35
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,3.88,0.83,0.58,0.58,0.57,11.65,11.75,11.58,8390.81,417.43,982.48,0,0,2.94,2.84
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,1.45,0.57,9.83,9.84,9.83,76.64,76.7,76.62,55184.84,7078.62,666.92,0,0,0.42,0.55
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.12,0.54,9.83,9.84,9.83,76.62,76.68,76.59,55167.15,7078.41,551.14,0,0,0.29,0.3
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430250,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,5.23,4.64,2.45,2.45,2.44,40.63,40.65,40.62,14628.02,881.04,1724.85,0,0,2.51,1.94
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430250,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,7.25,1.52,0.79,0.8,0.79,6.99,7.01,6.98,2516.51,285.72,785.44,0,0,13.46,23.41
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2430250,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1.3,0.64,12.93,12.94,12.93,85.01,85.02,85,30602.61,4655.56,286.3,0,0,20.37,57.58
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,3.7,2.91,2.44,2.45,2.44,37.03,37.05,37.02,13332.88,879.08,1141.7,0,0,0.55,0.55
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38,15.01,12.13,2.47,2.48,2.47,38.59,38.61,38.57,13892.09,890.64,4815.22,0,0,59.1,62.57
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,13.95,0.99,1.6,1.96,1.27,16.49,21.4,11.75,11875.37,1155.53,2947.94,0,0,294.82,311.74
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.37,16.18,0.52,9.93,9.94,9.92,78.25,79.79,76.7,56337.31,7145.98,5306.45,0,0,50.4,5371.67
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439200,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,14.48,0.57,9.89,9.94,9.86,78.27,79.87,76.67,56353.21,7125.9,4503.27,0,0,69.28,4609.9
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439210,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56,17.62,3.14,2.45,2.48,2.42,37.89,38.8,36.99,27284.29,1763.1,6885.51,0,0,61.91,52.67
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439210,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67,14.31,1.07,1.54,1.83,1.27,15.72,19.75,11.85,11321.33,1109.88,2645.22,0,0,212.25,174.06
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439210,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,11.65,0.54,9.93,9.93,9.92,78.25,79.79,76.71,56337.7,7146.09,3699.25,0,0,44.52,4473.31
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439210,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,11.31,0.57,9.89,9.94,9.86,78.26,79.8,76.72,56345.3,7125.72,3716.89,0,0,47.9,1675.02
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,8.46,3.19,2.43,2.49,2.37,37.77,38.67,36.87,27190.55,1749.21,3989.95,0,0,14.83,18.35
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,10.98,2.52,1.7,1.72,1.69,17.86,17.99,17.8,6430.92,611.67,1192.37,0,0,93.48,103.65
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,3.26,1.08,1.28,1.28,1.28,11.68,11.71,11.66,4204.34,459.89,475.85,0,0,2.76,3.45
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,6.7,4.72,9.93,9.94,9.93,79.51,79.53,79.5,28624.61,3576.03,2085.69,0,0,26.05,494.75
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.22,0.54,9.88,9.88,9.87,76.67,76.71,76.64,27599.19,3555.85,319.57,0,0,0.78,0.38
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439220,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,7.3,0.56,9.88,9.91,9.83,78.12,79.57,76.7,56246.93,7109.08,2199,0,0,25.96,3731.08
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,4.78,3.3,2.38,2.4,2.36,37.23,37.51,36.96,26808.21,1712.19,2869.28,0,0,1.73,1.56
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,4.15,0.91,0.85,0.85,0.85,11.65,11.68,11.63,4194.27,307.14,507.15,0,0,2.75,2.51
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,5.89,1.2,0.83,0.83,0.83,13.92,13.95,13.9,5010.7,299.06,632.01,0,0,7.6,30.23
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.19,0.6,9.93,9.93,9.91,77.65,78.59,76.72,55911.22,7143.49,605.49,0,0,4.16,27.1
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,SFTP,2439330,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.2,0.54,9.89,9.92,9.87,77.62,78.58,76.67,55891.28,7123.72,559.67,0,0,4.23,26.74
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,UIC,0,1.73,2.57,1.23,6.72,6.74,6.7,41.52,41.63,41.41,29894.45,4838.19,1244.4,720,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.27,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,UMC,0,2.98,12.75,1.99,1.34,1.35,1.33,19.31,19.57,19.13,13904.86,962.26,2145.67,720,0,0,0,0,0,0,0,0,0,0,0,0,2.81,2.71,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,UPC,0,3.09,6.27,2.58,2.31,2.31,2.3,52.63,52.66,52.6,37894.81,1661.99,2223.74,720,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.48,0,0
10/07/2025,18,5GNR,Ohio/PA/WV,243,Bridgeville 2,JHTW,2439320,UPC,1,3.15,5.85,2.68,2.31,2.31,2.3,52.62,52.63,52.61,37887.98,1662.22,2267.98,720,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.47,0,0
