DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,4.41,3.19,2.53,2.53,2.52,37.45,37.46,37.43,13479.44,909.7,1415.56,0,0,0.48,0.78
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,4.11,0.79,1.3,1.3,1.3,11.93,11.94,11.91,4293.63,467.12,391.9,0,0,4.16,3.3
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.2,0.59,13.3,13.31,13.3,72.81,72.83,72.79,26211.8,4789.88,244.94,0,0,0.48,2.29
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,4.03,3.09,2.42,2.43,2.41,37.31,37.33,37.3,13432.41,871.46,1222.55,0,0,1.18,1.09
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,4.59,0.82,0.99,0.99,0.99,11.82,11.86,11.81,4256.17,356.96,424.05,0,0,3.35,9.14
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1.06,0.53,13.25,13.26,13.25,72.55,72.57,72.53,26118.56,4770.21,231.52,0,0,2.33,0.66
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1,0.51,13.19,13.2,13.19,72.62,72.65,72.61,26145.38,4748.7,222.15,0,0,2.3,0.44
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,4.79,5.97,2.63,9.94,9.96,9.91,88.41,88.62,88.21,31826.32,3576.73,1725.32,360,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.17,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,2.54,16.24,1.69,2.8,2.81,2.8,19.85,19.92,19.8,7145.07,1009.16,915.51,360,0,0,0,0,0,0,0,0,0,0,0,0,3.3,2.95,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,3.12,5,2.68,2.45,2.45,2.44,52.83,52.84,52.81,19017.93,880.96,1123.01,360,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0.77,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,3.29,5.05,2.83,2.4,2.4,2.39,52.85,52.86,52.84,19026.76,862.23,1183.75,360,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.51,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,2.73,3.94,2.35,9.44,9.46,9.41,86.69,86.87,86.49,31207.31,3396.86,981.13,360,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.12,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,3.36,10.55,1.94,1.7,1.71,1.7,19.07,19.14,19.01,6863.88,613.23,1208.47,360,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.82,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,3.19,5.54,2.68,2.36,2.36,2.36,52.73,52.74,52.72,18982.42,849.49,1148.3,360,0,0,0,0,0,0,0,0,0,0,0,0,116.73,117.87,0,0
10/07/2025,08,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,3.4,6.27,2.83,2.36,2.36,2.35,52.74,52.76,52.73,18987.67,848.99,1222.84,360,0,0,0,0,0,0,0,0,0,0,0,0,179.13,180.95,0,0
Total,*,*,*,*,*,*,*,*,*,3.3,16.24,1.69,4.18,9.96,1.7,53.14,88.62,19.01,153057.36,12037.65,9508.33,2880,1.65,4.59,0.51,6.71,13.31,0.99,45.21,72.83,11.81,113937.39,16914.03,4152.67,179.13,180.95,4.16,9.14
