DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14.04,3.24,2.46,2.48,2.44,37.59,38.16,37.03,27068.45,1769.08,5762.83,0,0,45.18,45.36
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,13.52,1.12,1.32,1.46,1.2,13.69,15.83,11.63,9854.46,953.29,1949.06,0,0,182.23,228.58
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,12.53,0.59,9.93,9.94,9.91,78.05,79.48,76.62,56194.02,7145.28,3940.08,0,0,37.07,4304.28
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,11.73,0.6,9.88,9.9,9.86,78.03,79.36,76.7,56180.67,7114.86,3993.56,0,0,40.07,4275.06
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12,17.27,14.85,2.47,2.48,2.47,38.74,38.76,38.72,13947.05,889.16,5803.89,0,0,49.48,57.4
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,4.42,3.01,2.41,2.41,2.4,37.02,37.04,37,13327.98,866.43,1376.68,0,0,0.42,0.41
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,14.62,4.44,1.58,1.6,1.56,19.84,20.03,19.7,7144.77,567.85,2124.28,0,0,271.05,323.55
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,4.22,0.99,0.72,0.72,0.72,11.7,11.72,11.69,4211.2,258.74,640.04,0,0,6.8,4.45
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.03,16.13,12.91,9.93,9.94,9.93,79.92,79.93,79.9,28769.61,3575.95,5052.03,0,0,48.81,3891.64
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,1.1,0.55,9.86,9.87,9.86,76.7,76.71,76.68,27610.77,3550.17,249.94,0,0,0.3,0.29
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659490,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,17.23,0.57,9.89,9.94,9.86,78.24,79.82,76.65,56331.13,7126.37,5623.1,0,0,46.41,5432.62
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UIC,0,1.98,2.99,1.27,6.87,6.89,6.86,41.92,41.99,41.86,15092.63,2473.47,713.19,360,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.15,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UIC,1,3.86,4.68,3.52,7.08,7.09,7.06,41.84,41.92,41.77,15062.3,2548.06,1390.91,360,0,0,0,0,0,0,0,0,0,0,0,0,4.64,4.91,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UMC,1,4.41,25.32,3.03,3,3.26,2.74,20.19,21.24,19.18,14533.29,2158.36,3174.36,720,0,0,0,0,0,0,0,0,0,0,0,0,17.71,16.54,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UPC,0,5.07,9.79,2.68,2.4,2.4,2.39,54.54,56.49,52.63,39267.52,1726.85,3652.53,720,0,0,0,0,0,0,0,0,0,0,0,0,2097.32,2103.11,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UPC,1,5.05,12.95,2.63,2.34,2.35,2.34,54.51,56.38,52.63,39243.52,1688.31,3633.79,720,0,0,0,0,0,0,0,0,0,0,0,0,2140.74,2160.76,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UPC,2,5.04,13.65,2.63,2.37,2.4,2.34,54.5,56.38,52.61,39237.46,1708.07,3631.83,720,0,0,0,0,0,0,0,0,0,0,0,0,2056.63,2054.52,0,0
10/07/2025,14,5GNR,New England,065,Fairfield County Wallingford 2,WNDS,0659451,UPC,3,5.28,10.88,2.58,2.35,2.35,2.34,54.49,56.38,52.6,39231.28,1687.93,3803.18,720,0,0,0,0,0,0,0,0,0,0,0,0,2504.8,2513.91,0,0
