DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,EXTERNAL_TYPE,0,0,36,225346,358,0.16,0,28,200521,358,0.13
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,EXTERNAL_TYPE,1,0,0,9,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,INTERNAL_TYPE,0,0,67,390283,358,0.44,0,57,282222,358,0.38
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UMC,1,INTERNAL_TYPE,0,0,187,1099867,357,2.9,0,159,1125735,357,4.48
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UMC,1,INTERNAL_TYPE,1,0,0,3829,357,0.01,0,0,0,357,0
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UMC,1,MANAGEMENT_TYPE,0,0,0,35246,357,0.06,0,45,35904,357,2.38
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,0,EXTERNAL_TYPE,0,0,44153,48560203,358,661.47,0,43966,41142668,358,666.97
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,0,EXTERNAL_TYPE,1,0,39802,44849479,358,540.56,0,39603,37692416,358,545.3
10/07/2025,07,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,0,INTERNAL_TYPE,0,0,29,163536,358,0.5,0,56,235957,358,1.76
