DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0780100,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,7.5,6.27,2.49,2.49,2.48,41.16,41.18,41.14,14817.01,894.86,2412.06,0,0,3.62,3.58
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0780100,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96,22.12,4.02,0.86,0.87,0.86,8.28,8.33,8.25,2981.4,310.34,3585.21,0,0,20.73,38.45
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0780100,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,2.13,1.16,12.92,12.93,12.92,85.44,85.46,85.44,30675.46,4639.45,498.37,0,0,33.7,70.51
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61,19.88,14.31,2.47,2.48,2.47,38.42,38.44,38.4,13831.34,889.7,5981.62,0,0,69.79,58.32
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,4.86,3,2.44,2.45,2.44,37.11,37.13,37.09,13358.67,878.85,1394.07,0,0,0.45,0.39
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93,24.21,1.03,1.62,1.96,1.3,16.57,21.36,11.92,11928.98,1164.56,4987.98,0,0,188.2,216.48
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.09,10.17,7.03,9.93,9.93,9.93,79.72,79.73,79.7,28696.72,3575.09,2910.24,0,0,48.82,1087.07
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,1.32,0.58,9.92,9.92,9.91,76.75,76.75,76.73,27627.5,3570.79,311.8,0,0,0.29,0.28
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789100,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,9.87,0.57,9.89,9.93,9.86,78.26,79.81,76.71,56348.58,7125.49,3055.09,0,0,48.19,1154.18
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43,8.59,6.66,2.48,2.48,2.47,38.02,38.03,37.99,13685.9,891.96,2677.43,0,0,27.71,28.25
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,3.05,2.3,2.44,2.45,2.44,37.12,37.14,37.1,13362.41,879.94,874.24,0,0,0.73,0.65
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,14.98,2.41,1.61,1.62,1.59,17.48,17.59,17.39,6291.24,578.12,2128.3,0,0,90.4,131.32
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,2.99,0.84,1.29,1.29,1.29,12.09,12.12,12.07,4352.43,463.72,452.23,0,0,3.74,3.54
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,6.15,3.51,9.93,9.93,9.93,79.18,79.19,79.17,28504.42,3574.66,1959.52,0,0,20.45,442.68
10/07/2025,21,5GNR,New York Metro,078,Westch Rockld Putnam ,YNKR,0789103,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0.96,0.48,9.92,9.92,9.92,76.74,76.75,76.73,27626.8,3571.32,247.12,0,0,0.27,0.26
