DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,11.75,9.15,2.51,2.51,2.5,37.15,37.17,37.12,13372.56,902.99,3592.72,0,0,0.41,0.95
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49,20.96,3.54,4.22,4.23,4.22,35.78,35.84,35.7,12879.69,1518.99,1613.72,0,0,3.43,6.47
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HOU0099,1290099,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,3.17,1.46,7.42,7.43,7.42,58.74,58.77,58.72,21147.86,2672.91,617.85,0,0,2.36,1.51
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,6.75,6.04,2.49,2.5,2.49,41.36,41.39,41.33,14889.03,897.79,2287.75,0,0,3.2,3.43
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34,19.09,4.9,1.1,1.11,1.1,9.12,9.2,9.07,3284.5,395.35,2283.15,0,0,29.12,33.34
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,3.35,1.16,12.93,12.93,12.92,85.27,85.29,85.25,30697.31,4653.94,561.35,0,0,32.64,56.42
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,7,6.14,2.52,2.53,2.51,41.42,41.47,41.39,14913.11,906.66,2322.53,0,0,3.67,3.36
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74,18.71,4.13,0.87,0.88,0.86,8.66,8.74,8.61,3116.49,311.68,2064.89,0,0,30.82,33.5
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290005,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,2.74,0.98,12.95,12.96,12.95,85.32,85.33,85.3,30714.66,4663.55,448.12,0,0,32.77,34.19
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,7.19,6.29,2.5,2.51,2.49,41.47,41.49,41.44,14927.61,899.26,2340.64,0,0,3.44,3.46
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23,26.26,4.38,1.1,1.11,1.09,9.67,9.74,9.62,3481.52,395.1,2242.21,0,0,30.55,34.41
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290008,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,2.25,1.1,12.93,12.94,12.92,85.23,85.25,85.21,30684.14,4653.73,457.64,0,0,32.36,39.4
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290012,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,7.8,6.73,2.5,2.5,2.49,41.24,41.28,41.21,14848.89,898.25,2629.47,0,0,3,3.1
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290012,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,18.01,3.8,1.06,1.07,1.06,8.91,8.97,8.85,3206.63,381.16,1770.49,0,0,28.45,35.32
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290012,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,2.35,0.99,12.93,12.93,12.92,85.13,85.15,85.11,30645.55,4653.44,405.95,0,0,32.37,109.52
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290013,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,8.07,6.69,2.48,2.48,2.47,41.22,41.24,41.19,14838.19,891.3,2573.14,0,0,2.78,3.35
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290013,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,23.66,3.37,1,1.02,1,8.78,8.84,8.73,3159.77,360.88,1927.65,0,0,28.07,32.37
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290013,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,2.3,0.93,12.92,12.93,12.92,85.08,85.1,85.07,30631.07,4652.82,396.02,0,0,32.99,45.33
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290016,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29,8.03,6.68,2.5,2.5,2.49,41.36,41.4,41.33,14889.69,899.19,2622.78,0,0,3.32,3.5
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290016,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,21.4,4.61,1.02,1.04,1.02,9,9.06,8.95,3240.35,367.88,2277.2,0,0,34.02,35.45
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290016,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,2.86,1.08,12.93,12.94,12.92,85.31,85.33,85.29,30713,4654.27,468.22,0,0,32.73,45.88
10/07/2025,03,ICL 1,Houston/Gulf Coast,129,Houston,HSNO,1290022,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,8.06,6.86,2.49,2.5,2.49,41.34,41.37,41.31,14882.38,897.28,2659.87,0,0,3.23,3.54
