DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99,4.39,3.36,2.52,2.53,2.52,37.26,37.28,37.23,13411.23,908.84,1436.9,0,0,0.56,0.78
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,3.92,0.78,1.3,1.3,1.3,11.68,11.7,11.62,4203.73,467.34,392.98,0,0,3.87,3.36
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.12,0.59,13.31,13.31,13.3,72.6,72.63,72.57,26135.97,4789.99,245.65,0,0,0.47,1.2
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,3.94,3.04,2.42,2.43,2.41,37.12,37.15,37.1,13365.05,871.05,1203.34,0,0,0.52,1.02
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.5,0.83,0.99,0.99,0.99,11.58,11.61,11.55,4168.27,356.88,421.62,0,0,4.07,6.64
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,1.01,0.53,13.25,13.25,13.24,72.36,72.38,72.33,26047.54,4769.71,230.97,0,0,2.28,0.51
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.97,0.5,13.19,13.2,13.19,72.46,72.49,72.43,26085.09,4748.82,220.05,0,0,2.33,0.53
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,4.72,5.86,2.63,9.94,9.96,9.91,86.75,87.01,86.46,31227.47,3576.91,1700.42,360,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.18,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,2.56,16.48,1.86,2.8,2.81,2.8,18.86,18.95,18.79,6788.55,1008.7,922.58,360,0,0,0,0,0,0,0,0,0,0,0,0,3.64,4.27,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,3.12,3.89,2.68,2.45,2.45,2.44,52.71,52.72,52.69,18974.95,880.74,1122.53,360,0,0,0,0,0,0,0,0,0,0,0,0,22.06,22.22,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,3.29,4.9,2.73,2.39,2.4,2.39,52.73,52.75,52.71,18983.45,861.9,1184.98,360,0,0,0,0,0,0,0,0,0,0,0,0,151.47,151.36,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,2.74,4.15,2.45,9.43,9.45,9.41,85,85.25,84.79,30601.59,3395.09,987.41,360,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.17,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,3.37,9.62,1.96,1.7,1.71,1.7,18.33,18.43,18.27,6598.83,612.92,1213.8,360,0,0,0,0,0,0,0,0,0,0,0,0,2.76,2.81,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,3.17,5.56,2.68,2.36,2.36,2.35,52.6,52.62,52.59,18937.98,849.07,1140.82,360,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.62,0,0
10/07/2025,00,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,3.39,4.5,2.93,2.36,2.36,2.35,52.62,52.64,52.6,18943.49,848.99,1219.17,360,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.61,0,0
Total,*,*,*,*,*,*,*,*,*,3.3,16.48,1.86,4.18,9.96,1.7,52.45,87.01,18.27,151056.31,12034.32,9491.71,2880,1.65,4.39,0.5,6.71,13.31,0.99,45.01,72.63,11.55,113416.88,16912.63,4151.51,151.47,151.36,4.07,6.64
