DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,8.16,6.95,2.44,2.45,2.43,41.28,41.3,41.26,14861.49,878.09,2685.92,0,0,5.39,5.78
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,14.17,5.26,0.75,0.76,0.75,9.46,9.49,9.44,3403.55,269.96,2502.75,0,0,36.73,35.16
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,2.64,1.33,12.89,12.89,12.88,85.5,85.51,85.49,30780.41,4639.43,687.02,0,0,34.69,104.98
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31,8.08,6.92,2.46,2.46,2.45,41.74,41.77,41.72,15029,884.51,2631.8,0,0,4.78,5
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15,24.27,3.27,0.7,0.72,0.7,9.28,9.37,9.24,3339.95,253.28,3652.56,0,0,29.5,35.06
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2.53,1.18,12.88,12.89,12.88,85.29,85.3,85.28,30703.45,4637.04,577.2,0,0,34.58,69.8
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.86,7.85,6.45,2.47,2.48,2.47,41.39,41.42,41.37,14899.91,889.25,2469.65,0,0,4.76,4.64
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,11.87,3.16,0.75,0.75,0.75,8.93,8.95,8.92,3215.79,270.11,1911.58,0,0,30.46,34.78
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,2.28,1.09,12.88,12.88,12.87,85.54,85.56,85.52,30794.08,4635.53,461.63,0,0,35.22,77.72
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.79,3.08,2.43,2.43,2.42,36.91,36.93,36.89,13287.41,873.62,1473.93,0,0,0.39,0.34
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.94,25.82,22.62,2.45,2.46,2.45,38.94,38.96,38.91,14017.25,883.75,8617.74,0,0,86.95,93.85
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.23,23.85,8.79,2.03,2.06,2.01,22.07,22.43,21.87,7942.88,731.9,4404.6,0,0,392.17,253.83
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.98,1.15,1.08,1.08,1.08,11.58,11.61,11.57,4169.84,390.04,702.59,0,0,4.38,5.58
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,24.21,0.59,9.91,9.93,9.91,78.34,80.03,76.66,56407.33,7139.95,8191.05,0,0,74.1,5856.65
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69,23.07,0.56,9.88,9.93,9.85,78.33,80,76.65,56394.26,7119.93,7698.81,0,0,80.6,6206.59
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609240,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32,23.05,3.16,2.44,2.47,2.43,37.92,38.9,36.94,27301.24,1761.04,8867.06,0,0,98.48,84.08
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609240,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,23.03,1.15,1.52,1.84,1.23,15.76,20.01,11.65,11344.69,1096.32,4142.8,0,0,273.38,188.47
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609240,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.56,14.72,0.56,9.92,9.93,9.9,78.25,79.88,76.63,56342.33,7139.99,4720.51,0,0,61.5,4102.55
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609240,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82,15.9,0.58,9.87,9.89,9.85,78.2,79.78,76.64,56306.18,7107.52,4908.21,0,0,62.52,4103.4
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,UIC,1,1.38,1.96,1.21,6.97,7,6.96,41.98,42.07,41.91,15114.76,2512.09,496.91,360,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.34,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,UMC,0,3.65,13.95,2.4,0.99,1,0.99,19.68,19.77,19.62,7087.2,358.05,1313.84,360,0,0,0,0,0,0,0,0,0,0,0,0,4.18,5.62,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,UPC,0,4.72,7.86,4.1,2.37,2.38,2.37,55.85,55.86,55.83,20104.83,854.45,1699.01,360,0,0,0,0,0,0,0,0,0,0,0,0,2521.53,2524.9,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600004,UPC,1,4.07,6.7,3.54,2.37,2.38,2.37,55.85,55.87,55.84,20106.56,854.66,1465.75,360,0,0,0,0,0,0,0,0,0,0,0,0,723.7,728.73,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UIC,1,1.35,1.99,1.2,6.94,6.96,6.93,42.47,42.54,42.39,15288.28,2499.85,488.59,360,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.37,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UMC,1,3.06,25.78,2.14,1.25,1.26,1.25,20.37,20.45,20.32,7334.49,450.72,1100.95,360,0,0,0,0,0,0,0,0,0,0,0,0,7.57,4.67,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UPC,0,3.67,6.06,3.19,2.42,2.42,2.42,55.94,55.95,55.93,20138.29,871.12,1320.82,360,0,0,0,0,0,0,0,0,0,0,0,0,419.33,422.34,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UPC,1,4.18,5.61,3.7,2.37,2.37,2.36,55.91,55.92,55.9,20126.79,851.55,1504.7,360,0,0,0,0,0,0,0,0,0,0,0,0,2131.04,2061.29,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UPC,2,4.32,5.93,3.85,2.37,2.37,2.36,55.91,55.93,55.9,20129.09,851.42,1554.69,360,0,0,0,0,0,0,0,0,0,0,0,0,445.31,449.34,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600006,UPC,3,4.2,7.13,3.79,2.32,2.33,2.32,55.68,55.69,55.66,20044.27,836.18,1512.97,360,0,0,0,0,0,0,0,0,0,0,0,0,511.67,516.21,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UIC,1,1.41,1.96,1.25,6.96,6.98,6.95,42.09,42.18,41.98,15150.64,2506.62,507.95,360,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.45,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UMC,1,3.52,28,2.44,1.03,1.04,1.03,20.07,20.16,20,7226.91,371.35,1269.9,360,0,0,0,0,0,0,0,0,0,0,0,0,6.92,4.83,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UPC,0,4.51,6.58,3.99,2.37,2.37,2.37,55.79,55.8,55.78,20084.65,853.26,1622.45,360,0,0,0,0,0,0,0,0,0,0,0,0,543.95,549.13,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UPC,1,4.28,7.16,3.79,2.37,2.37,2.37,55.8,55.81,55.78,20085.48,853.21,1541.3,360,0,0,0,0,0,0,0,0,0,0,0,0,223.04,223.62,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UPC,2,4.54,7.18,4.09,2.37,2.37,2.37,55.81,55.83,55.79,20092.11,853.32,1635.71,360,0,0,0,0,0,0,0,0,0,0,0,0,389.27,392.93,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0600020,UPC,3,4.28,7.78,3.84,2.37,2.37,2.36,55.8,55.83,55.79,20088.11,852.49,1539.29,360,0,0,0,0,0,0,0,0,0,0,0,0,406.09,411.36,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UIC,0,7.04,7.97,5.28,7.05,7.07,7.03,41.61,41.71,41.5,14980.75,2538.45,2534.75,360,0,0,0,0,0,0,0,0,0,0,0,0,8.47,8.59,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UIC,1,2.57,2.94,1.35,7.01,7.02,6.99,41.42,41.5,41.33,14911.14,2522.62,925.77,360,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.32,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UMC,0,4.86,24.37,2.44,2.78,3.54,2.03,21.13,23.56,18.84,15214.67,1998.83,3498.91,720,0,0,0,0,0,0,0,0,0,0,0,0,41.27,21.46,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UPC,0,7.09,18.28,2.38,2.36,2.39,2.33,54.44,56.33,52.55,39198.93,1699.51,5101.72,720,0,0,0,0,0,0,0,0,0,0,0,0,3383.34,3383.98,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UPC,1,6.33,16.66,2.42,2.36,2.39,2.33,54.44,56.32,52.55,39193.44,1698.36,4561.9,720,0,0,0,0,0,0,0,0,0,0,0,0,3346.68,3369.7,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UPC,2,7.16,19.47,2.47,2.39,2.39,2.38,54.45,56.34,52.56,39203.43,1717.77,5156.73,720,0,0,0,0,0,0,0,0,0,0,0,0,3255.02,3303.36,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UPC,3,6.51,15.25,2.63,2.36,2.39,2.33,54.45,56.35,52.55,39202.98,1699.95,4684.76,720,0,0,0,0,0,0,0,0,0,0,0,0,3067.73,3026.82,0,0
10/07/2025,12,5GNR,New England,060,RI/Bristol County MA - Taunton,WNDS,0609201,UPC,4,6.64,13.15,2.78,2.38,2.39,2.36,54.45,56.32,52.58,39205.74,1709.21,4783.64,720,0,0,0,0,0,0,0,0,0,0,0,0,3216.32,3188.85,0,0
