DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,10TH_JACKSON,0319068,1,219,0.46,0.74,13,195,6.67,2990.38,441.26,16,96.72,20.65,18.95,22.98,27.25,1.23,9.64,1.72,14362,1951728,23923.05,2481.66,219,218,100,28.03,7.43,6637.18,820.33,442.6,NaN,NaN,NaN,0,0,NaN,NaN,22.83,7.43,0.58,0.58,817.7,117.7,19.01,2.74,0,0,0,0,0,0,0,0,0,-11.11,-1,9,4.55,1,22,2,0,0,21,0,0.54,0.38,22.66,2.62,0,5.26,3,2.33,NaN,30.88,8887,2744,-115.72,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_10TH_JACKSON,0317068,15,7630,0.2,9.75,563,7534,7.47,168231.77,12764.16,262,99.33,9.13,76.58,56.29,101.4,2.82,138.37,30.87,39037435,400468180,1345854.14,9726.27,7630,7615,50,101.5,7.47,160659.71,116996.34,12757.01,146.45,0.92,0,63801.69,4653.73,7.74,3.08,72.73,12.49,0.51,0.34,52927.28,3621.96,14.29,1.39,124,20.67,30,30,3258,0,3238,39.71,36.48,0,0,26,0,0,39,2,0,0,39,0,0.23,0,4.27,NaN,0,0,2,2.74,NaN,44.3,47463,21026,-112.42,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7530,0317530,0,101,0,8.4,0,101,0,11665.93,254.37,13,99.77,10.07,10.64,8.28,85.7,1.32,97.88,6.64,15857,188769,93327.44,953.53,101,101,33.33,84.85,0,9446.02,5715.82,200.48,98.62,0,0,3501.24,35.83,6.48,0.55,43.82,0,0,0,810.17,40.54,12.16,1.04,5,1.25,3,0,3,0,10,37.07,17.87,0,0,3,0,0,4,1,0,0,4,0,0.01,0,NaN,NaN,0,0,1,2.46,NaN,33.64,1712,576,-116.45,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7531,0317531,3,2259,0.13,6.53,32,2139,1.5,25164.7,2220.34,110,99.14,7.06,17.98,9.43,93.24,1.94,61.77,11.44,2063322,31585338,201317.6,3259.06,2259,2256,100,93.25,1.61,24533.55,19939.7,2219.73,157.86,0.64,0,6388.89,346.9,2.69,1.24,75.3,1.85,4.14,0.22,13459.6,990.88,8.9,1.68,23,1.92,6,2,314,0,303,26.04,15.63,-66.67,-2,3,0,0,8,1,0,0,8,0,8.91,0.14,24.02,5.48,0,0,1,1.62,0,42.33,13086,5539,-116.27,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7532,0317532,2,931,0.21,6.19,33,886,3.72,9188.2,941.84,52,98.43,10.63,19.63,9.62,86.06,2.14,44.24,8.88,785316,12685806,73505.57,1661.56,931,929,50,86.05,3.72,8964.4,8619.65,940.86,220.04,2.78,0,3368.48,289.62,2.54,26.04,71.05,3.6,0,0.24,4743.59,589.44,14.79,1.81,8,1.33,3,2,72,0,73,37.58,30.78,NaN,0,0,0,0,8,1,0,0,8,0,10.98,0.04,208.12,NaN,NaN,0,1,6.33,NaN,56.02,12810,7176,-116.05,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7601,0317601,3,672,0.45,2.14,28,660,4.24,14589.4,1089.25,62,99.7,4.15,9.29,4.6,230.58,4.11,73.46,10.86,152214,7121856,116715.16,1588.87,672,669,100,227.38,4.24,9890.21,12496.7,785.57,290.74,0,0,4790.43,203.06,3.23,22.97,181.59,5.18,1.74,0.53,3714.02,400.28,5.26,4.61,12,1,3,0,119,0,109,48.44,25.85,0,0,9,0,0,15,2,0,0,15,0,0.11,0,NaN,NaN,0,0,2,0.98,NaN,64.02,10418,6670,-115.94,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_CA_SANJOSE_GRP_7718,0317718,2,2095,0.1,4.16,37,2012,1.84,16588.65,3977.5,98,99.77,4.34,16.54,7.11,181.22,9.41,53.99,22.26,873978,20985615,132709.2,2458.22,2095,2093,100,181.18,1.84,16188.28,14362.36,3976.34,124.67,0,0,333.3,44.73,8.37,6.61,176.34,2.74,5.99,0.14,14009.82,3753.03,4.39,9.44,27,2.25,5,0,664,0,672,2.06,1.12,0,0,3,0,0,9,1,0,0,9,0,0.18,0,2.83,NaN,0,0,1,1.46,NaN,34.43,9609,3308,-115.91,0.07
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_500STCKTN_SANJOSE_GRP_7654,0317654,0,0,NaN,NaN,0,0,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_ABBOTT_STREET,0317319,8,4095,0.2,6.43,189,3867,4.89,87486.42,5080.1,168,99.18,11.45,53.7,39.98,112.49,2.03,101.31,17.52,9728588,151408530,699891.39,6908.21,4095,4087,100,117,4.89,67696.6,70909.67,4262.54,133.84,0.64,0,20152.53,800.64,6.94,1.06,111.13,5.97,3.68,0.24,36253.4,2459.41,15.76,2.15,50,8.33,12,5,783,0,778,29.77,18.78,0,0,17,0,0,31,3,0,0,31,0,1.82,0,49.18,NaN,0,0,3,1.04,0,48.78,34666,16909,-115.11,0
10/06/2025,12,ICL 1,N. California,031,Sunnyvale,4G5G_ABORN_EAST,0317077,1,2149,0.05,0.37,29,2103,1.38,50436.62,8102.73,104,99.29,7.15,44.75,32.2,112.25,5.98,72.51,33.53,81121,21999313,403492.95,5564.51,2149,2148,50,112.23,1.38,48786,36706.58,8102.37,146.96,0.39,0,25985.62,2845.75,5.7,3.69,69.09,2.31,1.38,0.09,10631.56,4369.61,13.33,8.71,55,9.17,16,4,1018,0,1002,53.26,35.12,0,0,33,12.5,4,32,2,6.67,2,30,0,466.28,13.37,136.17,20.59,0,12.5,2,3.64,NaN,32.25,10204,3291,-115.28,0
