DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,5GNR_ENDC_Setup_Failure_Num,5GNR_ENDC_Setup_Failure_Den,5GNR_ENDC_Setup_Failure_%,5GNR_Addition_Failure_%,5GNR_ENDC_Drop_Num,5GNR_ENDC_Drop_Den,5GNR_ENDC_Drop_%,5GNR_DL_MAC_Volume_MB,5GNR_UL_MAC_Volume_MB,5GNR_Peak_numOf_UE,5GNR_DL_RLC_ACK_%,5GNR_DL_RLC_Delay_ms,5GNR_PUSCH_Slot_Utilization,5GNR_PDSCH_Slot_Utilization,5GNR_DL_UE_MAC_Throughput_Mbps_19Q3,5GNR_UL_MAC_UE_Throughput_Mbps_19Q3,5GNR_DL_MAC_Cell_Throughput_Mbps,5GNR_UL_MAC_Cell_Throughput_Mbps,5GNR_Addition_Failure_Num,5GNR_Addition_Failure_Den,5GNR_DL_MAC_Cell_Throughput_Num,5GNR_DL_MAC_Cell_Throughput_Den,pmEndcSetupUeAtt,pmEndcSetupUeSucc,5GNR_Cell_Availability_%,EBSN_DL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Drop_%,EBSN_MAC_DL_DRB_Volume_MB,EBSN_MAC_DL_DRB_Volume_MB_NSA,EBSN_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_FWA_ENDC_Drop_%,EBSN_NSA_FWA_ENDC_Setup_Fail_%,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB,EBSN_NSA_FWA_RLC_Delay_ms,EBSN_NSA_FWA_UL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_DL_UE_MAC_Throughput_Mbps,EBSN_NSA_Mobility_ENDC_Drop_%,EBSN_NSA_Mobility_ENDC_PScellChange_Fail_%,EBSN_NSA_Mobility_ENDC_Setup_Fail_%,EBSN_NSA_Mobility_MAC_DL_DRB_Volume_MB,EBSN_NSA_Mobility_MAC_UL_DRB_Volume_MB,EBSN_NSA_Mobility_RLC_Delay_ms,EBSN_NSA_Mobility_UL_UE_MAC_Throughput_Mbps,EBSN_ENDC_Peak_UE_FWA_Spid125,EBSN_ENDC_Peak_UE_FWA_Spid125_Avg,EBSN_ENDC_Peak_UE_FWA_Spid125_Max,EBSN_NSA_FWA_ENDC_Drop_%_num,EBSN_NSA_FWA_ENDC_Drop_%_den,EBSN_NSA_FWA_ENDC_Setup_Fail_%_num,EBSN_NSA_FWA_ENDC_Setup_Fail_%_den,EBSN_NSA_FWA_MAC_DL_DRB_Volume_MB_%_of_Total,EBSN_NSA_FWA_MAC_UL_DRB_Volume_MB_%_of_Total,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Setup_Fail_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_den,EBSN_SA_EP1_HeroSlice_Bearer_Max,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Num,EBSN_SA_EP1_HeroSlice_Bearer_Drop_%_Active_UE_Den,EBSN_SA_EP1_HeroSlice_Handover_Failure_%,EBSN_SA_EP1_HeroSlice_MAC_DL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_MAC_UL_DRB_Volume_MB,EBSN_SA_EP1_HeroSlice_DL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_UL_UE_MAC_Throughput_Mbps,EBSN_SA_EP1_HeroSlice_PDU_Session_Estab_Fail_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Drop_%,EBSN_SA_EP1_HeroSlice_PDU_Session_Max,EBSN_SA_EP1_HeroSlice_RLC_Delay_ms,EBSN_SA_EP1_HeroSlice_ISHO_to_LTE_Failure_%,5GNR_RACH_Msg3_Failure_%,5GNR_RACH_Msg3_Failure_%_Den,5GNR_RACH_Msg3_Failure_%_Num,5G_NR_Radio_Interference_PUSCH,5G_NR_Radio_Interference_PUSCH_gt_neg100dBm_perPRB_%
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303070_LAKE_WALES_FL,1477028,0,2149,0,6.18,32,2120,1.51,108692.24,6573.26,123,97.82,7.33,50.48,37.93,92.65,1.52,132.67,24.12,1061606,17185553,869537.93,6554.02,2149,2149,100,92.67,1.51,107773.47,103394.04,6570.19,119.8,1.39,0,72004.97,2246.66,5.12,1.29,64.18,1.59,0,0,30844.82,3566.35,12.25,1.38,59,9.83,22,12,865,0,873,66.81,34.19,0,0,11,0,0,11,2,0,0,11,0,4.1,0,117.47,NaN,0,0,2,1.92,NaN,39.78,7503,2985,-115.47,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_303133_SEBRING_FL,1477030,0,1572,0,2.29,44,1564,2.81,168741.7,5994.43,123,98.95,4.59,57.81,47.55,146.5,2.66,164.28,19.2,234228,10236864,1349933.61,8217.16,1572,1572,100,146.49,2.81,165789.84,136482.9,5995.17,184.09,2.25,0,117276.36,3691.7,3.97,4.23,52.9,3.47,0.09,0,17644.04,1411.63,12.76,1.3,72,12,24,19,843,0,865,70.74,61.58,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,39.21,6363,2495,-115.15,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_3RD_STREET_WATER_TANK,1477222,17,4921,0.35,0.41,158,4885,3.23,156994.1,9075.73,240,98.17,8.35,76.16,61.01,81.71,1.94,119.12,22.07,339408,82633432,1255952.77,10543.21,4921,4904,100,81.72,3.23,154924.91,135889.19,9077.9,95.65,7.15,0,72649.62,3416.09,4.99,2.99,64.05,2.26,0.47,0.44,62746.19,4549.67,13.57,1.32,75,12.5,15,70,979,0,1022,46.89,37.63,0,0,4,0,0,11,2,0,0,11,0,0.13,0,NaN,NaN,0,0,2,1.53,0,20.87,16781,3503,-114.49,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_60TH_AND_14TH,1479066,0,84,0,0.9,0,84,0,914.84,125.98,7,99.89,12.53,6.67,8.23,54.33,8.29,24.71,4.2,420,46620,7318.73,296.13,84,84,100,54.31,0,896.05,642.17,126.02,NaN,NaN,NaN,0,0,NaN,NaN,53.31,0,35.85,0,642.17,35.76,15.94,4.37,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,3,1,0,0,3,0,16.21,0,37.64,NaN,NaN,0,1,1.96,NaN,27.82,550,153,-120.47,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ABSOLUTE_TRAILER,1477260,0,997,0,0.93,9,996,0.9,34830.04,1823.37,70,99.83,8.39,35.75,19.15,83.41,1.58,84.22,9.44,33898,3642041,278640.28,3308.54,997,997,100,83.44,0.9,24787.56,23066.09,1501.12,123.44,0,0,8922.14,525.13,5.34,3.98,55.24,1.12,4.05,0,8777.38,759.94,15.25,1.06,15,2.5,5,0,189,0,184,35.99,34.98,0,0,19,0,0,20,2,0,0,20,NaN,0.52,0.09,244.94,8.09,0,0,2,1.35,NaN,28.79,3619,1042,-115.77,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_EAST_FROSTPROOF,1477365,0,1278,0,9.17,57,1270,4.49,28365.01,1091.45,57,98.19,7.94,24.55,15.72,89.87,0.73,83.53,8.23,425574,4640418,226920.11,2716.51,1278,1278,100,90.02,4.49,28037.55,24554.76,1091.08,160.77,4.48,0,19409,611.31,3.61,0.59,43.03,4.53,0,0,5107.35,343.96,27.75,0.95,40,6.67,23,44,983,0,990,69.23,56.03,NaN,0,0,NaN,0,0,0,NaN,0,0,NaN,0,0,NaN,NaN,NaN,NaN,0,NaN,NaN,50.7,3298,1672,-115.51,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ACME_SANDHILL,1477156,1,593,0.17,6.13,9,582,1.55,8010.82,931.18,40,98.38,4.45,15.59,6.08,176.01,2.42,60.96,11.06,129056,2106336,64086.56,1051.28,593,592,50,176.25,1.55,7847.97,5990.72,930.07,113.35,0,0,793.16,45.96,2.41,0.3,161.08,3.17,0,0.34,5187.55,723.99,4.38,2.85,11,1.83,7,0,298,0,297,10.11,4.94,0,0,11,0,0,11,1,0,0,11,NaN,113.46,0,555.26,NaN,0,0,1,2.41,NaN,43.29,3340,1446,-115.57,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_AIR_STAR_TREK,1477268,0,2177,0,0.24,18,2188,0.82,92011.01,4044.41,129,98.76,7.5,32.32,36.49,72.11,1.75,71.84,6.62,167629,70049329,736088.06,10246.52,2177,2177,100,72.26,0.82,90068.86,56389.06,4031.03,85.81,0.55,0,38947.01,818.8,6.46,0.77,44.66,1.09,9.18,0,17255.02,918.04,12.57,1.06,76,8.44,25,6,1085,0,1080,43.24,20.31,0,0,7,0,0,12,1,0,0,12,0,0.32,0.01,92.22,NaN,0,0,1,1.64,NaN,9.6,32100,3080,-115.76,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ALHAMBRA,1477149,0,374,0,0.45,0,378,0,24162.15,1071,32,99.78,9.12,20.25,13.29,105.59,3.38,69.67,5.34,10098,2261578,193297.18,2774.52,374,374,100,107.19,0,23322.95,13796.33,1068.93,96.92,0,0,11136.54,180.09,5.96,0.89,52.95,0,0,0,2630.05,760.3,9.48,5.3,14,2,9,0,194,0,191,47.75,16.85,0,0,3,0,0,4,1,0,0,4,0,0.19,0.08,22.03,6.34,0,0,1,1.33,NaN,9.72,6020,585,-115.79,0
10/06/2025,22,5GNR,Florida,147,Sarasota - Tampa2,4G5G_ANCHORAGE,1477137,0,4090,0,1.1,51,4228,1.21,63127.56,4201.75,128,98.65,9.03,7.92,15.99,122.99,9.87,89.55,19.02,891620,80924740,505020.44,5639.52,4090,4090,100,124.16,1.21,62230.76,36027.77,4208.9,115.66,0.13,0,13601.11,1.22,6.65,0.11,82.45,2.45,1.96,0,22386.59,4.32,12.97,0.15,53,4.82,13,3,2267,0,2167,21.86,0.03,0,0,8,0,0,8,1,0,0,8,0,0.1,0,122.96,NaN,0,0,1,3.22,NaN,21.45,19568,4198,-117,0
