DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,0.28,50331.65,35232.15,60,42,5656,731,0,0,0,0,0,0,743,99.87,743,742,119,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0,0,29360.13,0,35,0,464,10,0,0,0,0,0,0,83,100,83,83,4,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,1.28,207198.62,56203.67,247,67,29532,2039,2.49,720,6.88,0.25,1795.38,0,706,99.58,706,703,51,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,0.8,161061.27,53687.09,192,64,29831,1381,0,0,0,0,0,0,826,100,826,826,97,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0.01,0.06,1236480.82,50331.65,1474,60,84107,1627,0,0,0,0,0,0,673,100,673,673,32,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0.01,1.71,252497.1,16777.22,301,20,4452,445,0,0,0,0,0,0,262,100,262,262,28,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0.01,0.05,150156.08,5872.03,179,7,16075,768,0,0,0,0,0,0,567,100,567,567,93,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0.01,0.01,57881.4,22649.24,69,27,8917,2669,0,0,0,0,0,0,195,100,195,195,17,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.07,54525.95,5872.03,65,7,4284,243,0,0,0,0,0,0,322,100,322,322,52,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.04,98985.57,1677.72,118,2,2190,258,0,0,0,0,0,0,170,100,170,170,14,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0.01,0.44,108213.04,10066.33,129,12,5246,359,0,0,0,0,0,0,672,99.85,672,671,160,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.14,145122.92,31037.85,173,37,38205,691,0,0,0,0,0,0,758,100,758,758,23,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,0.11,126667.98,20971.52,151,25,25347,1540,0,0,0,0,0,0,508,100,508,508,41,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0.01,0.5,149317.22,38587.6,178,46,35044,5258,0,0,0,0,0,0,872,99.89,872,871,95,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,0.01,0.07,85563.8,32715.57,102,39,11060,1049,0.73,720,3,0,523,0,498,100,498,498,98,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,CA_SAC_TRUXEL_046,0360346,0,0,15099.49,0,18,0,111,9,0,0,0,0,0,0,87,100,87,87,2,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360001,0,0.28,229847.86,44459.62,274,53,61822,2376,0.85,1080,3.12,0,924,0,535,99.81,535,534,86,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360003,0,0.21,112407.35,70464.31,134,84,48211,4059,0,0,0,0,0,0,582,100,582,582,26,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360004,0,0.49,171966.46,36909.88,205,44,41311,7386,2.33,720,5.75,1,1676.5,0,587,100,587,587,119,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360005,0,0.02,102341.02,74658.61,122,89,4718,1105,0,0,0,0,0,0,454,99.78,454,453,3,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360008,0,0.44,138412.03,30198.99,165,36,10665,638,0,0,0,0,0,0,538,100,538,538,14,0,0,0
10/07/2025,23,ICL 1,N. California,036,Rocklin,RCKL,0360011,0.01,0.42,195454.57,36909.88,233,44,28767,3930,0,0,0,0,0,0,729,100,729,729,77,0,0,0
