DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,BTRH,1219109,0,0,0,0,0,0,0,0,13.57,3600,35.25,0,48852.27,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219101,0.02,569.11,2428502.02,275985.2,2895,329,6753774,696492,16.92,4320,44.5,0,73098.75,0.02,574463,99.93,574446,574063,2502,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219103,0.01,1179.53,1928540.98,239914.19,2299,286,6652359,651232,15.41,5040,40.5,0,77647.24,0,524704,99.97,524695,524554,2674,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219105,0.02,337.87,1239836.26,141767.48,1478,169,2015789,190722,14.1,2880,37.88,0,40599.01,0.08,168019,99.97,168017,167974,621,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219107,0.01,31.44,371615.33,57042.53,443,68,343870,32828,16.43,4320,46.12,0,70984.01,0,30616,99.99,30616,30613,88,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219110,0.03,0.01,111568.49,4194.3,133,5,10912,504,12.6,2160,36.12,0,27207.64,0,1051,100,1051,1051,3,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219999,0,0.09,163577.86,0,195,0,799,21,0.05,720,2,0,39.33,0,48,100,48,48,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219102,0.02,659.62,1964611.99,238236.47,2342,284,5667277,568117,0,0,0,0,0,0.03,450986,99.69,449753,449572,2047,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219104,0.03,618.48,1991455.54,185388.24,2374,221,4483794,390727,0,0,0,0,0,0,374411,99.93,374406,374149,1300,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219106,0.01,181.61,1056964.61,179516.21,1260,214,1733638,162397,0,0,0,0,0,0.1,138599,99.97,138593,138552,506,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1210086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,121,Copperfield,HSNO,1219153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.01,3577.76,2428502.02,275985.2,2895,329,27662212,2693040,12.72,23040,46.12,0,338428.25,0.02,2262897,99.9,2261625,2260576,9741,0,0,0
