DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,0.39,168611.02,20132.66,201,24,16294,1709,0,0,0,0,0,0,3982,99.65,3982,3968,700,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0,0,109890.76,2516.58,131,3,909,31,0,0,0,0,0,0,144,98.61,144,142,37,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,11.27,750780.42,76336.33,895,91,36099,3084,2.3,720,10.12,1,1655.12,0.01,3359,99.91,3356,3356,217,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,33.96,288568.12,58720.26,344,70,33961,3706,0,0,0,0,0,0,7127,99.93,7127,7122,1219,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,0.32,161900.13,20971.52,193,25,23588,2094,0,0,0,0,0,0,2139,100,2139,2139,208,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0,0.09,146800.64,83886.08,175,100,12415,1412,0,0,0,0,0,0,1994,99.7,1994,1988,175,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,0.5,113246.21,38587.6,135,46,27239,2597,0,0,0,0,0,0,4607,99.96,4607,4605,905,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,1.99,203843.17,46137.34,243,55,12757,1726,0,0,0,0,0,0,1873,99.89,1873,1871,355,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,1.66,540226.36,24326.96,644,29,15255,1876,0,0,0,0,0,0,2370,100,2370,2370,313,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.24,114923.93,13421.77,137,16,3735,305,0,0,0,0,0,0,1022,100,1022,1022,129,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,11.75,244108.49,29360.13,291,35,21961,4390,0,0,0,0,0,0,5992,99.92,5992,5987,1776,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.09,194615.71,42781.9,232,51,11300,1279,0,0,0,0,0,0,1948,99.95,1948,1947,263,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,0.77,161061.27,21810.38,192,26,21670,3624,0,0,0,0,0,0,2475,100,2475,2475,260,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_RADIO_ROAD,0360146,0,0.63,284373.81,37748.74,339,45,39123,4540,0,0,0,0,0,0,2501,99.92,2501,2499,341,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,0.03,0.18,225653.56,17616.08,269,21,13126,2316,1.03,720,8.75,0,738.25,0,2516,99.76,2516,2510,489,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SOUTHSAC_072,0360137,0,0.12,241591.91,46976.2,288,56,10692,1062,0,0,0,0,0,0,1405,99.93,1405,1404,140,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_TRUXEL_046,0360346,0,0.03,128345.7,5872.03,153,7,1960,102,0,0,0,0,0,0,422,100,422,422,23,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360001,0,0.26,241591.91,112407.35,288,134,33569,3878,1.34,1080,6,0,1446,0,3176,99.91,3176,3173,474,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360003,0,0.28,355676.98,149317.22,424,178,51624,3998,0,0,0,0,0,0,2101,99.86,2098,2098,267,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360004,0,1.84,271790.9,41104.18,324,49,79815,5655,2.84,720,11.25,1,2042.13,0,3732,99.84,3732,3726,958,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360005,0.08,0.02,124151.4,13421.77,148,16,5118,1905,0,0,0,0,0,0,904,99.56,904,900,42,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360008,0.02,0.36,656828.01,33554.43,783,40,18600,969,0,0,0,0,0,0,1338,100,1338,1338,77,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360011,0,0.3,203004.31,24326.96,242,29,28273,4141,0,0,0,0,0,0,2656,99.7,2656,2648,256,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360013,0,0.59,370776.47,62075.7,442,74,33562,8132,1.78,720,6.88,0.75,1283,0,2599,99.31,2599,2581,229,0,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360018,0,1.37,204682.04,13421.77,244,16,18740,2203,2.16,720,12.38,1,1555.01,0,1559,100,1559,1559,238,0,0,0
