Market,Region,VCPType,Technology,Datacenter,Site,Id,Timestamp,Freq,'GNB.ENDCAddAtt','GNB.ENDCAddprepSucc','GNB.ENDCAddsucc','GNB.ENDCRelbySgnb.Delta','GNB.ENDCRelbySgnb','GNB.ENDCAddSuccRate'
036,N. California,VCP Edge 1.x,NR,,,0360342,2025-10-07T21:00:00-05:00,3600,1507,1507,1498,,310,99.4
036,N. California,VCP Edge 1.x,NR,,,0360248,2025-10-07T21:00:00-05:00,3600,126,126,126,,16,100
036,N. California,VCP Edge 1.x,NR,,,0360064,2025-10-07T21:00:00-05:00,3600,1451,1450,1447,,132,99.72
036,N. California,VCP Edge 1.x,NR,,,0360201,2025-10-07T21:00:00-05:00,3600,2657,2657,2657,,453,100
036,N. California,VCP Edge 1.x,NR,,,0360152,2025-10-07T21:00:00-05:00,3600,876,876,876,,89,100
036,N. California,VCP Edge 1.x,NR,,,0360006,2025-10-07T21:00:00-05:00,3600,911,911,908,,82,99.67
036,N. California,VCP Edge 1.x,NR,,,0360007,2025-10-07T21:00:00-05:00,3600,1866,1865,1864,,345,99.89
036,N. California,VCP Edge 1.x,NR,,,0360107,2025-10-07T21:00:00-05:00,3600,545,545,544,,112,99.82
036,N. California,VCP Edge 1.x,NR,,,0360106,2025-10-07T21:00:00-05:00,3600,1141,1141,1141,,159,100
036,N. California,VCP Edge 1.x,NR,,,0360206,2025-10-07T21:00:00-05:00,3600,543,543,542,,51,99.82
036,N. California,VCP Edge 1.x,NR,,,0360203,2025-10-07T21:00:00-05:00,3600,2180,2180,2178,,656,99.91
036,N. California,VCP Edge 1.x,NR,,,0360237,2025-10-07T21:00:00-05:00,3600,804,804,804,,101,100
036,N. California,VCP Edge 1.x,NR,,,0360021,2025-10-07T21:00:00-05:00,3600,1316,1316,1316,,96,100
036,N. California,VCP Edge 1.x,NR,,,0360146,2025-10-07T21:00:00-05:00,3600,1609,1609,1607,,267,99.88
036,N. California,VCP Edge 1.x,NR,,,0360002,2025-10-07T21:00:00-05:00,3600,960,960,955,,186,99.48
036,N. California,VCP Edge 1.x,NR,,,0360346,2025-10-07T21:00:00-05:00,3600,271,271,271,,7,100
036,N. California,VCP Edge 1.x,NR,,,0360001,2025-10-07T21:00:00-05:00,3600,1514,1514,1513,,201,99.93
036,N. California,VCP Edge 1.x,NR,,,0360003,2025-10-07T21:00:00-05:00,3600,828,828,827,,108,99.88
036,N. California,VCP Edge 1.x,NR,,,0360004,2025-10-07T21:00:00-05:00,3600,1275,1275,1273,,339,99.84
036,N. California,VCP Edge 1.x,NR,,,0360005,2025-10-07T21:00:00-05:00,3600,403,403,399,,21,99.01
036,N. California,VCP Edge 1.x,NR,,,0360008,2025-10-07T21:00:00-05:00,3600,604,604,604,,39,100
036,N. California,VCP Edge 1.x,NR,,,0360011,2025-10-07T21:00:00-05:00,3600,1105,1105,1104,,142,99.91
036,N. California,VCP Edge 1.x,NR,,,0360013,2025-10-07T21:00:00-05:00,3600,1107,1107,1102,,51,99.55
036,N. California,VCP Edge 1.x,NR,,,0360018,2025-10-07T21:00:00-05:00,3600,626,626,626,,106,100
036,N. California,VCP Edge 1.x,NR,,,0360023,2025-10-07T21:00:00-05:00,3600,605,605,605,,63,100
036,N. California,VCP Edge 1.x,NR,,,0360037,2025-10-07T21:00:00-05:00,3600,1621,1621,1604,,159,98.95
036,N. California,VCP Edge 1.x,NR,,,0360042,2025-10-07T21:00:00-05:00,3600,697,696,695,,58,99.71
036,N. California,VCP Edge 1.x,NR,,,0360044,2025-10-07T21:00:00-05:00,3600,1312,1308,1307,,279,99.62
036,N. California,VCP Edge 1.x,NR,,,0360046,2025-10-07T21:00:00-05:00,3600,771,771,769,,150,99.74
036,N. California,VCP Edge 1.x,NR,,,0360048,2025-10-07T21:00:00-05:00,3600,3097,3097,3088,,366,99.71
036,N. California,VCP Edge 1.x,NR,,,0360050,2025-10-07T21:00:00-05:00,3600,2415,2415,2411,,430,99.83
036,N. California,VCP Edge 1.x,NR,,,0360052,2025-10-07T21:00:00-05:00,3600,2340,2340,2335,,286,99.79
