DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669501,0.08,11.19,371615.33,110729.63,443,132,593914,57510,3.67,2880,12.12,0,10571.88,0,41247,98.5,41105,40627,252,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669502,0.01,7.44,639211.93,57042.53,762,68,464601,41122,0,0,0,0,0,0,26086,96.43,26086,25156,112,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669526,0.01,957.65,1813617.05,213070.64,2162,254,3237777,310038,0,0,0,0,0,0,148198,98.93,148195,146618,447,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669527,0,14.32,304506.47,46976.2,363,56,400889,31510,0,0,0,0,0,0,24642,99.3,24642,24469,63,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660550,0,1.99,390909.13,18454.94,466,22,57790,1425,0.95,720,7,0,686.38,0,461,100,461,461,1,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660598,0,0,0,0,0,0,0,0,0,719,0.88,0,0.88,0,0,NaN,0,0,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WSBO,0669545,0,0,0,0,0,0,0,0,12.39,2880,34.5,0,35686.99,0,0,NaN,0,0,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660551,0,1.08,84724.94,23488.1,101,28,11620,455,0,0,0,0,0,0,266,100,266,266,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660552,0.01,30.73,100663.3,68786.59,120,82,15831,5596,0,0,0,0,0,0,419,100,419,419,3,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660554,0.01,4.06,55364.81,21810.38,66,26,4173,227,0,0,0,0,0,0,293,100,293,293,1,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660555,0,1.56,94791.27,30198.99,113,36,7032,495,0,0,0,0,0,0,269,100,269,269,1,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660556,0,5.9,104857.6,82208.36,125,98,14142,1471,0,0,0,0,0,0,174,100,174,174,3,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660557,0.01,0.94,44459.62,4194.3,53,5,3229,405,0,0,0,0,0,0,165,100,165,165,1,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660558,0.01,0.1,26843.55,0,32,0,1370,19,0,0,0,0,0,0,18,100,18,18,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0660599,0,0,218942.67,0,261,0,482,6,0,0,0,0,0,0,49,100,49,49,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,00,5GNR,New England,066,VT/West MA Counties Windsor 1,WNDS,0669550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.01,1036.96,1813617.05,213070.64,2162,254,4812850,450279,4.25,7199,34.5,0,46946.13,0,242287,98.64,242142,238984,884,0,0,0
