DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259501,0.04,215.64,421108.12,49492.79,502,59,566815,50240,0,0,0,0,0,0,47542,99.95,47541,47516,229,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259502,0.02,48.44,292762.42,38587.6,349,46,232291,17510,0,0,0,0,0,0,17937,99.98,17937,17933,85,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259503,0.02,201.6,775107.38,114085.07,924,136,1382558,125278,0,0,0,0,0,0,101022,99.96,101022,100977,635,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259504,0.01,966.59,1323722.34,140928.61,1578,168,3040885,276996,13.94,3600,37.62,0,50192.98,0.01,223513,99.95,223509,223403,1129,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259505,0.01,1170.41,1542665.01,166933.3,1839,199,3241803,296874,13.9,2880,36.62,0,40040.27,0.15,295276,99.86,295244,294856,2152,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259506,0.01,2160.1,1319528.04,176999.63,1573,211,2111650,182590,0,0,0,0,0,0.02,181720,99.97,181719,181658,1079,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259652,0,0.47,218942.67,19293.8,261,23,12879,899,0,0,0,0,0,0,1045,100,1045,1045,2,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,BTRH,1259507,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,06,ICL 1,Houston/Gulf Coast,125,Baton Rouge,5GNB_BAYOU_PAUL,1259604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.01,4763.25,1542665.01,176999.63,1839,211,10588881,950387,9.28,7920,37.62,0,90233.25,0.02,868055,99.92,868017,867388,5311,0,0,0
