"KpiResourcePropID","KpiResourceRelMbrID","PropNameExpr","PropValueExpr","CreatedDte","UpdatedDte","KpiResourceTypeID","created","updated"
5360,5359,displayName,deviceName,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5361,5359,Market,Market,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5362,5359,Region,Region,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5363,5359,technology,technology,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5364,5359,version,version,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5365,5359,Site,Site,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5366,5359,Domain,Domain,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5367,5359,domainType,domainType,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5368,5359,NFName,NFName,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5369,5359,NFType,NFType,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5370,5359,interval,interval,1661843289,1661843289,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5880,5879,displayName,deviceName,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5881,5879,Market,Market,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5882,5879,Region,Region,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5883,5879,technology,technology,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5884,5879,version,version,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5885,5879,Site,Site,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5886,5879,Domain,Domain,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
5887,5879,domainType,domainType,1661843292,1661843292,,"2025-06-03 10:22:10","2025-06-03 10:22:10"
