DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,0.81,270952.04,75497.47,323,90,10981,1399,0,0,0,0,0,0,1408,99.22,1408,1397,197,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0.01,0,23488.1,0,28,0,702,11,0,0,0,0,0,0,97,92.78,97,90,26,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,1.38,93113.55,68786.59,111,82,7272,1556,1.2,720,6.75,0,868,0,1297,99.77,1297,1294,74,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,1.88,76336.33,31037.85,91,37,11951,798,0,0,0,0,0,0,1324,99.92,1324,1323,186,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0.01,0.94,88080.38,31876.71,105,38,7370,1560,0,0,0,0,0,0,1030,99.9,1030,1029,58,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0.01,0.01,123312.54,84724.94,147,101,5630,388,0,0,0,0,0,0,796,99.37,796,791,65,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0.01,0.1,76336.33,79691.78,91,95,7931,635,0,0,0,0,0,0,1206,100,1206,1206,211,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,0.03,145122.92,27682.41,173,33,6845,297,0,0,0,0,0,0,512,100,512,512,86,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.15,216426.09,22649.24,258,27,7984,641,0,0,0,0,0,0,829,100,829,829,110,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.01,254174.82,2516.58,303,3,2686,86,0,0,0,0,0,0,409,100,409,409,35,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_LEADHILL_006,0360203,0,5.3,125829.12,30198.99,150,36,6819,764,0,0,0,0,0,0,2055,99.95,2055,2054,705,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_047,0360237,0,0.22,74658.61,73819.75,89,88,12516,726,0,0,0,0,0,0,819,100,819,819,77,0,0,0
10/07/2025,06,ICL 1,N. California,036,Rocklin,CA_SAC_PARKWAY_051,0360021,0,2.08,100663.3,16777.22,120,20,12964,742,0,0,0,0,0,0,1061,99.91,1061,1060,91,0,0,0
