DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680026,0.1,2.32,454662.55,121634.82,542,145,71055,8387,1.51,720,4.12,0,1084.87,0,4524,99.76,4524,4513,19,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680029,0,3.71,370776.47,57042.53,442,68,146934,12428,2.76,720,6,1,1989.75,0,3806,99.84,3806,3800,24,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0689551,0.01,265.94,1004116.38,121634.82,1197,145,2123989,208245,7.81,2880,22.25,0,22506.14,0.05,196608,99.95,196607,196516,938,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WSBO,0689590,0,0,0,0,0,0,0,0,25.6,2880,61.88,0,73722.9,0,0,NaN,0,0,0,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0689552,0.01,480.52,3227936.36,279340.65,3848,333,7452622,757206,0,0,0,0,0,0,641239,99.93,641205,640816,3698,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680030,0,1.65,199648.87,62075.7,238,74,101975,5812,0,0,0,0,0,0,3868,99.77,3868,3859,24,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680031,0.01,3.33,99824.44,27682.41,119,33,30307,2336,0,0,0,0,0,0,1568,99.74,1568,1564,10,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680032,0,0.01,135056.59,5033.16,161,6,2202,263,0,0,0,0,0,0,485,100,485,485,0,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680033,0,0.3,196293.43,9227.47,234,11,13759,1915,0,0,0,0,0,0,673,99.85,673,672,6,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0680049,0,0.13,179516.21,12582.91,214,15,5394,352,0,0,0,0,0,0,371,100,371,371,2,0,0,0
10/07/2025,17,5GNR,New England,068,Hartford County - Windsor 1,WNDS,0689600,0.05,0,6710.89,1677.72,8,2,26,2,0,0,0,0,0,0,39,100,39,39,0,0,0,0
Total,*,*,*,*,*,*,*,0.02,757.91,3227936.36,279340.65,3848,333,9948263,996946,9.42,7200,61.88,0,99303.66,0,853181,99.94,853146,852635,4721,0,0,0
