DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260104,0,0.13,254174.82,68786.59,303,82,9808,2363,0.87,720,4,0,626.64,0,2562,100,2562,2562,3,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260108,0,46.22,211392.92,54525.95,252,65,13222,1126,0.08,720,3,0,55.26,0.02,824,100,824,824,1,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260120,0,5.4,404330.91,65431.14,482,78,46244,4392,0.41,720,3,0,294.75,0,2892,100,2892,2892,14,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269606,0,2.6,273468.62,58720.26,326,70,280751,29672,7.38,2160,20.12,0,15930,0,13959,100,13959,13959,14,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269650,0,1.93,240753.05,63753.42,287,76,135029,27490,1.09,1440,6,0,1567.38,0,11602,99.99,11602,11601,16,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269653,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269675,0,0.01,156028.11,25165.82,186,30,84098,4445,0.01,2880,2,0,40.87,0,3111,99.97,3111,3110,8,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260105,0,3.83,277662.92,78852.92,331,94,32552,5648,0,0,0,0,0,0,1675,100,1675,1675,3,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260106,0,0.01,329672.29,79691.78,393,95,19376,3180,0,0,0,0,0,0,1052,100,1052,1052,0,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260107,0,0.4,189582.54,83047.22,226,99,28071,2924,0,0,0,0,0,0,1716,100,1716,1716,1,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260121,0,0.53,315411.66,94791.27,376,113,14401,3493,0,0,0,0,0,0,1045,100,1045,1045,0,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260128,0,0.01,211392.92,41943.04,252,50,20499,3349,0,0,0,0,0,0,1838,100,1838,1838,2,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1260130,0.01,0,11744.05,838.86,14,1,171,11,0,0,0,0,0,0,273,100,273,273,0,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269601,0.01,134.6,2208720.49,277662.92,2633,331,7029662,703250,0,0,0,0,0,0,292185,99.99,292175,292157,338,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269602,0.01,23.34,1287651.33,138412.03,1535,165,3249037,313915,0,0,0,0,0,0.01,142984,99.98,142981,142955,135,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269603,0.01,137.32,1379926.02,171966.46,1645,205,3377785,353346,0,0,0,0,0,0.01,166161,99.98,166159,166129,227,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269604,0,228.23,871576.37,114923.93,1039,137,1490887,157534,0,0,0,0,0,0,79067,99.99,79067,79059,125,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269605,0,3.42,780140.54,126667.98,930,151,599115,82498,0,0,0,0,0,0,29957,99.99,29957,29955,21,0,0,0
10/07/2025,02,ICL 1,Houston/Gulf Coast,126,Covington,BTRH,1269651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0,587.98,2208720.49,277662.92,2633,331,16430708,1698636,1.4,10080,20.12,0,18514.9,0,752903,99.99,752888,752802,908,0,0,0
