DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_037,0360342,0,0.08,355676.98,52848.23,424,63,8926,1423,0,0,0,0,0,0,977,99.8,977,975,155,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_ARDEN_066,0360248,0,0,31037.85,0,37,0,982,28,0,0,0,0,0,0,104,100,104,104,9,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,0,0.91,408525.21,83886.08,487,100,39398,2729,2.88,720,7,0.88,2072.36,0,907,99.67,907,904,76,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_GALLERIA_044,0360201,0,6.17,364065.59,24326.96,434,29,30869,3184,0,0,0,0,0,0,1296,100,1296,1296,179,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_JULLIARD,0360152,0,0.48,965528.78,15938.36,1151,19,28721,887,0,0,0,0,0,0,680,100,680,680,34,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_012,0360006,0,0,141767.48,31876.71,169,38,8521,742,0,0,0,0,0,0,442,100,442,442,33,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_015,0360007,0,0.06,148478.36,30198.99,177,36,16551,1855,0,0,0,0,0,0,828,100,828,828,139,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_076,0360107,0,0.01,73819.75,41943.04,88,50,14358,3602,0,0,0,0,0,0,249,100,249,249,43,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_093,0360106,0,0.07,293601.28,27682.41,350,33,4981,459,0,0,0,0,0,0,498,100,498,498,62,0,0,0
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_LAGUNA_107,0360206,0,0.01,117440.51,52009.37,140,62,1526,436,0,0,0,0,0,0,201,100,201,201,12,0,0,0
