DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729201,0.01,27.71,391747.99,41104.18,467,49,368391,41291,6.89,3600,22,0,24810.13,0,27004,99.91,27004,26979,58,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729202,0.01,236.14,1072064.1,148478.36,1278,177,1944756,201473,0,0,0,0,0,0,140692,99.94,140691,140608,270,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729204,0,10.04,648439.4,89758.11,773,107,753622,53599,0,0,0,0,0,0,36961,99.99,36961,36957,46,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729205,0,151,724775.73,89758.11,864,107,1033668,112447,0,0,0,0,0,0,62730,99.96,62730,62702,161,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729206,0,0.89,347288.37,44459.62,414,53,181628,22877,6.54,2160,18.88,0,14122.26,0,14341,99.99,14341,14339,22,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729207,0.01,67.39,869898.65,110729.63,1037,132,913437,90051,0,0,0,0,0,0,67092,99.97,67092,67074,93,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729208,0.01,0.32,170288.74,11744.05,203,14,27931,1406,0,0,0,0,0,0,2217,100,2217,2217,6,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729209,0,162.28,380842.8,46137.34,454,55,247662,27211,0,0,0,0,0,0.02,17776,99.98,17776,17773,35,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729210,0.01,3.89,564553.32,55364.81,673,66,250614,24236,4.81,1440,15.12,0,6923.5,0,18426,99.96,18426,18419,35,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729211,0.2,38.06,546098.38,51170.51,651,61,363365,30548,0,0,0,0,0,0,28381,99.98,28381,28376,47,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729212,0,105.12,304506.47,61236.84,363,73,116867,19649,0,0,0,0,0,0.02,7923,99.97,7923,7921,25,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729215,0.22,0.04,58720.26,10066.33,70,12,4598,571,0,1440,1,0,3,0,675,100,675,675,4,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729217,0.01,0,55364.81,1677.72,66,2,3933,149,0,0,0,0,0,0,261,100,261,261,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729299,0.01,0,5033.16,838.86,6,1,7,2,0,0,0,0,0,0,8,100,8,8,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,S6_SYR3_ESYR,0729203,0.1,174.49,1325400.06,127506.84,1580,152,1335695,127797,11.58,2880,30.38,0,33345.86,0,95885,99.94,95882,95832,306,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720001,0,0.46,181193.93,26843.55,216,32,50314,4290,0.08,1080,3,0,90.76,0,1843,100,1843,1843,6,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720002,0,0.45,1218025.88,27682.41,1452,33,38196,1972,0.14,1079,11.38,0,148.48,0,1258,100,1258,1258,5,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720004,0.02,0.04,104857.6,7549.75,125,9,1900,112,0.01,720,1,0,5.51,0,198,100,198,198,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,HNRT,0729279,0,0,0,0,0,0,0,0,0,1440,1,0,2,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720003,0.01,0.13,176160.77,24326.96,210,29,23466,2045,0,0,0,0,0,0,1188,100,1188,1188,4,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720005,0,2.02,83047.22,10905.19,99,13,18680,824,0,0,0,0,0,0,733,100,733,733,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720006,0,0,6710.89,0,8,0,48,4,0,0,0,0,0,0,12,100,12,12,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720008,0,0,1677.72,0,2,0,2,0,0,0,0,0,0,0,1,100,1,1,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0720100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
10/07/2025,02,5GNR,Upstate New York,072,Syracuse,ESYR,0729289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.02,980.47,1325400.06,148478.36,1580,177,7678780,762554,3.34,15839,30.38,0,79451.5,0,525605,99.96,525601,525374,1123,0,0,0
