DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,PdcpSduLossRateUL,PdcpSduRetxByteDL,PdcpMaxThroughputDL,PdcpMaxThroughputUL,PdcpSduMaxVolumeDL,PdcpSduMaxVolumeUL,PdcpSduVolumeDL,PdcpSduVolumeUL,UpcLoadAvg,UpcLoadCnt,UpcLoadMax,UpcLoadMin,UpcLoadTot,PdcpSduLossRateDL,ENDCAddAtt,ENDCAddSuccRate,ENDCAddprepSucc,ENDCAddsucc,ENDCRelbySgnb,CAUSEE1APTRANSPORTLAYERTRANSPORTRESOURCEUNAVAILABLE,InThruPeak,OutThruPeak
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859250,0.01,640.55,1476395.01,98985.57,1760,118,2077074,123243,0,0,0,0,0,0.01,48485,99.97,48485,48471,116,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859251,0.02,498.01,2477155.94,146800.64,2953,175,2855202,201355,0,0,0,0,0,0.01,51845,99.97,51845,51831,133,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859252,0.21,222.29,791045.73,67108.86,943,80,1622440,122473,0,0,0,0,0,0,47942,99.98,47942,47933,264,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859253,0.01,3274.83,1009149.54,93113.55,1203,111,2314750,170146,0,0,0,0,0,0.03,98483,99.98,98480,98463,376,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859254,0.01,5752.93,1293523.35,119957.09,1542,143,3005889,232643,0,0,0,0,0,0.05,99056,99.99,99056,99043,259,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859255,0.01,634.58,593913.45,67108.86,708,80,1087446,76366,0,0,0,0,0,0.01,30250,99.97,30250,30240,158,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859256,0.07,107.37,700448.77,102341.02,835,122,1443466,92471,0,0,0,0,0,0,43354,99.97,43354,43339,257,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859257,0.01,70.93,547776.1,78852.92,653,94,456122,29256,30.2,2880,69.62,0,86981.88,0,15691,99.99,15691,15689,73,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859260,0,0,0,0,0,0,0,0,19.65,2159,46.88,0,42442.11,0,0,NaN,0,0,0,0,0,0
10/07/2025,21,5GNR,South Central,185,Greater Arkansas,ARTN,1859261,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,0,NaN,0,0,0,0,0,0
Total,*,*,*,*,*,*,*,0.03,11201.49,2477155.94,146800.64,2953,175,14862389,1047953,16.62,6119,69.62,0,129423.99,0.01,435106,99.98,435103,435009,1636,0,0,0
