DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090250,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,8.32,7.14,2.47,2.48,2.47,41.37,41.39,41.34,14890.96,890.22,2812.57,0,0,3.48,4.37
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090250,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46,13.16,3.58,0.74,0.75,0.74,8.36,8.42,8.32,3011.67,267.26,3046.86,0,0,30.81,37.69
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090250,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,2.49,1.25,12.88,12.88,12.88,85.33,85.34,85.31,30803.12,4649.4,557.01,0,0,33.19,110.63
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090252,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,7.19,6.08,2.48,2.48,2.47,41.21,41.23,41.18,14834.66,891.07,2312.51,0,0,5.28,4.48
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090252,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,25.37,3.63,0.73,0.74,0.73,8.34,8.41,8.29,3000.01,262.66,2591.3,0,0,27.18,33.86
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090252,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,3.02,1.35,12.9,12.91,12.9,85.33,85.35,85.31,30719.61,4644.56,722.27,0,0,33.46,105.41
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090253,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,4.51,3.33,2.49,2.49,2.48,38.51,38.53,38.48,13862.3,895.94,1353.89,0,0,2.33,1.52
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090253,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,10.72,1.11,1.29,1.3,1.29,13.79,13.83,13.75,4963.84,465.79,618.37,0,0,5.95,11.06
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090253,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.15,0.64,13.27,13.27,13.26,74.42,74.45,74.41,26793.21,4775.43,274.94,0,0,5.67,24.11
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090254,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,7.93,7.02,2.47,2.48,2.46,40.67,40.71,40.65,14642.6,888.85,2714.2,0,0,1.87,2.15
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090254,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,14.97,1.78,0.8,0.8,0.8,6.94,6.98,6.92,2499.1,287.74,1239.77,0,0,15.51,23.3
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090254,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,1.53,0.84,12.93,12.93,12.92,85,85.02,84.96,30600.95,4654.08,370.96,0,0,24.74,43.18
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090270,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,4.49,3.52,2.48,2.49,2.47,38.47,38.49,38.44,13847.44,892.81,1401.76,0,0,2.06,2.6
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090270,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,16.08,2.18,1.23,1.24,1.23,14.44,14.51,14.38,5196.53,442.73,1359.2,0,0,21.61,26.86
10/07/2025,07,5GNR,Washington/Baltimore/Virginia,109,Frederick - Woodlawn 2,ANJT,1090270,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,1.78,1,13.27,13.27,13.26,74.45,74.47,74.42,26800.6,4775.77,470.3,0,0,22.49,49.79
