DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370400,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,7.76,6.43,2.47,2.47,2.46,40.73,41.14,40.58,14660.6,887.85,2540.32,0,0,1.98,3.26
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370400,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,11.13,2.01,0.7,0.7,0.69,6.94,7.79,6.76,2498.11,250.38,1165.44,0,0,20.69,34.03
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370400,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,2.05,0.87,12.88,12.89,12.88,85.07,85.36,85,30626.68,4637.71,358.54,0,0,32.31,34.05
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370412,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,8.11,6.71,2.47,2.48,2.47,40.98,41.38,40.82,14751.43,890.36,2691.64,0,0,2.39,4.18
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370412,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,9.2,2.15,0.73,0.73,0.73,7.22,8.21,7.01,2598.27,261.85,1104.65,0,0,20.87,34.45
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370412,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,2.08,0.85,12.87,12.88,12.87,85.11,85.39,85.04,30640.6,4634.95,366.69,0,0,32.63,30.71
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370419,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,5.01,3.48,2.49,2.49,2.48,37.98,38.39,37.84,13670.61,895.36,1639.1,0,0,1.86,1.25
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370419,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,6.25,1.63,1.14,1.15,1.14,13.07,14.25,12.66,4707.1,411.21,956.02,0,0,12.43,18.47
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370419,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,1.71,0.73,13.27,13.27,13.26,73.97,74.4,73.87,26630.03,4775.78,390.29,0,0,10.95,14.06
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370420,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,4.14,3.51,2.49,2.49,2.48,37.89,38.29,37.75,13640.77,894.76,1367.32,0,0,1.45,1.44
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370420,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,7.04,1.86,1.24,1.24,1.24,13.53,15.18,13.06,4870.88,445.76,977.66,0,0,16.87,24.59
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1370420,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1.57,0.78,13.27,13.28,13.27,73.84,74.26,73.73,26581.37,4778.13,322.41,0,0,23.61,16.81
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1379400,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89,16.71,3.01,2.43,2.48,2.37,37.52,38.72,36.59,20221.28,1308.2,4796.79,0,0,65.5,51.29
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1379400,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03,19.68,6.89,1.95,1.99,1.93,19.32,23.31,18.16,5216.93,526.47,2437.87,0,0,169.71,225.1
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1379400,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,3.59,0.94,1.22,1.22,1.22,11.42,11.96,11.24,3083.11,329.22,314.56,0,0,12.9,7.44
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1379400,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,9.28,0.58,9.93,9.93,9.91,78.09,79.94,76.43,42166.7,5359.18,2315.79,0,0,53.04,4271.68
10/07/2025,23,5GNR,Central Texas,137,Austin,SCHZ,1379400,CPC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,9.43,0.59,9.9,9.94,9.86,78.09,79.94,76.44,42169.74,5345.33,2383.84,0,0,47.3,2580.43
