DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UIC,1,1.31,1.52,1.13,7.04,7.06,7.03,42.89,43,42.82,15441.4,2535.4,473.21,360,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.42,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UMC,1,4.03,16.11,2.14,1,1.01,1,19.78,19.83,19.72,7122.04,361.34,1451.66,360,0,0,0,0,0,0,0,0,0,0,0,0,3.77,4.61,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,0,4.49,8.59,3.95,2.39,2.39,2.38,53.63,53.64,53.62,19306.46,859.83,1616.49,360,0,0,0,0,0,0,0,0,0,0,0,0,826.49,829.55,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,UPC,1,4.62,9.01,4,2.39,2.39,2.38,53.63,53.65,53.62,19307.76,859.65,1663.28,360,0,0,0,0,0,0,0,0,0,0,0,0,1115.93,1097.11,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UIC,0,1.5,2.2,1.32,6.92,6.93,6.9,42.08,42.2,41.99,15149.36,2489.83,541.47,360,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.22,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UMC,1,3.91,11.56,2.53,0.99,0.99,0.99,19.52,19.57,19.47,7028.6,355.3,1408.43,360,0,0,0,0,0,0,0,0,0,0,0,0,2.81,2.72,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UPC,0,3.95,6.28,3.29,2.36,2.36,2.35,53.51,53.52,53.49,19262.45,848.45,1422.51,360,0,0,0,0,0,0,0,0,0,0,0,0,1578.28,1594.22,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,UPC,1,3.71,6.06,3.19,2.36,2.36,2.35,53.5,53.51,53.48,19258.54,849.2,1336.35,360,0,0,0,0,0,0,0,0,0,0,0,0,1480.72,1495.87,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360001,UIC,0,2.69,3.04,1.54,6.92,6.93,6.9,42.03,42.12,41.95,15131.14,2490.9,968.43,360,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.48,0,0
10/07/2025,11,ICL 1,N. California,036,Rocklin,RCKL,0360001,UMC,1,3.56,18.32,2.19,1.36,1.36,1.36,19.74,19.83,19.68,7105.59,489.78,1281.29,360,0,0,0,0,0,0,0,0,0,0,0,0,3.87,3.44,0,0
