DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,6.01,5.26,2.48,2.49,2.47,40.79,40.81,40.76,14682.76,892.86,2016.42,0,0,5.62,5.85
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,23.51,7.17,0.79,0.79,0.78,8.52,8.58,8.47,3065.03,283.22,4858.88,0,0,22.3,38.41
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,1.78,0.94,12.92,12.93,12.92,85.33,85.34,85.31,30719.21,4652.18,448.07,0,0,33.11,110.81
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,5.89,5.35,2.44,2.44,2.43,40.73,40.76,40.7,14662.65,877.9,2005.32,0,0,3.57,4.1
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42,18.5,4.56,0.68,0.68,0.67,7.71,7.76,7.68,2776.88,243.48,2670.79,0,0,19.55,34.34
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,2.46,0.95,12.88,12.89,12.88,85.31,85.34,85.29,30713.17,4638.32,529.14,0,0,32.88,69.93
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840404,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,8.62,6.99,2.45,2.46,2.45,40.39,40.41,40.37,14539.52,882.44,2761.2,0,0,3.17,3.6
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840404,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,18.48,3.35,0.85,0.86,0.85,7.35,7.4,7.31,2645.97,306.27,3061.88,0,0,18.63,50.35
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840404,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.63,0.9,12.88,12.89,12.88,85.18,85.19,85.16,30664.54,4637.89,397.21,0,0,20.11,52.38
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,2.82,2.39,2.43,2.44,2.43,36.9,36.92,36.87,13282.2,876.57,910.82,0,0,0.45,0.44
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5.38,2.48,2.48,2.48,37.87,37.89,37.84,13632.29,892.9,2161.36,0,0,24.68,27.9
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,3.55,0.94,1.15,1.16,1.15,11.49,11.51,11.48,4137.8,414.57,612.2,0,0,4.69,14.96
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,17.18,2.8,1.67,1.69,1.65,18.62,18.78,18.52,6703,601.4,2491.3,0,0,94.84,128.12
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.1,0.47,9.92,9.92,9.91,76.64,76.66,76.63,27591,3570.03,244.38,0,0,0.41,0.46
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,5.98,3.89,9.94,9.94,9.93,79.17,79.19,79.15,28501.18,3578.01,1761.7,0,0,20.52,441.17
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849402,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66,5.71,0.46,9.9,9.94,9.86,77.88,79.2,76.55,56070.28,7127.9,1916.02,0,0,18.81,435.33
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849403,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,9.24,3.11,2.47,2.5,2.44,37.41,37.95,36.86,26931.5,1778.65,3906.37,0,0,34.14,36.99
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849403,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.27,20.07,1.1,1.61,1.96,1.31,17.39,23.51,11.51,12533.9,1161.28,3793.17,0,0,147.66,202.77
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849403,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,1.06,0.58,9.92,9.93,9.92,76.6,76.62,76.58,27575.67,3572.81,283.43,0,0,0.39,0.46
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849403,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,8.68,5.88,9.94,9.94,9.94,79.47,79.49,79.46,28610.4,3579,2552.27,0,0,27.93,2269.22
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849403,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,9.12,0.54,9.9,9.95,9.86,78.04,79.49,76.6,56191.02,7131.86,2979.68,0,0,24.92,810.1
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849449,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,11.05,9.44,2.47,2.47,2.46,37.07,37.1,37.05,13345.76,888.54,3689.8,0,0,1.41,1.11
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849449,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,11.94,1.47,2.45,2.45,2.45,23.64,23.71,23.59,8508.9,881.63,769.85,0,0,2.41,9.79
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0849449,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,1.38,0.79,8.99,8.99,8.98,63.78,63.81,63.75,22961.91,3235.92,337.27,0,0,2.4,5.87
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,UIC,0,1.57,2.02,1.35,6.91,6.93,6.9,41.34,41.44,41.23,14882.23,2488.47,564.1,360,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.42,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,UMC,1,3.78,20.06,2.27,1.03,1.03,1.02,19.07,19.18,19,6864.49,369.69,1361.86,360,0,0,0,0,0,0,0,0,0,0,0,0,5.96,2.73,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,UPC,0,4.66,7.14,4.09,2.35,2.36,2.35,55.92,55.94,55.9,20131.5,846.9,1678.15,360,0,0,0,0,0,0,0,0,0,0,0,0,2388.82,2403.66,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,UPC,1,4.93,8.05,4.36,2.35,2.36,2.35,55.87,55.89,55.85,20113.46,846.88,1776.29,360,0,0,0,0,0,0,0,0,0,0,0,0,554.66,561.09,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840400,UPC,2,5.04,8.15,4.46,2.35,2.36,2.35,55.88,55.9,55.86,20117.2,846.86,1813.33,360,0,0,0,0,0,0,0,0,0,0,0,0,554.49,558.74,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,UIC,1,1.2,1.9,1.02,7.12,7.14,7.1,41.5,41.64,41.37,14940.22,2564.57,429.61,360,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.29,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,UMC,1,3.09,17.78,2.37,1.3,1.3,1.3,19.22,19.32,19.14,6919.4,467.62,1112.72,360,0,0,0,0,0,0,0,0,0,0,0,0,5.68,2.75,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,UPC,0,3.6,5.55,3.13,2.41,2.41,2.4,55.8,55.83,55.78,20089.21,867.12,1295.64,360,0,0,0,0,0,0,0,0,0,0,0,0,650.84,656.08,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,UPC,1,3.51,6.02,3.08,2.36,2.36,2.36,55.77,55.79,55.76,20078.97,850.04,1262.2,360,0,0,0,0,0,0,0,0,0,0,0,0,881.79,889.54,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840401,UPC,2,3.23,4.86,2.83,2.41,2.41,2.4,55.84,55.93,55.82,20102.43,867.25,1164.39,360,0,0,0,0,0,0,0,0,0,0,0,0,860.9,825.87,0,0
10/07/2025,05,5GNR,New York Metro,084,Lower Manhattan,FRDL,0840404,UIC,0,1.4,1.82,1.26,6.88,6.89,6.86,41.28,41.37,41.18,14860.94,2474.33,503.43,360,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.25,0,0
