DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,4.59,3.16,2.43,2.44,2.43,37.08,37.1,37.06,13348.51,876.31,1431.53,0,0,1.36,0.55
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.06,30.6,23.41,2.48,2.48,2.47,38.95,38.97,38.93,14023.07,891.72,9742.96,0,0,83.71,98.87
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,23.12,1.25,1.7,2.14,1.29,18.29,25.07,11.79,13167.48,1223.68,4528.31,0,0,268.68,182.61
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.99,0.55,9.91,9.92,9.91,76.7,76.72,76.69,27614.12,3569.32,242.32,0,0,0.46,0.5
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,29.83,22.04,9.93,9.94,9.93,79.95,79.97,79.94,28782.01,3575.39,9081.12,0,0,72.93,4465.64
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249402,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,23.28,0.59,9.89,9.94,9.86,78.34,79.98,76.7,56401.91,7125.2,7341.24,0,0,83.63,6246.99
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249403,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,20.33,3.36,2.45,2.48,2.43,37.7,38.41,37.01,27146.06,1765.46,7848.79,0,0,69.8,64.21
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249403,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,17.73,0.99,1.45,1.62,1.29,14.6,17.62,11.69,10515.04,1039.79,3588.86,0,0,193.9,167.66
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249403,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,11.69,8.22,9.93,9.94,9.93,79.41,79.42,79.39,28585.28,3575.88,3510.61,0,0,53.08,4426.61
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249403,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,1.23,0.57,9.91,9.92,9.91,76.68,76.69,76.67,27603.64,3568.98,303.44,0,0,0.4,0.41
10/07/2025,18,ICL 1,Houston/Gulf Coast,124,Jackson - Covington,BTRH,1249403,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,11.15,8.05,9.93,9.93,9.93,79.46,79.48,79.45,28605.2,3574.73,3335,0,0,53.59,5335.45
