DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53,15.81,2.34,2.45,2.48,2.42,37.58,38.23,36.94,20293.4,1321.74,4604.46,0,0,39.14,39.31
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,12.6,4.06,1.83,1.85,1.82,19.26,19.42,19.17,5200.62,494.48,1412.14,0,0,190.9,113.75
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,3.41,0.91,1,1,1,11.55,11.61,11.53,3117.52,269.3,300.7,0,0,5.26,2.47
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.28,11.57,9.46,9.93,9.94,9.93,79.36,79.37,79.34,21426.56,2682.41,2776.35,0,0,43.77,1115.88
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.92,0.48,9.92,9.92,9.91,76.64,76.65,76.62,20691.49,2677.45,178.5,0,0,0.8,0.23
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559710,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,12.02,0.46,9.89,9.94,9.86,78,79.36,76.64,42120.07,5344.78,3136.39,0,0,44.1,1119.11
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559750,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48,4.13,2.97,2.34,2.34,2.33,36.92,36.98,36.87,26584.16,1681.77,2505.42,0,0,1.2,0.47
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559750,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,3.96,0.9,0.6,0.61,0.6,11.54,11.7,11.4,8305.69,434.7,1116.29,0,0,4.52,4.24
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559750,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0.94,0.47,9.84,9.84,9.84,76.66,76.71,76.63,55198.12,7084.98,421.35,0,0,0.52,0.65
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,JHTW,2559750,CPC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.36,0.54,9.84,9.84,9.84,76.66,76.7,76.63,55195.87,7084.23,555.31,0,0,0.73,0.44
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,SFTP,2559720,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,10.77,2.36,2.44,2.48,2.41,37.58,38.28,36.9,27059.91,1758.74,4647.02,0,0,20.96,24.84
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,SFTP,2559720,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33,10.26,0.88,1.03,1.37,0.72,14.27,17.13,11.55,10275.66,743.93,1680.02,0,0,141.29,79.24
10/07/2025,11,5GNR,Ohio/PA/WV,255,St Clairsville,SFTP,2559720,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,10.78,0.48,9.89,9.94,9.86,77.92,79.27,76.57,56101.94,7125.59,3176.34,0,0,27.49,1640.75
