DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,CIC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41,7.05,6.09,2.53,2.53,2.52,40.83,40.92,40.8,14697.55,910.18,2306.12,0,0,3.07,2.99
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,CMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,5.32,0.98,0.72,0.73,0.72,7.03,7.1,6.91,2530.48,259.6,780.07,0,0,18.75,12.6
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_FRUITRIDGE_MLK,0360064,CPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,2.63,1.11,12.92,12.92,12.91,84.87,84.89,84.85,30552.52,4650.69,544.12,0,0,1.5,84.2
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,8.22,6.87,2.47,2.47,2.46,40.5,40.54,40.47,14581.29,888.11,2693.29,0,0,1.45,1.7
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,5.73,0.97,0.66,0.66,0.66,6.41,6.47,6.34,2308.81,237.89,601.3,0,0,12.31,8.11
10/07/2025,22,ICL 1,N. California,036,Rocklin,CA_SAC_SACRAMENTODT_203,0360002,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1.46,0.73,12.88,12.88,12.88,84.79,84.81,84.77,30524.39,4637.4,328.93,0,0,0.84,29.71
10/07/2025,22,ICL 1,N. California,036,Rocklin,RCKL,0360001,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,7.85,6.48,2.48,2.49,2.48,40.63,40.66,40.6,14627.84,894.34,2589.73,0,0,1.99,2.28
10/07/2025,22,ICL 1,N. California,036,Rocklin,RCKL,0360001,CMC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,4.81,0.98,0.69,0.7,0.69,6.64,6.7,6.46,2390.17,249.08,620.18,0,0,20.92,11.61
10/07/2025,22,ICL 1,N. California,036,Rocklin,RCKL,0360001,CPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,1.77,0.87,12.88,12.89,12.88,84.81,84.83,84.8,30532.53,4637.97,372.34,0,0,1.35,43.14
10/07/2025,22,ICL 1,N. California,036,Rocklin,RCKL,0360004,CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.72,7.26,6.27,2.47,2.47,2.46,40.47,40.5,40.44,14567.5,888.43,2417.91,0,0,1.96,2.12
