DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,CpuUsageAvg_AUPF,CpuUsageMax_AUPF,CpuUsageMin_AUPF,DiskUsageAvg_AUPF,DiskUsageMax_AUPF,DiskUsageMin_AUPF,MemUsageAvg_AUPF,MemUsageMax_AUPF,MemUsageMin_AUPF,MemUsageTot_AUPF,DiskUsageTot_AUPF,CpuUsageTot_AUPF,DiskUsageCnt_AUPF,CpuUsageAvg_ACPF,CpuUsageMax_ACPF,CpuUsageMin_ACPF,DiskUsageAvg_ACPF,DiskUsageMax_ACPF,DiskUsageMin_ACPF,MemUsageAvg_ACPF,MemUsageMax_ACPF,MemUsageMin_ACPF,MemUsageTot_ACPF,DiskUsageTot_ACPF,CpuUsageTot_ACPF,InThruPeak_VM_AUPF,OutThruPeak_VM_AUPF,InThruPeak_VM_ACPF,OutThruPeak_VM_ACPF
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UIC,1,4.64,8.09,1.31,7.04,7.06,7.03,41.72,41.89,41.55,30038.04,5071.21,3344.69,720,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UMC,0,3.52,11.88,2.29,2.56,2.57,2.56,19.22,19.27,19.19,6918.98,923.02,1268.65,360,0,0,0,0,0,0,0,0,0,0,0,0,2.81,2.84,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UMC,1,4.87,23.63,3.9,2.77,2.78,2.77,21.52,21.63,21.46,7747.21,997.12,1753.28,360,0,0,0,0,0,0,0,0,0,0,0,0,25.93,28.07,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UPC,0,8.99,18.69,2.68,2.37,2.39,2.33,54.5,56.42,52.58,39241.28,1701.93,6471.99,720,0,0,0,0,0,0,0,0,0,0,0,0,5037.73,5012.34,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UPC,1,9.76,20.77,2.88,2.34,2.34,2.33,54.52,56.43,52.6,39251.89,1682.68,7027.37,720,0,0,0,0,0,0,0,0,0,0,0,0,5355.51,5367.41,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WNDS,0589101,UPC,2,8.81,18.16,2.42,2.37,2.4,2.33,54.52,56.45,52.6,39256.21,1702.25,6345.51,720,0,0,0,0,0,0,0,0,0,0,0,0,5126.9,5165.09,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0580350,UIC,0,1.8,2.51,1.31,6.91,6.93,6.9,42.27,42.37,42.19,15218.25,2488.45,648.56,360,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.21,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0580350,UMC,1,3.05,15.85,2.22,1.36,1.36,1.36,20.27,20.32,20.2,7296.38,489.54,1098.73,360,0,0,0,0,0,0,0,0,0,0,0,0,2.71,2.73,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0580350,UPC,0,4.11,10.1,3.39,2.35,2.36,2.35,55.74,55.76,55.73,20068.17,847.64,1480.27,360,0,0,0,0,0,0,0,0,0,0,0,0,593.41,598.74,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0580350,UPC,1,3.85,6.31,3.44,2.35,2.36,2.35,55.74,55.75,55.72,20066.29,847.44,1384.51,360,0,0,0,0,0,0,0,0,0,0,0,0,452.14,453.46,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0589140,UIC,0,5.65,6.59,5.11,7.05,7.06,7.03,41.64,41.71,41.55,14989.55,2536.9,2033.84,360,0,0,0,0,0,0,0,0,0,0,0,0,8.55,9.34,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0589140,UIC,1,1.67,2.73,1.31,7.05,7.07,7.03,41.29,41.36,41.21,14863.12,2538.35,599.26,360,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.17,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0589140,UMC,0,3.58,18.35,2.21,3.06,3.25,2.87,20.38,21.46,19.34,14671.76,2201.81,2575.12,720,0,0,0,0,0,0,0,0,0,0,0,0,27.99,29.45,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0589140,UPC,0,8.51,20.78,2.78,2.39,2.39,2.39,54.49,56.4,52.58,39231.05,1720.96,6126.77,720,0,0,0,0,0,0,0,0,0,0,0,0,4292.42,4294.88,0,0
10/07/2025,15,5GNR,New England,058,Northeastern MA - Billerica,WSBO,0589140,UPC,1,8.37,20.6,2.83,2.36,2.39,2.33,54.48,56.39,52.58,39228.9,1697.67,6027.82,720,0,0,0,0,0,0,0,0,0,0,0,0,4174.96,4186.36,0,0
