DAY,HR,5G,REGION,MARKET,MARKET_DESC,SITE,GNB,VNFC_TYPE,VNFC_ID,PORTTYPE,PORTID,InErrors_VM_AUPF,InOctets_VM_AUPF,InPkts_VM_AUPF,InThruPeakCnt_VM_AUPF,InThruPeak_VM_AUPF,OutErrors_VM_AUPF,OutOctets_VM_AUPF,OutPkts_VM_AUPF,OutThruPeakCnt_VM_AUPF,OutThruPeak_VM_AUPF
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,EXTERNAL_TYPE,0,0,0,7173,358,0,0,0,7151,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,EXTERNAL_TYPE,1,0,0,8,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,INTERNAL_TYPE,0,0,24,94374,358,0.24,0,12,81548,358,0.18
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UIC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,INTERNAL_TYPE,0,0,149,1056370,357,3.11,0,152,1094680,357,3.06
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,INTERNAL_TYPE,1,0,0,0,357,0,0,0,0,357,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UMC,0,MANAGEMENT_TYPE,0,0,0,12601,357,0.02,0,4,22205,357,0.67
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,EXTERNAL_TYPE,0,0,4,77983,358,0.61,0,0,549,358,0.56
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,EXTERNAL_TYPE,1,0,4,75574,358,0.46,0,0,292,358,0.43
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,INTERNAL_TYPE,0,0,12,81255,358,0.36,0,20,84651,358,0.42
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,0,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,EXTERNAL_TYPE,0,0,4,77532,358,0.18,0,0,191,358,0.15
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,EXTERNAL_TYPE,1,0,4,74838,358,0.03,0,0,84,358,0.01
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,INTERNAL_TYPE,0,0,12,81138,358,0.41,0,20,84538,358,0.44
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,APPKHUB_APPLE_TA11_a,0310001,UPC,1,INTERNAL_TYPE,1,0,0,0,358,0,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,EXTERNAL_TYPE,0,0,0,13244,359,0.01,0,0,10764,359,0.01
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,EXTERNAL_TYPE,1,0,0,2341,359,0.01,0,0,0,359,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,INTERNAL_TYPE,0,0,24,99060,359,0.31,0,12,83463,359,0.25
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UIC,0,INTERNAL_TYPE,1,0,0,2332,359,0.01,0,0,0,359,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,INTERNAL_TYPE,0,0,151,1068898,357,2.83,0,151,1106134,357,2.78
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,INTERNAL_TYPE,1,0,0,3786,357,0.01,0,0,0,357,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UMC,0,MANAGEMENT_TYPE,0,0,0,12627,357,0.03,0,4,20386,357,0.68
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,EXTERNAL_TYPE,0,0,968,1001539,358,139.34,0,963,881166,358,138.69
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,EXTERNAL_TYPE,1,0,31012,25064884,358,4433.1,0,31324,24951876,358,4479.49
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,INTERNAL_TYPE,0,0,12,84028,358,0.36,0,20,84256,358,0.58
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,0,INTERNAL_TYPE,1,0,0,3551,358,0.01,0,0,0,358,0
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,EXTERNAL_TYPE,0,0,12614,10224969,358,4234.92,0,12741,10092155,358,4274.12
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,EXTERNAL_TYPE,1,0,11512,9245794,358,4297.56,0,11631,9158858,358,4370.81
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,INTERNAL_TYPE,0,0,12,83280,358,0.41,0,20,84317,358,0.61
10/07/2025,07,ICL 1,N. California,031,Sunnyvale,SNVA,0310002,UPC,1,INTERNAL_TYPE,1,0,0,2584,358,0.01,0,0,0,358,0
Total,*,*,*,*,*,*,*,*,*,*,*,0,56518,48551763,10738,4433.1,0,57074,47849264,10738,4479.49
